EVTDESC500;[New.GetTitledFirstName] и [From.GetTitledFirstName] поженились. Мы можем собрать Королевский Налог, чтобы оплатить церемонию.;;;;;;;;;;;;;x
EVTOPTA453;Хорошо, когда ты [This.GetTitle]!;;;;;;;;;;;;;x
EVTOPTA2100;Нет, у н[From.GetHersHis] есть причина для гордости.;;;;;;;;;;;;;x
EVTOPTC2100;"Сказать [From.GetHerHim], что ""гордость предшествует погибели"".";;;;;;;;;;;;;x
EVTOPTA2120;Даже я нахожусь под впечатлением.;;;;;;;;;;;;;x
EVTOPTA2090;Хорошо, я терпеть не могу безрассудство.;;;;;;;;;;;;;x
EVTOPTC2120;Рассказать [From.GetHerHim] о честности.;;;;;;;;;;;;;x
EVTOPTB2150;Некоторые страхи позволительны, но всему есть предел.;;;;;;;;;;;;;x
EVTOPTC2150;Страх - враг здравого ума.;;;;;;;;;;;;;x
EVTOPTA2200;[From.GetHerHis] устраивает его жизнь.;;;;;;;;;;;;;x
EVTDESC3242;Истинное смирение - это проявление смирения, когда оно противоречит нашим желаниям. Скромный [Root.GetManWoman] подчиняется Богам, даже если [Root.GetSheHe] может не любить их духовенство.;;;;;;;;;;;;;x
EVTOPTA3367;Я научу Вас, но все имеет свою цену.;;;;;;;;;;;;;x
EVTOPTA3421;Хорошо.;;;;;;;;;;;;;x
EVTOPTA3430;Это того стоило.;;;;;;;;;;;;;x
EVTDESC4000;Фермер сказал мне, что его хряку удалось ворваться в загон соседа, и результатом стали семь маленьких поросят. Теперь его сосед требует компенсацию, которую он не может себе позволить. Фермер нуждается в моём совете.;;;;;;;;;;;;;x
EVTOPTA4000;Он должен заплатить соседу.;;;;;;;;;;;;;x
EVTOPTB4000;Дайте соседу четырех поросят.;;;;;;;;;;;;;x
EVTOPTC4000;Оставьте оба себе по одному поросёнку, остальные принадлежат мне.;;;;;;;;;;;;;x
EVTOPTA4008;Хорошо.;;;;;;;;;;;;;x
EVTOPTA4018;Хорошо.;;;;;;;;;;;;;x
EVTOPTA4021;Я отпущу их.;;;;;;;;;;;;;x
EVTOPTB4021;Пусть [From.GetTitledFirstName] займётся ими.;;;;;;;;;;;;;x
EVTTOOLTIP4022;[This.GetTitledFirstName] получил желаемое, браконьеры предстали перед ним.;;;;;;;;;;;;;x
EVTOPTA4022;Самому поговорить с ними.;;;;;;;;;;;;;x
EVTOPTB4022;Закон требует для них смерти через повешение.;;;;;;;;;;;;;x
EVTOPTC4022;Да они же чуть не померли с голоду! Освободите их.;;;;;;;;;;;;;x
EVTOPTE4022;Укоротите им уши!;;;;;;;;;;;;;x
EVTOPTA4023;Хорошо. Они будут повешены.;;;;;;;;;;;;;x
EVTTOOLTIP4024;Это - приемлемое наказание.;;;;;;;;;;;;;x
EVTOPTC4023;Надеюсь, что потеря ушей будет им уроком.;;;;;;;;;;;;;x
EVTOPTE4023;Хороший браконьер - мёртвый браконьер. Только так!;;;;;;;;;;;;;x
EVTOPTA4024;Хорошо.;;;;;;;;;;;;;x
EVTOPTD4115;Мне не нравятся торговцы, но их товары прекрасны.;;;;;;;;;;;;;x
EVTOPTF4115;Полагаю, ярмарки должны быть запрещены!;;;;;;;;;;;;;x
EVTOPTA4120;Хороший бой.;;;;;;;;;;;;;x
EVTOPTA4140;Да упокоится с миром!;;;;;;;;;;;;;x
EVTOPTB4140;Одним голодным ртом меньше!;;;;;;;;;;;;;x
EVTOPTA4175;Боль... Но оно того стоило!;;;;;;;;;;;;;x
EVTDESC6041;Этот мир больше меня не тяготит, для меня настала новая весна, в моем сердце появилась радость, а на лице улыбка.;;;;;;;;;;;;;x
EVTOPTA6041;Жизнь не так плоха.;;;;;;;;;;;;;x
EVTOPTA20410;Будем надеяться на это.;;;;;;;;;;;;;x
EVTOPTA36080;Я найду Белого Оленя.;;;;;;;;;;;;;x
EVTOPTC38204;Научите [From.GetHerHim] смирению.;;;;;;;;;;;;;x
EVTOPTB38220;Быть справедливым ко всем.;;;;;;;;;;;;;x
EVTDESC38221;[From.GetFullName] должна была работать над своей вышивкой, но потом решила показать другую сторону своих способностей. Её фехтование было не так уж плохо, для девушки.;;;;;;;;;;;;;x
EVTOPTA38221;Нет вреда в том, чтоб позволить ей узнать, как обращаться с мечом.;;;;;;;;;;;;;x
EVTOPTB38221;Это неприлично для дамы.;;;;;;;;;;;;;x
EVTOPTA38227;[From.GetFirstName] научится радоваться деньгам.;;;;;;;;;;;;;x
EVTOPTA38233;Это проявление греха, нужно чтобы ребенок мог быстро искупить свои грехи!;;;;;;;;;;;;;x
EVTOPTB38233;Врач мог бы вылечить [From.GetFirstName].;;;;;;;;;;;;;x
EVTOPTB38227;[From.GetFirstName], я расскажу тебе о радости отдавать деньги.;;;;;;;;;;;;;x
EVTOPTC38227;Деньги для [This.Religion.GetRandomGodName].;;;;;;;;;;;;;x
EVTDESC39220;Я вынужден(а) томиться в этом подземелье, где злые изверги [Root.Host.GetTitledFirstName] терзают мою душу.;Me voilа rйduit[Root.GetNoneE] а languir dans ce cachot oщ les dйmons [Root.Host.Get_du_Title][Root.Host.GetTitledFirstName] torturent mon вme.;Ich muss hier in diesem Kerker schmachten, wo die bцsen Unholde von [Root.Host.GetTitledFirstName] meine Seele foltern.;;Me obligan a languidecer en esta mazmorra donde los diablos de [Root.Host.GetTitledFirstName] torturan a mi alma.;;;;;;;;;x
EVTOPTA39220;Написать письмо [Root.RelHead.GetTitle];J'йcris une lettre au [Root.RelHead.GetTitle].;Dem [Root.RelHead.GetTitle] einen Brief schreiben;;Escribe una carta al [Root.RelHead.GetTitle];;;;;;;;;x
EVTOPTB39220;Молиться о Божественной помощи;Je prie pour recevoir une aide divine.;Betet um gцttliche Hilfe;;Pide ayuda a Dios;;;;;;;;;x
EVTTOOLTIP39221;[Root.RelHead.GetTitle] узнает мою отчаянную мольбу...;Le [Root.RelHead.GetTitle] va lire mon appel dйsespйrй...;Der [Root.RelHead.GetTitle] wird meinen verzweifelten Appell lesen ...;;El [Root.RelHead.GetTitle] leerб mi desesperada sъplica...;;;;;;;;;x
EVTTOOLTIP39222;[Root.Host.GetTitledFirstName] узнает о нашем сообщении.;[Root.Host.Get_Le_Title][Root.Host.GetTitledFirstName] va кtre informй[Root.Host.GetNoneE] de notre communication.;[Root.Host.GetTitledFirstName] wird von unserer Korrespondenz erfahren.;;[Root.Host.GetTitledFirstName] se enterarб de nuestra comunicaciуn.;;;;;;;;;x
EVTDESC39221;Мы получили письмо от [From.GetTitledFirstName] просит нас вмешаться от имени [From.GetHerHis] и попросить [From.Host.GetTitledFirstName] выпустить [From.GetHerHis] из [From.GetHerHis] тюрьмы.;Nous avons reзu une lettre [From.Get_du_Title][From.GetTitledFirstName] nous priant d'intercйder en sa faveur pour que [From.Host.Get_le_Title][From.Host.GetTitledFirstName] le libиre de sa prison.;[From.GetTitledFirstName] bittet uns in einem Brief, [From.Host.GetTitledFirstName] seinethalben um Freilassung aus dem Kerker zu ersuchen.;;Hemos recibido una carta de [From.GetTitledFirstName] para que intervengamos en su nombre y pidamos a [From.Host.GetTitledFirstName] que le libere.;;;;;;;;;x
EVTOPTA39221;[Root.RelHead.GetTitle] должен(а) подчинится!;Il faut obйir au [Root.RelHead.GetTitle] !;Dem [Root.RelHead.GetTitle] muss gehorcht werden!;;ЎEl [Root.RelHead.GetTitle] debe ser obedecido!;;;;;;;;;x
EVTOPTB39221;Это светский вопрос...;C'est une affaire profane...;Dies ist eine sдkulare Angelegenheit ...;;Este es un asunto secular...;;;;;;;;;x
EVTTOOLTIP39224;[From.GetHerHisCap] похититель прислушается к нашему требованию.;Son ravisseur va йcouter notre demande.;Sein Geiselnehmer wird unserer Forderung Gehцr schenken.;;Su captor escucharб nuestra peticiуn.;;;;;;;;;x
EVTTOOLTIP39225;[From.GetTitledFirstName] будет разочарован(а).;[From.Get_Le_Title][From.GetTitledFirstName] йprouvera de la dйception.;[From.GetTitledFirstName] wird enttдuscht sein.;;[From.GetTitledFirstName] se sentirб decepcionado.;;;;;;;;;x
EVTDESC39222;Мы поймали [From.GetTitledFirstName] при попытке тайно провезти письмо [From.RelHead.GetTitle], где [From.GetSheHe] желает [From.RelHead.GetTitle] вмешаться в [From.GetHerHis] интересы.;Nous avons interceptй une lettre clandestine [From.Get_du_Title][From.GetTitledFirstName] а l'intention du [From.RelHead.GetTitle] dans laquelle il demande au Saint-Pиre d'intercйder en sa faveur.;Wir haben [From.GetTitledFirstName] dabei erwischt, einen Brief an den [From.RelHead.GetTitle] hinaus zu schmuggeln, in dem er den Heiligen Vater zum Einschreiten seinethalben bittet.;;Hemos pillado a [From.GetTitledFirstName] intentando sacar ilнcitamente una carta al [From.RelHead.GetTitle] en la que le insta a intervenir en su nombre.;;;;;;;;;x
EVTOPTA39222;Перерезать [From.GetHerHis] горло!;Qu'on lui tranche la gorge !;Schneidet ihm die Kehle durch!;;ЎDegьйllale!;;;;;;;;;x
EVTOPTB39222;[Root.Religion.GetRandomGodName] будет судить нас.;[Root.Religion.GetRandomGodName] nous jugera.;[Root.Religion.GetRandomGodName] wird ьber uns richten!;;[Root.Religion.GetRandomGodName] nos juzgarб.;;;;;;;;;x
EVTDESC39223;Молитвы [From.GetTitledFirstName] не остались незамеченными. Существует ли предел у моего могущества?;Les priиres [From.Get_du_Title][From.GetTitledFirstName] ont йtй entendues. Y a-t-il une limite а mon pouvoir ?;Die Gebete von [From.GetTitledFirstName] sind nicht ungehцrt geblieben. Ach, meine Macht scheint grenzenlos zu sein!;;Las oraciones de [From.GetTitledFirstName] no han pasado desapercibidas. їAcaso mi poder tiene lнmite?;;;;;;;;;x
EVTOPTA39223;Я не могу удержать человека от [Root.Religion.GetRandomGodName] заключения.;Je ne peux pas garder un homme de [Root.Religion.GetRandomGodName] en prison.;Ich kann keinen Mann [Root.Religion.GetRandomGodName] im Kerker behalten.;;No puedo mantener encerrado a un hombre de [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTOPTB39223;[From.GetSheHeCap] всё ещё предатель...;C'est toujours un traоtre...;Er ist immer noch ein Verrдter ...;;Sigue siendo un traidor...;;;;;;;;;x
EVTDESC39224;[From.GetTitledFirstName] пришел(а) к сотрудничеству с нами и написал(а) суровое письмо [Root.Host.GetTitledFirstName] требуя нашего освобождения.;[From.Get_Le_Title][From.GetTitledFirstName] a intercйdй en notre faveur en rйdigeant une lettre sйvиre а l'intention [Root.Host.Get_du_Title][Root.Host.GetTitledFirstName] pour lui demander notre libйration.;[From.GetTitledFirstName] ist unserethalben eingeschritten und hat in einem strengen Brief an [Root.Host.GetTitledFirstName] unsere Freilassung gefordert.;;[From.GetTitledFirstName] ha atendido nuestra intervenciуn y ha escrito una dura carta a [Root.Host.GetTitledFirstName] para que nos libere.;;;;;;;;;x
EVTOPTA39224;Хвала [Root.Religion.GetRandomGodName]!;Louй soit [Root.Religion.GetRandomGodName]!;[Root.Religion.GetRandomGodName] sei gepriesen!;;ЎAlaba [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTTOOLTIP39226;Я уверен [Root.Host.GetTitledFirstName] сейчас освободит нас.;Je suis sыr[Root.GetNoneE] que [Root.Host.Get_le_Title][Root.Host.GetTitledFirstName] va nous libйrer.;[Root.Host.GetTitledFirstName] wird uns jetzt sicherlich freilassen.;;Sin duda ahora [Root.Host.GetTitledFirstName] nos liberarб.;;;;;;;;;x
