b_newjoy;Нью-Джой;;;;;;;;;;;;;x;
b_gorinir;Горинир;;;;;;;;;;;;;x;
b_aalto;Аальто;;;;;;;;;;;;;x;
b_sphinxmoth;Мотылёк-Сфинкс;;;;;;;;;;;;;x;
b_fardirsfolly;Глупость Фардира;;;;;;;;;;;;;x;
b_path_lily;Путь Лилии;;;;;;;;;;;;;x;
b_dead_water;Мертвая вода;;;;;;;;;;;;;x;
b_dawnshadow;Тень Рассвета;;;;;;;;;;;;;x;
b_deepswamp;Глубокое Болото;;;;;;;;;;;;;x;
b_echoing_hollow;Гулкая Пустота;;;;;;;;;;;;;x;
b_sapiarchs;Коллегия Сапиархов;;;;;;;;;;;;;x
b_reliquary_of_stars;Реликварий Звёзд;;;;;;;;;;;;;x;
b_bouldertree;Каменное Дерево;;;;;;;;;;;;;x;
b_two_moon_path;Путь Двух Лун;;;;;;;;;;;;;x;
b_sollicish;Солликиш-он-Кер;;;;;;;;;;;;;x
b_leafwater;Листоводье;;;;;;;;;;;;;x;
b_khazgur;Мор Казгур;;;;;;;;;;;;;x
b_coffinrest;Коффинрест;;;;;;;;;;;;;x;
b_sentinel_city;Сентинел;;;;;;;;;;;;;x
b_xinchei_konu;Иксихей-Кону;;;;;;;;;;;;;x;
b_bogmother;Праматерь;;;;;;;;;;;;;x;
b_xal_ithix;Ксал Итхиикс;;;;;;;;;;;;;x;
b_tenmorvuk;Тен Мор Вольк;;;;;;;;;;;;;x;
b_xal_haj_ei;Аль Хадж Эй;;;;;;;;;;;;;x;
b_broken_tusk;Сломанный Бивень;;;;;;;;;;;;;x;
b_xal_thak;Ксал Тхак;;;;;;;;;;;;;x;
b_tripe_circle;Тройной Круг;;;;;;;;;;;;;x;
b_tura;Тура;;;;;;;;;;;;;x
b_onkobra;Анкобра;;;;;;;;;;;;;x;
b_stveloth;Святой Велот;;;;;;;;;;;;;x;
b_deepcrag;Диипкраг;;;;;;;;;;;;;x;
b_selfora;Селфора;;;;;;;;;;;;;x;
b_llugwych;Лугвич;;;;;;;;;;;;;x
b_eidolon;Пустота Эйдолона;;;;;;;;;;;;;x;
b_taleon;Талион;;;;;;;;;;;;;x;
b_darkshade;Темная Тень;;;;;;;;;;;;;x;
b_silent_mire;Тихое Болото;;;;;;;;;;;;;x;
b_taldeic;Таль Деик;;;;;;;;;;;;;x;
b_volunidai;Волунидай;;;;;;;;;;;;;x;
b_coiled;Спиральный Путь;;;;;;;;;;;;;x;
b_siltreen;Ситреен Больничный Морг;;;;;;;;;;;;;x;
b_knife_ear;Ухо Ножа Грот;;;;;;;;;;;;;x;
b_percolating;Опасное Болото;;;;;;;;;;;;;x;
b_shortusk;Бугор Шортхаска;;;;;;;;;;;;;x;
b_mzithumz;Мзитумц;;;;;;;;;;;;;x;
b_berezans;Березанс;;;;;;;;;;;;;x;
b_shad_astula;Шад Астула;;;;;;;;;;;;;x;
b_avayan;Аваян;;;;;;;;;;;;;x;
b_strilms;Святой Римс;;;;;;;;;;;;;x;
b_sunscale;Солнцезащитная Прядь;;;;;;;;;;;;;x;
b_bthanual;Бтануал;;;;;;;;;;;;;x;
b_reverie;Задумчивость;;;;;;;;;;;;;x;
b_obsidian;Обсидановое Ущелье;;;;;;;;;;;;;x;
b_muth_gnaar;Мут Гнаар;;;;;;;;;;;;;x;
b_oldida;Олдида;;;;;;;;;;;;;x;
b_hlanii;Логово Хлани;;;;;;;;;;;;;x;
b_quondam;Куандам;;;;;;;;;;;;;x;
b_llarel;Приют Леди Лларел ;;;;;;;;;;;;;x;
b_deep_graves;Кладбище Глубоких Могил;;;;;;;;;;;;;x;
b_bitterroot;Биттеррут;;;;;;;;;;;;;x;
b_hissmir;Хиссмир;;;;;;;;;;;;;x;
b_chid_moska;Чид Моска;;;;;;;;;;;;;x;
b_redolent;Благоухающий;;;;;;;;;;;;;x;
b_serkamora;Серкамора;;;;;;;;;;;;;x;
b_atanaz;Атаназ;;;;;;;;;;;;;x;
b_gandranen;Гандранен;;;;;;;;;;;;;x;
b_bok_xul;Бок-Хул;;;;;;;;;;;;;x;
b_alten_meerhleel;Альтен Меерлил;;;;;;;;;;;;;x;
b_norg_tzel;Норг-Цель ;;;;;;;;;;;;;x;
b_marshbound;Заболоченный;;;;;;;;;;;;;x;
b_bright_throat;Яркое Горло;;;;;;;;;;;;;x;
b_guardhouse;Гвардхауз;;;;;;;;;;;;;x;
b_moonhenge;Лунный хендж;;;;;;;;;;;;;x;
b_hectahame;Хектахейм;;;;;;;;;;;;;x;
b_hourglass_enclave;Анклав Песочных Часов;;;;;;;;;;;;;x;
b_zergonipal;Зергонипал;;;;;;;;;;;;;x;
b_incarnate;Долина Ветра;;;;;;;;;;;;;x;
b_faltonia;Фальтония;;;;;;;;;;;;;x;
b_treehange;Трихандж;;;;;;;;;;;;;x;
b_rootspire;Рутспайр;;;;;;;;;;;;;x;
b_blackvine;Чёрная Лоза;;;;;;;;;;;;;x;
b_windshriek;Берег Вопля Ветра;;;;;;;;;;;;;x;
b_jodespocket;Карман Джоуд;;;;;;;;;;;;;x;
b_moonmont;Мунмонт;;;;;;;;;;;;;x;
b_kardesh_1;Кардеш;;;;;;;;;;;;;x;
b_kardesh_2;Наквада;;;;;;;;;;;;;x;
b_kardesh_3;Джибрил;;;;;;;;;;;;;x;
b_kardesh_4;Фаттатх;;;;;;;;;;;;;x;
b_kardesh_5;Мадбоул;;;;;;;;;;;;;x;
b_kardesh_6;Сиси;;;;;;;;;;;;;x;
b_kardesh_7;Дйосер;;;;;;;;;;;;;x;
b_kardesh_8;Хамеш;;;;;;;;;;;;;x;
b_klithi_1;Клитхи;;;;;;;;;;;;;x;
b_klithi_2;Магар;;;;;;;;;;;;;x;
b_klithi_3;Ишма Азад;;;;;;;;;;;;;x;
b_klithi_4;Арадеш;;;;;;;;;;;;;x;
b_klithi_5;Теке;;;;;;;;;;;;;x;
b_klithi_6;Марвари;;;;;;;;;;;;;x;
b_klithi_7;Асил Иджра;;;;;;;;;;;;;x;
b_klithi_8;Бадари;;;;;;;;;;;;;x;
b_arranha_1;Арранбу;;;;;;;;;;;;;x;
b_arranha_2;Соко;;;;;;;;;;;;;x;
b_arranha_3;Заззау;;;;;;;;;;;;;x;
b_arranha_4;Хадеджия;;;;;;;;;;;;;x;
b_arranha_5;Фулан;;;;;;;;;;;;;x;
b_arranha_6;Ланге;;;;;;;;;;;;;x;
b_arranha_7;Баквай;;;;;;;;;;;;;x;
b_arranha_8;Каарта;;;;;;;;;;;;;x;
b_asil_yelir;Асил Йелир;;;;;;;;;;;;;x;
b_asil_2;Байяджидда;;;;;;;;;;;;;x;
b_asil_3;Фанир;;;;;;;;;;;;;x;
b_asil_4;Кхамса;;;;;;;;;;;;;x;
b_asil_5;Азид;;;;;;;;;;;;;x;
b_asil_6;Халла;;;;;;;;;;;;;x;
b_asil_7;Баво;;;;;;;;;;;;;x;
b_asil_8;Акхал;;;;;;;;;;;;;x;
b_largashbur;Ларгашбур;;;;;;;;;;;;;x;
b_ouze;Уз;;;;;;;;;;;;;x;
b_zamunda_1;Замунда;;;;;;;;;;;;;x;
b_zamunda_2;Даура;;;;;;;;;;;;;x;
b_zamunda_3;Кано;;;;;;;;;;;;;x;
b_zamunda_4;Катсина;;;;;;;;;;;;;x;
b_zamunda_5;Зария;;;;;;;;;;;;;x;
b_zamunda_6;Гобир;;;;;;;;;;;;;x;
b_zamunda_7;Rano;;;;;;;;;;;;;x;
b_zamunda_8;Бирам;;;;;;;;;;;;;x;
b_tanglehaven;Танглхейвен;;;;;;;;;;;;;x;
b_serpent;Грот Змея;;;;;;;;;;;;;x;
b_kastav_6;Кварнер;;;;;;;;;;;;;x;
b_valtheim_5;Стейнганг;;;;;;;;;;;;;x;
b_valtheim_6;Нинорск;;;;;;;;;;;;;x;
b_nakan_1;Накан;;;;;;;;;;;;;x;
b_nakan_2;Йаури;;;;;;;;;;;;;x;
b_nakan_3;Замфара;;;;;;;;;;;;;x;
b_nakan_4;Кебби;;;;;;;;;;;;;x;
b_nakan_5;Гвари;;;;;;;;;;;;;x;
b_nakan_6;Кварафа;;;;;;;;;;;;;x;
b_nakan_7;Напе;;;;;;;;;;;;;x;
b_nakan_8;Илорин;;;;;;;;;;;;;x;
b_valtheim_7;Велйа;;;;;;;;;;;;;x;
b_maliya;Малия;;;;;;;;;;;;;x;
b_bahia_1;Бахия;;;;;;;;;;;;;x;
b_bahia_2;Ката;;;;;;;;;;;;;x;
b_bahia_3;Дар Агах;;;;;;;;;;;;;x;
b_bahia_4;Хаджджия;;;;;;;;;;;;;x;
b_bahia_5;Бакари;;;;;;;;;;;;;x;
b_bahia_6;Хормоз;;;;;;;;;;;;;x;
b_bahia_7;Таром;;;;;;;;;;;;;x;
b_bahia_8;Дерази;;;;;;;;;;;;;x;
b_at_abah;Ат-Абах;;;;;;;;;;;;;x;
b_laozu;Лао Зу;;;;;;;;;;;;;x;
b_moni_1;Мони;;;;;;;;;;;;;x;
b_moni_2;Офори;;;;;;;;;;;;;x;
b_moni_3;Атта;;;;;;;;;;;;;x;
b_moni_4;Акуфо;;;;;;;;;;;;;x;
b_moni_5;Аддо;;;;;;;;;;;;;x;
b_moni_6;Джумия;;;;;;;;;;;;;x;
b_moni_7;Квеку;;;;;;;;;;;;;x;
b_moni_8;Доубла;;;;;;;;;;;;;x;
b_dreadvultain;Страх Вуллайна;;;;;;;;;;;;;x;
b_verrant_morass;Топи Веррант;;;;;;;;;;;;;x;
b_whisper_grove;Роща Шопота;;;;;;;;;;;;;x;
b_shademist;Топи Тенистого тумана;;;;;;;;;;;;;x;
b_rootwater;Роща Корневой воды;;;;;;;;;;;;;x;
b_hollowden;Холлоуден;;;;;;;;;;;;;x;
b_drowned_coast;Затопленноё Побережье;;;;;;;;;;;;;x;
b_driladan;Проход Дриладан;;;;;;;;;;;;;x;
b_bramblebreach;Ежевичный пролом;;;;;;;;;;;;;x;
b_bloodtoil;Долина Кровавого труда;;;;;;;;;;;;;x;
b_velyn;Гавань Велин;;;;;;;;;;;;;x;
b_bitterpoint;Горький Мыс;;;;;;;;;;;;;x;
b_jaggedgrotto;Зубчатый Грот;;;;;;;;;;;;;x;
b_summer;Саммер;;;;;;;;;;;;;x;
b_stranglewatch;Дозор Мёртвой Хватки;;;;;;;;;;;;;x;
b_fullersbreak;Прорыв Фуллера;;;;;;;;;;;;;x;
