### Nedic
nedic;Недиец;Недиец;Недиец;;Недиец;;;;;;;;;x
imperial;Имперец;Имперец;Имперец;;Имперец;;;;;;;;;x
nibenean;Нибенеец;Нибенеец;Нибенеец;;Нибенеец;;;;;;;;;x
colovian;Коловианец;Коловианец;Коловианец;;Коловианец;;;;;;;;;x
nord;Норд;Норд;Норд;;Норд;;;;;;;;;x
skaal;Скаал;Скаал;Скаал;;Скаал;;;;;;;;;x
breton;Бретон;Бретон;Бретон;;Бретон;;;;;;;;;x
atmoran;Атморец;;;;;;;;;;;;;x
reachmen;Ричмен;Ричмен;Ричмен;;Ричмен;;;;;;;;;x
### Yokudan
yokudan_group;Йокуданец;Йокуданец;Йокуданец;;Йокуданец;;;;;;;;;x
yokudan;Йокуданец;;;;;;;;;;;;;x
forebear;Предшественник;Предшественник;Предшественник;;Предшественник;;;;;;;;;x
crown;Венценосец;Венценосец;Венценосец;;Венценосец;;;;;;;;;x
lhotunic;Лотунист;;;;;;;;;;;;;x
### Aldmeris
aldmeris;Альдмер;Альдмер;Альдмер;;Альдмер;;;;;;;;;x
bosmer;Босмер;Босмер;Босмер;;Босмер;;;;;;;;;x
ayleid;Айлед;;;;;;;;;;;;;x
altmer;Альтмер;Альтмер;Альтмер;;Альтмер;;;;;;;;;x
maormer;Маормер;Маормер;Маормер;;Маормер;;;;;;;;;x
falmer;Фалмер;Фалмер;Фалмер;;Фалмер;;;;;;;;;x
dwemer;Двемер;Двемер;Двемер;;Двемер;;;;;;;;;x
### Chimeris
chimeris;Кимер;Кимер;Кимер;;Кимер;;;;;;;;;x
orsimer;Орсимер;Орсимер;Орсимер;;Орсимер;;;;;;;;;x
ashlander;Эшлендер;Эшлендер;Эшлендер;;Эшлендер;;;;;;;;;x
dunmer;Данмер;Данмер;Данмер;;Данмер;;;;;;;;;x
chimer;Кимер;;;;;;;;;;;;;x
### Argonian
argonian;Аргонианец;;;;;;;;;;;;;x
agaceph;Агацеф;Агацеф;Агацеф;;Агацеф;;;;;;;;;x
archein;Аркейн;Аркейн;Аркейн;;Аркейн;;;;;;;;;x
paatru;Паатру;Паатру;Паатру;;Паатру;;;;;;;;;
sarpa;Сарпа;Сарпа;Сарпа;;Сарпа;;;;;;;;;
naga;Нага;Нага;Нага;;Нага;;;;;;;;;x
lukiul;Лукайул;;;;;;;;;;;;;x
### Khajiit
khajiit;Каджит;Каджит;Каджит;;Каджит;;;;;;;;;x
pellitinian;Пеллетинец;Пеллетинец;Пеллетинец;;Пеллетинец;;;;;;;;;
anequinan;Анеквинец;Анеквинец;Анеквинец;;Анеквинец;;;;;;;;;x
### Tsaesci
tsaesci_group;Цаэски;;;;;;;;;;;;;x
tsaesci;Цаэски;Цаэски;Цаэски;;Цаэски;;;;;;;;;
### Kamal
kamal_group;Камаль;;;;;;;;;;;;;
kamal;Камаль;;;;;;;;;;;;;
### Tang Mo
tangmo_group;Танг Мо;;;;;;;;;;;;;x
tangmo;Танг Мо;Танг Мо;Танг Мо;;Танг Мо;;;;;;;;;x
### Po Tun
potun_group;По Тун;;;;;;;;;;;;;x
potun;По Тун;По Тун;По Тун;;По Тун;;;;;;;;;
### Islander
islander_group;Айлендерская;;;;;;;;;;;;;x
akaviri;Акавирец;Акавирец;Акавирец;;Акавирец;;;;;;;;;x
quey;Квей;;;;;;;;;;;;;x
### Sload
sload_group;Слоад;;;;;;;;;;;;;x
sload;Слоад;;;;;;;;;;;;;x
### Undead
undead;Нежить;Нежить;Нежить;;Нежить;;;;;;;;;
draugr;Драугр;Драугр;Драугр;;Драугр;;;;;;;;;
skeleton;Скелет;Скелет;Скелет;;Скелет;;;;;;;;;
outsider;Каирн Душ;;;;;;;;;;;;;x
### Culture features
altmer_FEATURES;§YОсобые возможности§!:\n§Y*§! Персонажи должны поддерживать незапятнанную кровь, чтобы оставаться чистыми;;;;;;;;;x
colovian_FEATURES;§YОсобые возможности§!:\n§Y*§! Имеется доступ к имперской бюрократической политике;;;;;;;;;x
imperial_FEATURES;§YОсобые возможности§!:\n§Y*§! Имеется доступ к имперской бюрократической политике;;;;;;;;;x
nibenean_FEATURES;§YОсобые возможности§!:\n§Y*§! Имеется доступ к имперской бюрократической политике;;;;;;;;;x
argonian_FEATURES;§YОсобые возможности§!:\n§Y*§! Аргонианские провинции следуют Хисту, и им будет трудно отойти от этого\n§Y*§! Поклонники Хиста могут переориентировать свою связь с Хистом, увеличивая одну из своих характеристик за счет уменьшения других;;;;;;;;;x
yokudan_group_FEATURES;§YОсобые возможности§!:\n§Y*§! Последователи Йокуданского Пантеона могут присоединиться к Певцам Мечей;;;;;;;;;x
nord_FEATURES;§YОсобые возможности§!:\n§Y*§! Имеется доступ к нордскому закону о правопреемстве;;;;;;;;;x
atmoran_FEATURES;§YОсобые возможности§!:\n§Y*§! Имеется доступ к нордскому закону о правопреемстве;;;;;;;;;x
skaal_FEATURES;§YОсобые возможности§!:\n§Y*§! Имеется доступ к нордскому закону о правопреемстве;;;;;;;;;x
