Sora_EK_abandon_claim_no_Need_opt;Мне всё равно это не нужно...;;;;;;;;;;;;;x
Sora_EK_abandon_claim_other_one_opt;Я имел ввиду другие притязания.;;;;;;;;;;;;;x
Sora_EK_abandon_claim_abort_opt;Я изменил своё мнение...;;;;;;;;;;;;;x
Sora_EK_abandon_claim_empire_des_desc;Если не нужное вам притязание не отображается в событии, опять примите решение, так как существует фактор случайности.;;;;;;;;;;;;;x
Sora_EK_abandon_claim_empire_des;Отказаться от притязания на Империю;;;;;;;;;;;;;x
Sora_EK_abandon_claim_kingdom_des_desc;Если не нужное вам притязание не отображается в событии, опять примите решение, так как существует фактор случайности.;;;;;;;;;;;;;x
Sora_EK_abandon_claim_kingdom_des;Отказаться от притязания на Королевство;;;;;;;;;;;;;x
Sora_EK_abandon_claim_duchy_des_desc;Если не нужное вам притязание не отображается в событии, опять примите решение, так как существует фактор случайности.;;;;;;;;;;;;;x
Sora_EK_abandon_claim_duchy_des;Отказаться от притязания на Герцогство;;;;;;;;;;;;;x
Sora_EK_abandon_claim_county_des_desc;Если не нужное вам притязание не отображается в событии, опять примите решение, так как существует фактор случайности.;;;;;;;;;;;;;x
Sora_EK_abandon_claim_county_des;Отказаться от притязания на Графство;;;;;;;;;;;;;x
Sora_EK_abandon_claim_barony_des_desc;Если не нужное вам притязание не отображается в событии, опять примите решение, так как существует фактор случайности.;;;;;;;;;;;;;x
Sora_EK_abandon_claim_barony_des;Отказаться от притязания на Баронство;;;;;;;;;;;;;x
Sora_EK_abandon_claim_Empire_evt_desc;От какого императорского притязания вы хотите отказаться?;;;;;;;;;;;;;x
Sora_EK_abandon_claim_Kingdom_evt_desc;От какого королевского притязания вы хотите отказаться?;;;;;;;;;;;;;x
Sora_EK_abandon_claim_Duchy_evt_desc;От какого герцогского притязания вы хотите отказаться?;;;;;;;;;;;;;x
Sora_EK_abandon_claim_County_evt_desc;От какого графского притязания вы хотите отказаться?;;;;;;;;;;;;;x
Sora_EK_abandon_claim_Barony_evt_desc;От какого баронского притязания вы хотите отказаться?;;;;;;;;;;;;;x
