#Warnames and Descriptions;;;;;;;;;;;;;;x
CB_NAME_BANDIT_CONQUEST;Разбойничий налёт на [Title.GetBaseName];;;;;;;;;;;;;x
bandit_revolt_desc;Восстание разбойников;;;;;;;;;;;;;x
ek_liberate_slaves_cb;Освобождение рабов;;;;;;;;;;;;;x
ek_liberate_slaves_cb_desc;[From.GetBestName] взял некоторых из ваших подданных в рабство и до сих пор удерживает их в [From.GetHerHis] землях. Время пойти на [From.GetHerHis] землю, и вернуть их обратно.;;;;;;;;;;;;;x
ek_stop_slavery_cb;Искоренение рабства;;;;;;;;;;;;;x
ek_stop_slavery_cb_desc;[Root.GetBestName] видит в рабстве мерзость и оскорбление для всех живых людей. [Root.GetSheHeCap] будет маршировать и сражаться за право всех живых существ жить свободными от оков и плетей работорговцев.;;;;;;;;;;;;;x
ROOT_LIBERATE_FROM_REALM_CT;§Y*§! Все рабы в [From.GetBestName] будут освобождены\n§Y*§! Те, кто был частью вашей фракции, §Yвернутся домой§! под вашим сопровождением, в то время как те, кого не было, будут расселены, пытаясь найти лучшую и, надеюсь, свободную от других работорговцев жизнь.\n§Y*§! Любая провинция, освобожденная во время войны или в результате нее, увеличит вашу славу §YОсвободителя§!.;;;;;;;;;;;;;x
FROM_LIBERATE_ROOT_REALM_CT;§Y*§! [From.GetBestName] освободит всех рабов в твоей фракции.\n§Y*§! Те, кто был частью вашей фракции, §Yвернутся домой§! под [From.GetHerHis] сопровождением, в то время как те, кого не было, будут расселены, пытаясь найти лучшую и, надеюсь, свободную от других работорговцев жизнь.\n§Y*§! Любая провинция, освобожденная во время войны или в результате нее, увеличит [From.GetHerHis] славу §YОсвободителя§!.;;;;;;;;;;;;;x
ROOT_LIBERATE_OWN_FROM_REALM_CT;§Y*§! Вы освободите всех рабов, взятых из ваших провинций в [From.GetBestName].\n§Y*§! Любая провинция, освобожденная во время войны или в результате нее, увеличит вашу славу §YОсвободителя§!.;;;;;;;;;;;;;x
FROM_LIBERATE_OWN_ROOT_REALM_CT;§Y*§! [From.GetBestName] освободит всех рабов [From.GetHerHis] провинций в твоей фракции\n§Y*§! Любая провинция, освобожденная во время войны или в результате нее, увеличит [From.GetHerHis] славу §YОсвободителя§!.;;;;;;;;;;;;;x
ROOT_SLAVERY_FORBIDDEN_CT;§Y*§! Рабство будет §Rзапрещено§! в ваших землях.;;;;;;;;;;;;;x
FROM_SLAVERY_FORBIDDEN_CT;§Y*§! Рабство будет §Rзапрещено§! в [From.GetBestName] землях.;;;;;;;;;;;;;x
ROOT_ENSLAVE_FROM_REALM_CT;§Y*§! Любая провинция, граничащая с владениями [From.GetBestName] будет §Yпорабощена§!. Это включает в себя любую провинцию, находящуюся на расстоянии §Yодного морского пути§! от вашего королевства, или §Yдва§!, если вы являетесь частью религии или культуры §Yморских разбойников§! или имеете §YРодословную Работорговца§!.\n§Y*§! Если превышен лимит порабощенных провинций, чем у вас есть, то рабы будут проданы.\n§Y*§! Любая провинция, порабощенная таким образом, увеличит вашу известность §YРаботорговца§!.;;;;;;;;;;;;;x
FROM_ENSLAVE_ROOT_REALM_CT;§Y*§! Любая провинция, граничащая с вашими владениями будет §Yпорабощена§! персонажем [From.GetBestName]. Это включает в себя любую провинцию, находящуюся на расстоянии §Yодного морского пути§! от [From.GetHerHis] королевства, или §Yдва§!, если [From.GetHerHis] является частью религии или культуры §Yморских разбойников§! или имеете §YРодословную Работорговца§!.\n§Y*§! Если [From.GetFirstName] превысит лимит порабощенных провинций, то рабы будут проданы.\n§Y*§! Любая провинция, порабощенная таким образом, увеличит [From.GetHerHis] известность §YРаботорговца§!.;;;;;;;;;;;;;x
ek_slave_raid_cb;Налёт на рабов;;;;;;;;;;;;;x
ek_slave_raid_cb_desc;Работорговцы могут совершать набеги на своих соседей, чтобы поработить часть их населения. Большинство культур будут порабощать только провинции, граничащие с их царством или провинциями, в одном и том же морском пути, но мореплаватели также будут порабощать провинции еще дальше.;;;;;;;;;;;;;x
slave_liberation_revolt_desc;Восстание рабов;;;;;;;;;;;;;x
draugr_purify_undead_cb_desc;Сжечь нежить;;;;;;;;;;;;;x
draugr_scourge_living_cb_desc;Истребить живых;;;;;;;;;;;;;x
liberate_slaves_desc;Освободить рабов;;;;;;;;;;;;;x
liberation_cb_succ_tip;Рабы станут свободными и самостоятельно сформируют независимое государство;;;;;;;;;;;;;x
warlord_conquest_revolt_desc;Восстание против Варлорда;;;;;;;;;;;;;x
warlord_conquest_desc;Завоевание Варлорда;;;;;;;;;;;;;x
pirate_raid_cb_desc;Пиратский налёт;;;;;;;;;;;;;x
CB_NAME_REDUCE_CROWN_LEVIES;Война за понижение ополчения Короны;;;;;;;;;;;;;x
reduce_crown_levies_desc;Война правителя за понижение ополчения Короны;;;;;;;;;;;;;x
CB_NAME_REMOVE_REVOKATION;Война за отмену Закона об отзыве титулов;;;;;;;;;;;;;x
remove_revokation_desc;Война правителя за отмену Закона об отзыве титулов;;;;;;;;;;;;;x
CB_NAME_REMOVE_INHERITANCE;Война за смену закона наследования;;;;;;;;;;;;;x
remove_inheritance_desc;Война правителя за смену закона о наследовании;;;;;;;;;;;;;x
CB_NAME_REMOVE_KING_PEACE;Война за отмену Королевского Мира;;;;;;;;;;;;;x
house_war_cb;Война Домов;;;;;;;;;;;;;x
house_war_cb_desc;[Root.GetBestName] начал(а) войну, столкнув Дома во имя чести, славы и богатства. Эта война дейтствительно только против правителей с чертой определенного дома. Персонаж с чертой Бездомный всегда является действительной целью.;;;;;;;;;;;;;x
CB_NAME_HOUSE_WAR;Война Домов;;;;;;;;;;;;;x
WAR_NAME_HOUSE_WAR;Война Домов;;;;;;;;;;;;;x
CB_NAME_LYCAN_REVOLT;Восстание ликанов;;;;;;;;;;;;;x
WAR_NAME_LYCAN_REVOLT;Восстание ликанов;;;;;;;;;;;;;x
LYCAN_UPRISING;Волчья стая [Root.GetName];;;;;;;;;;;;;x
CB_NAME_VAMPIRE_REVOLT;Восстание вампиров;;;;;;;;;;;;;x
WAR_NAME_VAMPIRE_REVOLT;Восстание вампиров;;;;;;;;;;;;;x
VAMPIRE_UPRISING;Ковен вампиров [Root.Getname];;;;;;;;;;;;;x
remove_king_peace_desc;Война за отмену Королевского Мира;;;;;;;;;;;;;x
unite_highkingdom_v_desc;Борьба за объединение Верховного Королевства Валенвуд;;;;;;;;;;;;;x
unite_highkingdom_su_desc;Борьба за объединение Верховного Королевства Саммерсет;;;;;;;;;;;;;x
unite_highkingdom_sk_desc;Борьба за объединение Верховного Королевства Скайрим;;;;;;;;;;;;;x
unite_highkingdom_p_desc;Борьба за объединение Верховного Королевства Пиандонея;;;;;;;;;;;;;x
unite_highkingdom_m_desc;Борьба за объединение Верховного Королевства Морровинд;;;;;;;;;;;;;x
unite_highkingdom_hi_desc;Борьба за объединение Верховного Королевства Хай Рок;;;;;;;;;;;;;x
unite_highkingdom_ha_desc;Борьба за объединение Верховного Королевства Хаммерфелл;;;;;;;;;;;;;x
unite_highkingdom_e_desc;Борьба за объединение Верховного Королевства Эльсвейр;;;;;;;;;;;;;x
unite_highkingdom_c_desc;Борьба за объединение Верховного Королевства Сиродиил;;;;;;;;;;;;;x
unite_highkingdom_a_desc;Борьба за объединение Верховного Королевства Аргония;;;;;;;;;;;;;x
#War Resolution related Events;;;;;;;;;;;;;;
sor_warevents_Scourge_Undead_Province_desc;После успешного разгрома основных сил нежити в провинции, ваши воины принялись уничтожать оставшихся в этой области мертвецов!;;;;;;;;;;;;;x
sor_warevents_Scourge_Undead_Province_opt;Сжечь!!!;;;;;;;;;;;;;x
sor_warevents_Draugr_Scourge_Province_desc;Ваши орды драугров неуклонно преследуют любых Живых в провинции. Они приведут их к новой жизни… по ту сторону бытия!;;;;;;;;;;;;;x
sor_warevents_Draugr_Scourge_Province_opt;Добро пожаловать, мои верные слуги!;;;;;;;;;;;;;x
sor_warevents_Lost_Zealous_desc;Что-то изменилось...\nНедавняя война против неверных научила меня чему-то новому. Я узнал больше о других верованиях...;;;;;;;;;;;;;x
sor_warevents_Lost_Zealous_opt;Ночь больше не темна, и не полна ужасов!;;;;;;;;;;;;;x
