LOADING_MAP_SPRITES;Рождение Аэдра...;Chargement des sprites de carte…;Karten-Sprites werden geladen ...;Wczytywanie Map-Sprites...;Cargando grбficos animados del mapa...;Caricamento Sprites mappa in corso...;Egysйgek betцltйse…;;;;;;;x
LOADING_GUI_DEF;Порождение Даэдра...;Chargement GUI…;GUI-Definitionen werden geladen ...;Wczytywanie definicji interfejsu graficznego...;Cargando definiciones de la interfaz...;Caricamento definizioni GUI in corso...;GUI betцltйse…;;;;;;;x
LOADING_DATABASES;Служим Акатошу...;Chargement Data…;Datenbanken werden geladen ...;Wczytywanie baz danych...;Cargando bases de datos...;Caricamento database in corso...;Adatbбzis betцltйse…;;;;;;;x
INIT_MAP_LOGIC;Пробуждаем Джулианоса...;Initialisation Maplogic…;Kartenlogik wird initialisiert ...;Uruchamianie Maplogic...;Iniciando mapa lуgico...;Inizializzazione Maplogic in corso...;Pбlyaъtvonalak tцltйse…;;;;;;;x
CREATING_CHKSUM;Разбираемся в Нитях Времени...;Crйation Checksum…;Checksumme wird erstell t...;Tworzenie sumy kontrolnej...;Creando tabla de verificaciуn...;Creazione checksum in corso...;Ellenхrzх цsszeg lйtrehozбsa…;;;;;;;x
CALC_PATHS;Разрабатываем Мундус...;Calcul des chemins…;Pfade werden berechnet ...;Obliczanie њcieїek...;Calculando rutas...;Calcolo percorsi in corso...;Ъtvonalak kiszбmнtбsa…;;;;;;;x
GENERATING_COAS;Формируем Нирн...;Gйnйration des armoiries;Wappen wird erstellt;;Generando escudo de armas;;;;;;;;;x
LOADING_HISTORY;Создание Древних Свитков...;Chargement des fichiers historiques...;Geschichtsdateien werden geladen ...;Wczytywanie plikуw historycznych...;Cargando archivos histуricos...;Caricamento file storia in corso...;Tцrtйnelmi fбjlok betцltйse…;;;;;;;x
LOAD_EVENTS;Впускаем Героев и Магию...;Chargement des йvиnements…;Ereignisse werden geladen ...;Wczytywanie zdarzeс...;Cargando sucesos...;Caricamento eventi in corso...;Esemйnek betцltйse…;;;;;;;x
LOADING_SOUNDS;Изучаем Ту'ум...;Chargement des sons…;Sounddateien werden geladen ...;Wczytywanie dџwiкkуw...;Cargando sonidos...;Caricamento suoni in corso...;Hangok betцltйse…;;;;;;;x
PROC_FLAGS;Поклоняемся Даэдра...;Traitement des Armoiries…;Flaggen werden verarbeitet ...;Przetwarzanie flag...;Procesando banderas...;Elaborazione flag in corso...;Zбszlуk feldolgozбsa…;;;;;;;x
LOAD_FLAGS;Сокрытие Сердца Лорхана...;Chargement des Armoiries…;Flaggen werden geladen ...;Wczytywanie flag...;Cargando banderas...;Caricamento flag in corso...;Zбszlуk betцltйse…;;;;;;;x
