#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
city_obligations;Городские обязательства;;;;;;;;;;;;;x
city_obligations_0;Минимальные городские обязательства;;;;;;;;;;;;;x
city_obligations_0_desc;Обязательства определяют, сколько ваши вассалы данного типа должны предоставлять вам  налогов и ополчения. На данном уровне они не будут предоставлять вам ничего сверх того, что показывает ползунок.;;;;;;;;;;;;;x
city_obligations_0_option;Миним.;;;;;;;;;;;;;x
city_obligations_1;Низкие городские обязательства;;;;;;;;;;;;;x
city_obligations_1_desc;Обязательства определяют, сколько ваши вассалы данного типа должны предоставлять вам налогов и ополчения. На данном уровне они будут предоставлять вам немного больше того, что показывает ползунок.;;;;;;;;;;;;;x
city_obligations_1_option;Низк.;;;;;;;;;;;;;x
city_obligations_2;Средние городские обязательства;;;;;;;;;;;;;x
city_obligations_2_desc;Обязательства определяют, сколько ваши вассалы данного типа должны предоставлять вам  налогов и ополчения. На данном уровне они будут предоставлять вам на умеренное количество больше того, что показывает ползунок.;;;;;;;;;;;;;x
city_obligations_2_option;Средн.;;;;;;;;;;;;;x
city_obligations_3;Высокие городские обязательства;;;;;;;;;;;;;x
city_obligations_3_desc;Обязательства определяют, сколько ваши вассалы данного типа должны предоставлять вам налогов и ополчения. На данном уровне они будут предоставлять вам значительно больше того, что показывает ползунок.;;;;;;;;;;;;;x
city_obligations_3_option;Высок.;;;;;;;;;;;;x
city_obligations_4;Тяжёлые городские обязательства;;;;;;;;;;;;;x
city_obligations_4_desc;Обязательства определяют, сколько ваши вассалы данного типа должны предоставлять вам налогов  и ополчения. На данном уровне они будут предоставлять вам намного больше того, что показывает ползунок.;;;;;;;;;;;;;x
city_obligations_4_option;Тяжёл.;;;;;;;;;;;;;x
city_obligations_desc;Обязательства определяют, сколько ваши вассалы данного типа должны предоставлять вам налогов и ополчения.;;;;;;;;;;;;;x
city_slider;Фокусировка на горожанах;;;;;;;;;;;;;x
city_slider_0;Фокус на высокой численности ополчения для горожан;;;;;;;;;;;;;x
city_slider_0_desc;Фокусировка на горожанах изменяет их обязательства к вам. На этом уровне вы отказались от значительной части налога ради более крупного ополчения.;;;;;;;;;;;;;x
city_slider_0_option;Ополчение++;;;;;;;;;;;;;x
city_slider_1;Фокус на умеренной численности ополчения для горожан;;;;;;;;;;;;;x
city_slider_1_desc;Фокусировка на горожанах изменяет их обязательства к вам. На этом уровне вы отказались от части налога ради умеренного бонуса к численности ополчения.;;;;;;;;;;;;;x
city_slider_1_option;Ополчение+;;;;;;;;;;;;;x
city_slider_2;Сбалансированные городские обязательства;;;;;;;;;;;;;x
city_slider_2_desc;Фокусировка на горожанах изменяет их обязательства к вам. На этом уровне вы не сосредоточились на какой-либо области.;;;;;;;;;;;;;x
city_slider_2_option;Баланс;;;;;;;;;;;;;x
city_slider_3;Умеренные городские налоги;;;;;;;;;;;;;x
city_slider_3_desc;Фокус на горожанах изменяет их обязательства по отношению к вам. На этом уровне вы отказались от части ополчения ради некоторого бонуса к налогам.;;;;;;;;;;;;;x
