PROV1;Имперский Остров;;;;;;;;;;;;;x
PROV2;Никель;;;;;;;;;;;;;x
PROV3;Эльсвелл;;;;;;;;;;;;;x
PROV4;Карактакус;;;;;;;;;;;;;x
PROV5;Урасек;;;;;;;;;;;;;x
PROV6;Магиа;;;;;;;;;;;;;x
PROV7;Сеянус;;;;;;;;;;;;;x
PROV8;Алессия;;;;;;;;;;;;;x
PROV9;Вариэла;;;;;;;;;;;;;x
PROV10;Бравил;;;;;;;;;;;;;x
PROV11;Ирония;;;;;;;;;;;;;x
PROV12;Номор;;;;;;;;;;;;;x
PROV13;Лейавин;;;;;;;;;;;;;x
PROV14;Глубокое Презрение;;;;;;;;;;;;;x
PROV15;Редман;;;;;;;;;;;;;x
PROV16;Вейонд;;;;;;;;;;;;;x
PROV17;Телеман;;;;;;;;;;;;;x
PROV18;Флесия;;;;;;;;;;;;;x
PROV19;Аурус;;;;;;;;;;;;;x
PROV20;Дунстад;;;;;;;;;;;;;x
PROV21;Фасиан;;;;;;;;;;;;;x
PROV22;Энтиус;;;;;;;;;;;;;x
PROV23;Картспайр;;;;;;;;;;;;;x
PROV24;Красная Вода;;;;;;;;;;;;;x
PROV25;Хорунн;;;;;;;;;;;;;x
PROV26;Чалман;;;;;;;;;;;;;x
PROV27;Фросткрег;;;;;;;;;;;;;x
PROV28;Тоадстул;;;;;;;;;;;;;x
PROV29;Джерол;;;;;;;;;;;;;x
PROV30;Фаррагут;;;;;;;;;;;;;x
PROV31;Чейдинхол;;;;;;;;;;;;;x
PROV32;Насо;;;;;;;;;;;;;x
PROV33;Скиния;;;;;;;;;;;;;x
PROV34;Альфтанд;;;;;;;;;;;;;x
PROV35;Робек;;;;;;;;;;;;;x
PROV36;Чёрный Сапог;;;;;;;;;;;;;x
PROV37;Властарус;;;;;;;;;;;;;x
PROV38;Скинград;;;;;;;;;;;;;x
PROV39;Готтлесфонт;;;;;;;;;;;;;x
PROV40;Камень Шора;;;;;;;;;;;;;x
PROV41;Эш;;;;;;;;;;;;;x
PROV42;Колдкорн;;;;;;;;;;;;;x
PROV43;Санкр Тор;;;;;;;;;;;;;x
PROV44;Рейлес;;;;;;;;;;;;;x
PROV45;Коррол;;;;;;;;;;;;;x
PROV46;Онтус;;;;;;;;;;;;;x
PROV47;Дирих;;;;;;;;;;;;;x
PROV48;Истирус;;;;;;;;;;;;;x
PROV49;Кватч;;;;;;;;;;;;;x
PROV50;Линчал;;;;;;;;;;;;;x
PROV51;Хастрел;;;;;;;;;;;;;x
PROV52;Сатч;;;;;;;;;;;;;x
PROV53;Приют Ворона;;;;;;;;;;;;;x
PROV54;Вариэль;;;;;;;;;;;;;x
PROV55;Ансилвунд;;;;;;;;;;;;;x
PROV56;Анвил;;;;;;;;;;;;;x
PROV57;Брума;;;;;;;;;;;;;x
PROV58;Горький Берег;;;;;;;;;;;;;x
PROV59;Пелагиад;;;;;;;;;;;;;x
PROV60;Западное Нагорье;;;;;;;;;;;;;x
PROV61;Эшленд;;;;;;;;;;;;;x
PROV62;Шигорад;;;;;;;;;;;;;x
PROV63;Грейзленд;;;;;;;;;;;;;x
PROV64;Побережье Азуры;;;;;;;;;;;;;x
PROV65;Молаг Амур;;;;;;;;;;;;;x
PROV66;Хирстаанг;;;;;;;;;;;;;x
PROV67;Моэсринг;;;;;;;;;;;;;x
PROV68;Фелсаад;;;;;;;;;;;;;x
PROV69;Фёстхолд;;;;;;;;;;;;;x
PROV70;Лиллвуд;;;;;;;;;;;;;x
PROV71;Даск;;;;;;;;;;;;;x
PROV72;Санхолд;;;;;;;;;;;;;x
PROV73;Алинор;;;;;;;;;;;;;x
PROV74;Шиммерин;;;;;;;;;;;;;x
PROV75;Клаудрест;;;;;;;;;;;;;x
PROV76;Лилландрил;;;;;;;;;;;;;x
PROV77;Телваннис;;;;;;;;;;;;;x
PROV78;Файрвотч;;;;;;;;;;;;;x
PROV79;Пралорис;;;;;;;;;;;;;x
PROV80;Альт Босара;;;;;;;;;;;;;x
PROV81;Драконья Поляна;;;;;;;;;;;;;x
PROV82;Некром;;;;;;;;;;;;;x
PROV83;Дарвон;;;;;;;;;;;;;x
PROV84;Сайлен;;;;;;;;;;;;;x
PROV85;Босмора;;;;;;;;;;;;;x
PROV86;Альдсота;;;;;;;;;;;;;x
PROV87;Морнхолд;;;;;;;;;;;;;x
PROV88;Тир;;;;;;;;;;;;;x
PROV89;Эбонхарт;;;;;;;;;;;;;x
PROV90;Олтренис;;;;;;;;;;;;;x
PROV91;Сота Сил;;;;;;;;;;;;;x
PROV92;Нарсис;;;;;;;;;;;;;x
PROV93;Андретис;;;;;;;;;;;;;x
PROV94;Крагенмур;;;;;;;;;;;;;x
PROV95;Балфаллс;;;;;;;;;;;;;x
PROV96;Бодрум;;;;;;;;;;;;;x
PROV97;Омауни;;;;;;;;;;;;;x
PROV98;Блэклайт;;;;;;;;;;;;;x
PROV99;Силград;;;;;;;;;;;;;x
PROV100;Ганарис;;;;;;;;;;;;;x
PROV101;Ганарис;;;;;;;;;;;;;x
PROV102;Соулрест;;;;;;;;;;;;;x
PROV103;Рокгроув;;;;;;;;;;;;;x
PROV104;Стоунвейстес;;;;;;;;;;;;;x
PROV105;Гидеон;;;;;;;;;;;;;x
PROV106;Гленбридж;;;;;;;;;;;;;x
PROV107;Штормхолд;;;;;;;;;;;;;x
PROV108;Тенмарвалл;;;;;;;;;;;;;x
PROV109;Хелстром;;;;;;;;;;;;;x
PROV110;Торн;;;;;;;;;;;;;x
PROV111;Коримонт;;;;;;;;;;;;;x
PROV112;Ривервалк;;;;;;;;;;;;;x
PROV113;Чейскрик;;;;;;;;;;;;;x
PROV114;Бранчмонт;;;;;;;;;;;;;x
PROV115;Сифоллс;;;;;;;;;;;;;x
PROV116;Архон;;;;;;;;;;;;;x
PROV117;Скалистый Парк;;;;;;;;;;;;;x
