almsivi_DESC;"Храм Трибунала - исконная религия Данмеров, жителей Морровинда. Они поклоняются живым божествам: Альмалексии, Вивеку и Сота Силу. Вместе они известны как АЛЬМСИВИ. Так же Данмеры почитают хороших даэдра"", Предтечей Трибунала. Это Азура, Мефала и Боэтия. Имеют разветвлённую сеть Святых. Начало АЛЬМСИВИ было положено во время войны Первого Совета, когда кимеры (будущие данмеры) победили двемеров и взяли инструменты Мастера Кагренака для себя. Годы спустя, Сота Сил нашёл способ использовать их на Сердце Лорхана. Именно это послужило началом для Трибунала. Обретя божественную силу, АЛЬМСИВИ совершали великие дела... и в первую очередь для данмеров, которые им поклоняются.""";;;;;;;;;;;;;x;
kapotun_pantheon_DESC;Ка По'Тунский Пантеон - сложное объединение богов и верований.;;;;;;;;;;;;;x;
alikr_DESC;"Возникшая в ходе естественного развития верований Йокуды, религия Алик'р имеет во главе своего пантеона Руптга, Высокого Отца, первого из выживших во время Голода Сатакала (смены цикла). Циклами же руководит Сатакал, бог всего"", сплав концепций Ану и Падомая. Он очень похож на северного Алдуина, который разрушает один мир, чтобы мог родиться следующий. Он очень популярен среди кочевников пустыни Алик'р. Пантеон так же включает в себя Зетха, жену Высокого Отца Морфу, Тава, Хун-Динга, Леки, Онси, Диагну и Ту'вакку. Последний до сотворения мира пребывал в апатии, и был богом уныния, но потом занял место проводника душ и хранителя умерших. В мифотворчестве Йокуды учавствует и Сеп, ""безумный"" покровитель торговли. Он убедил других духов создать план смертных, чтобы упростить богам жизнь во время Голода Сатакала. Но их согласие сделало смену циклов ещё более смертоносной, а Голод Сатакала стал неумолим. Таким образом, верования редгардов имеют гораздо больше общего с эльфийскими традициями, чем с людскими, в которых существования смертного плана воспринимается как благословение.""";;;;;;;;;;;;x;;
apologist_DESC;"Апологеты считают, что Мундус, план смертных, не так уж и плох, как его видят более консервативные из меров. Они не хотят видеть конец Нирна, и даже не думают избавиться от него. В основном Апологеты почитают Стендарра, который в ранних легендах альдмеров представлен как Защитник Людей"". Другие эльфийские боги относятся к нему с неприязнью, за чересчур ""приземлённую"" натуру.""";;;;;;;;;;;;;x;
arcturian_DESC;"Последователи скандального, вызывающего писания, известного как Арктурианская Ересь. Арктурианцы верят, что Талос, бог-герой Человечества, не более чем хитросплетённая ложь. Согласно их доктринам, Талос из Атморы на самом деле некий Хьялти Раннеобородый, бретонец из Хай Рока. На фоне слухов о великом вожде, что должен сковать Тамриэль воедино, он сумел пробиться на значительный пост при Кулекайне Фалькретском, что правил на западе Сиродила. Вместе с королём, Хьялти боролся за единство Сиродиила. Мало кто ведал о тайном союзнике Раннебородого, Подземном Короле. Чудовище носило имя Исмир, Творец Королей. Он оказывал всяческую поддержку молодому генералу, но уровень его силы в писании арктурианцев не указан. Есть отсылки на некий шторм, в который Хьялти всю ночь отбивал стрелы, Крича с вершины Старого Хродгара. Там же ему дали имя Талос, Венец Бури. Эта буря, скорее всего, и была вызвана Подземным Королём, так как в легендах он упоминается как Исмир, Серый Ветер"" и ""Буря Кин"". Когда провинция Сиродиил была завоёвана, Хьялти убил Кулекайна и его людей в Имперском Городе, обвинив в смерти последующем поджоге убийц из Хай Рока. Подземный Король продолжал помогать юному властителю, а Хьялти принял имя Тайбера Септима, восходя на Рубиновый Престол.""";;;;;;;;;;;;;x;
auriel_DESC;Изначальный пантеон высоких эльфов основан на традициях альдмери, и состоит из Аури-Эля, Йи'ффре, Лорхана, Магнуса, Тринимака, Финастера, Ксена, Заркса, Стендарра, Сирабана и Мары. Верховным божеством является Аури-Эль (он же Акатош), потомок Ануи-Эля и Ану, Вездесущего. Он является главой большинства мерских пантеонов, а босмеры и альтмеры утверждают о прямом родстве с ним. В минуты слабости, он внял доводам Лорхана и принял участие в сотворении смертного плана, который навсегда оторвал эльфов от их духовного мира. В былые время, во имя возмездия, Аури-Эль вёл армии древних альдмеров против Лорхана, дабы низвергнуть тирана и сотворить первые царства альдмеров, Альтмору и Старый Эльнофей. Затем, он вознёсся на небо, и ныне его почитатели находятся под постоянным наблюдением божества, дабы узнать секрет. Секрет, который позволит им сбежать из мира Смертных.;;;;;;;;;;;;;x;
brethren_DESC;Опаснейший культ, зародившейся на самом западе Коловии. Его последователи скрытны и стремятся принести как можно больше жертв для своих таинственных повелителей, Глубоководных, которые обитают в пещерах глубоко под коловианской землёй. Секта Глубоководных привлекает огромное количество последователей, которые согласно своей Священной Книге обитают под землёй, в надежде узреть Глубоководных собственными глазами.;;;;;;;;;;;;;x;
ACCORDS_OF_MADNESS;Аккорды Безумия;;;;;;;;;;;;;x;
old_gods_reformed;Новые Боги;;;;;;;;;;;;;x;
old_gods_reformed_DESC;Несмотря на название, в реформированной вере ричменов не появляется ни одного нового божества, но поклонение Старым Богам было полностью изменено, появилась жреческая иерархия и стандартизированные ритуалы. Верования предельцев были крайне разнообразны, в отличии от культа Девяти. Теперь же, каста жрецов делает многое для того, чтобы вернуть наиболее отдаленные и варварские общины в лоно правоверия.;;;;;;;;;;;;;x;
aedra;Аэдра;;;;;;;;;;;;;x;
eight_divines_mod;Поклонение Восьмерым;;;;;;;;;;;;;x;
hist_rogue;Хист Отречённый;;;;;;;;;;;;;x;
hist_rogue_DESC;Когда Хист отключается от общей психической сети, и теряет связь со своими собратьями, он становится Отречённым, получая невиданные и неизвестные силы.;;;;;;;;;;;;;x;
nine_divines_mod;Поклонение Девятерым;;;;;;;;;;;;;x;
