secret_religious_society_hist;Почитатели Хиста;;;;;;;;;;;;;x;
secret_religious_society_eight_divines;Верные Восьмерым;;;;;;;;;;;;;x;
secret_religious_society_nine_divines;Пособники Крестоносца;;;;;;;;;;;;;x;
secret_religious_society_sixth_house;Спящие Дагота;;;;;;;;;;;;;x;
secret_religious_society_maruhkati;Избранники Марукати;;;;;;;;;;;;;x;
secret_religious_society_auriel;Свита Аури-Эля;;;;;;;;;;;;;x;
secret_religious_society_satakal;Жрецы Змеиного Бога;;;;;;;;;;;;;x;
secret_religious_society_alikr;Стражи Пустыни;;;;;;;;;;;;;x;
secret_religious_society_reclamationist;Нео-Ординаторы;;;;;;;;;;;;;x;
secret_religious_society_almsivi;Подданые Трибунала;;;;;;;;;;;;;x;
secret_religious_society_green_pact;Идущие-Сквозь-Зелень;;;;;;;;;;;;;x;
secret_religious_society_blacksap;Тайные последователи Черного корня;;;;;;;;;;;;;x;
secret_religious_society_almsivi_old_velothi;Люди Пророка;;;;;;;;;;;;;x;
secret_religious_society_nerevarine;Ждущие Воплощение;;;;;;;;;;;;;x;
secret_religious_society_daedra_azura;Избранные Сумерек;;;;;;;;;;;;;x;
secret_religious_society_daedra_boethiah;Алчущие Власти;;;;;;;;;;;;;x;
secret_religious_society_daedra_meridia;Звёзды Меридии;;;;;;;;;;;;;x;
secret_religious_society_daedra_sanguine;Гедонисты;;;;;;;;;;;;;x;
secret_religious_society_daedra_peryite;Тюремщики Ям Перита;;;;;;;;;;;;;x;
secret_religious_society_daedra_hermaeus;Читающие;;;;;;;;;;;;;x;
secret_religious_society_daedra_malacath;Чтящие Кодекс;;;;;;;;;;;;;x;
secret_religious_society_daedra_hircine;Всадники Дикой охоты;;;;;;;;;;;;;x;
secret_religious_society_daedra_clavicus;Толкователи Сделок;;;;;;;;;;;;;x;
secret_religious_society_daedra_jyggalag;Мечтатели Порядка;;;;;;;;;;;;;x;
secret_religious_society_daedra_sheogorath;Безумцы Арден-Сула;;;;;;;;;;;;;x;
secret_religious_society_daedra_molag;Булавоносцы;;;;;;;;;;;;;x;
secret_religious_society_daedra_mehrunes;Мифический Рассвет;;;;;;;;;;;;;x;
secret_religious_society_daedra_namira;Культ трупоедов;;;;;;;;;;;;;x;
