magicka.1.d;Я чувствую, как моя сила медленно возвращается. Я восстановил часть своей магии.;;;;;;;;;;;;;x
spellbook_open;Открыть книгу заклинаний;;;;;;;;;;;;;x;
spellbook_open_desc;Доступ к вашему гримуару.;;;;;;;;;;;;;x;
spellbook_close;Закрыть книгу заклинаний;;;;;;;;;;;;;x;
spellbook_close_desc;Убрать ваш гримуар.;;;;;;;;;;;;;x;
spellbook_open_1;Открыть книгу заклинаний;;;;;;;;;;;;;x;
spellbook_open_1_desc;Доступ к вашему гримуару.;;;;;;;;;;;;;x;
spellbook_close_1;Закрыть книгу заклинаний;;;;;;;;;;;;;x;
spellbook_close_1_desc;Убрать ваш гримуар.;;;;;;;;;;;;;x;
spellbook_open_2;Открыть книгу заклинаний;;;;;;;;;;;;;x;
spellbook_open_2_desc;Доступ к вашему гримуару.;;;;;;;;;;;;;x;
spellbook_close_2;Закрыть книгу заклинаний;;;;;;;;;;;;;x;
spellbook_close_2_desc;Убрать ваш гримуар.;;;;;;;;;;;;;x;
magicka_counter;Магия: [Root.magicka_current.GetValue]/[Root.magicka_max.GetValue];;;;;;;;;;;;;x;
magicka_counter_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе.\nПерсонаж может хранить до 2 очков магии (не государственной) на очко Образованности.;;;;;;;;;;;;;x;
magicka_0;Магия: 0;;;;;;;;;;;;;x;
magicka_0_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_1;Магия: 1;;;;;;;;;;;;;x;
magicka_1_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_2;Магия: 2;;;;;;;;;;;;;x;
magicka_2_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_3;Магия: 3;;;;;;;;;;;;;x;
magicka_3_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_4;Магия: 4;;;;;;;;;;;;;x;
magicka_4_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_5;Магия: 5;;;;;;;;;;;;;x;
magicka_5_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_6;Магия: 6;;;;;;;;;;;;;x;
magicka_6_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_7;Магия: 7;;;;;;;;;;;;;x;
magicka_7_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_8;Магия: 8;;;;;;;;;;;;;x;
magicka_8_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_9;Магия: 9;;;;;;;;;;;;;x;
magicka_9_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_10;Магия: 10;;;;;;;;;;;;;x;
magicka_10_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_11;Магия: 11;;;;;;;;;;;;;x;
magicka_11_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_12;Магия: 12;;;;;;;;;;;;;x;
magicka_12_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_13;Магия: 13;;;;;;;;;;;;;x;
magicka_13_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_14;Магия: 14;;;;;;;;;;;;;x;
magicka_14_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_15;Магия: 15;;;;;;;;;;;;;x;
magicka_15_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_16;Магия: 16;;;;;;;;;;;;;x;
magicka_16_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_17;Магия: 17;;;;;;;;;;;;;x;
magicka_17_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_18;Магия: 18;;;;;;;;;;;;;x;
magicka_18_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_19;Магия: 19;;;;;;;;;;;;;x;
magicka_19_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_20;Магия: 20;;;;;;;;;;;;;x;
magicka_20_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_21;Магия: 21;;;;;;;;;;;;;x;
magicka_21_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_22;Магия: 22;;;;;;;;;;;;;x;
magicka_22_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_23;Магия: 23;;;;;;;;;;;;;x;
magicka_23_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_24;Магия: 24;;;;;;;;;;;;;x;
magicka_24_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_25;Магия: 25;;;;;;;;;;;;;x;
magicka_25_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_26;Магия: 26;;;;;;;;;;;;;x;
magicka_26_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_27;Магия: 27;;;;;;;;;;;;;x;
magicka_27_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_28;Магия: 28;;;;;;;;;;;;;x;
