2reach;Владеть любыми двумя королевствами Предела, из числа небольших королевств ричменов (Бликвинд, Истрич, Картспайр, Маркарт, Рейвенхолл).;;;;;;;;;;;;;x;
38450desc;Иногда приходится идти на жертвы на пути к цели, но есть более важные вещи чем мнения несогласных. Пусть ненавидят меня, покуда мне подчиняются.;;;;;;;;;;;;;x;
38450option;Я становлюсь тираном.;;;;;;;;;;;;;x;
38451desc;Сегодня я размышлял о том, что будущие поколения будут думать о моих действиях. Всегда ли цель действительно оправдывает средства? Возможно, я  должен использовать свою власть более ответственно?;;;;;;;;;;;;;x;
38451option;Я не тиран.;;;;;;;;;;;;;x;
pankratosword_province_mild;Повреждено (Расщепление Атома);;;;;;;;;;;;;x;
pankratosword_province_harsh;Опустошение (Расщепления Атома);;;;;;;;;;;;;x;
spdtt;Должен принадлежать к религии с божествами-покровителями.;;;;;;;;;;;;;x;
convert_confederacy;Сформировать Конфедерацию;;;;;;;;;;;;;x;
convert_confederacy_desc;Изменить ваш тип правления на Конфедерацию, предоставив большую самостоятельность мелким лордам.;;;;;;;;;;;;;x;
abandon_leader_trait;Отказаться от черты Лидера;;;;;;;;;;;;;x;
abandon_leader_trait_desc;Откажитесь от своего военного опыта, в надежде получить новый.;;;;;;;;;;;;;x;
cancel_convert_province;Остановить Конвертацию;;;;;;;;;;;;;x;
cancel_convert_province_desc;Прекратите все попытки преобразовать эти провинции в свою культуру и религию.;;;;;;;;;;;;;x;
requisitioned_fishing_ships_cooldown_timer;Реквизированы Рыболовецкие Суда;;;;;;;;;;;;;x;
requisition_fishing_ships;Реквизировать Рыболовецкие Суда;;;;;;;;;;;;;x;
requisition_fishing_boats;Реквизировать Рыболовецкие Суда;;;;;;;;;;;;;x;
requisition_fishing_boats_desc;Мы воюем, и это справедливо, что мы можем приказать местным рыбакам одолжить свои лодки для нашей армии.;;;;;;;;;;;;;x;
rfsct;Не так давно реквизировал(а) рыболовные суда.;;;;;;;;;;;;;x;
plot_theft_success;Успешно украсть артефакт.;;;;;;;;;;;;;x;
pankratosword_province_permanent;Пустошь (Расщепление Атома);;;;;;;;;;;;;x;
ekanseiaftereffects_mild;Те, кто выжил, но был очевидцем Панкратомеча, всё равно пострадают, либо лишившись зрения от его блеска, либо будут сожжены его палящим прикосновением, и даже те, кто спрятались от него,  все же могут стать жертвами загадочной болезни.\nЗемля тоже будет страдать какое-то время от разрушений, причиненных магией  на суше и в море, хотя со временем, в конечном итоге, она восстановится.;;;;;;;;;;;;;x;
ekanseiaftereffects_harsh;Те, кто выжил, но был очевидцем Панкратомеча, всё равно пострадают, либо лишившись зрения от его блеска, либо будут сожжены его палящим прикосновением, и даже те, кто спрятались от него,  все же могут стать жертвами загадочной болезни.\nЗемля тоже будет страдать какое-то время от разрушений, причиненных магией  на суше и в море, хотя со временем, в конечном итоге, она восстановится.;;;;;;;;;;;;;x;
