#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
5050chanceofhagraven;У вас есть равный шанс стать Ворожеей или умереть в результате этого ритуала.;;;;;;;;;;;;;x
action_alchemy;Заняться Алхимией;;;;;;;;;;;;;x
action_alchemy_desc;Отправить [GetLordSpiritualName] в столицу вашей провинции для проведения алхимических экспериментов.;;;;;;;;;;;;;x
action_colonise;Колонизация Провинции;;;;;;;;;;;;;x
action_colonise_desc;Колонизировать выбранную провинцию для эффективного преобразования её культуры в нужную. Это может быть успешно проведено в провинции, которая не относится к вашей культурной группе и не будет иметь успеха, если культура канцлера не совпадает с культурой правителя.;;;;;;;;;;;;;x
action_mage;Обратится к Гримуару;;;;;;;;;;;;;x
action_mage_desc;Ваш [GetLordSpiritualName] будет отправлен в вашу столицу, чтобы изучать свой гримуар. Для персонажей, не владеющих магией, это откроет доступ к ограниченному перечню заклинаний (ваш запас магии будет зависеть от навыка  Образованности).;;;;;;;;;;;;;x
action_warmagic;Боевая Магия;;;;;;;;;;;;;x
action_warmagic_desc;Ваш [GetLordSpiritualName] будет отправлен в нужную провинцию, чтобы повысить боевую магию у местных войск и набрать новых боевых магов для ратных дел.;;;;;;;;;;;;;x
agaceph_opinion;Агацефское Мнение;;;;;;;;;;;;;x
ahealth100d;Эта местность в Чёрных топях ужасна...кусачие насекомые, пиявки, споры, ядовитые пары...Мне кажется, что я заболею!;;;;;;;;;;;;;x
ahealth100o1;Купить некоторые лекарства, чтобы предотвратить последствия.;;;;;;;;;;;;;x
ahealth100o2;Нет...Я смогу справиться с этим!;;;;;;;;;;;;;x
ahealth100tt;Ваше состояние ухудшается...;;;;;;;;;;;;;x
ahealth101d;Джунгли прекрасны...но всё же слишком опасны. Болезнетворные насекомые повсюду, и я боюсь, что, возможно, заразился здесь чем-то.;;;;;;;;;;;;;x
ahealth102d;Эти зловонные болота изобилуют болезнями. Враждебная дикая природа, гниющие растения и животные...здесь процветают болезни. Я совсем недолго нахожусь здесь, но уже чувствую недомогание.;;;;;;;;;;;;;x
ahoy_captain;Капитан на палубе;;;;;;;;;;;;;x
akaviri_opinion;Акавирское Мнение;;;;;;;;;;;;;x
alchemy10d;Только Аи сможет увидеть это событие.;;;;;;;;;;;;;x
alchemy11d;[From.GetBestName], ваш алхимик, приготовил мощное зелье магии для вас, чтобы восстановить часть вашей магической силы.;;;;;;;;;;;;;x
alchemy16d;[From.GetBestName], ваш алхимик приготовил зелье, увеличивающее ваши военные навыки и боевое мастерство, во время выполнения алхимических экспериментов в [From.Location.GetName].;;;;;;;;;;;;;x
alchemy17d;Зелье улучшения боевого мастерства, похоже, дало малый эффект, если дало его вообще.;;;;;;;;;;;;;x
alchemy1d;Во время смешивания случайных трав и регентов, и экспериментов с этим отваром на местном скоте, вы сумели создать особенно мощное зелье мужественности. Возможно, ваш сюзерен был бы заинтересован в этом открытии?;;;;;;;;;;;;;x
alchemy21d;[From.GetBestName], ваш алхимик приготовил зелье, увеличивающее ваш навык управления, во время выполнения алхимических экспериментов в [From.Location.GetName].;;;;;;;;;;;;;x
alchemy22d;Зелье улучшения управления, которые вы выпили, похоже, дало малый эффект, если дало его вообще.;;;;;;;;;;;;;x
alchemy26d;[From.GetBestName], ваш алхимик приготовил зелье, увеличивающее ваш навык красноречия, во время выполнения алхимических экспериментов в [From.Location.GetName].;;;;;;;;;;;;;x
alchemy27d;Зелье улучшения красноречия, которые вы выпили, похоже, дало малый эффект, если дало его вообще.;;;;;;;;;;;;;x
