ca_akaviridaikatanadrillyard_0;Тренировочный полигон акавирских мечников;;;;;;;;;;;;;x;
ca_akaviridaikatanadrillyard_1;Тренировочный полигон акавирских мечников;;;;;;;;;;;;;x;
ca_akaviridaikatanadrillyard_desc;Дайкатана известна как одно из самых страшных видов оружия Нирна, во многом из-за того, что она способна с легкостью разрезать любую броню. Этот двор специально оборудован для тренировки солдат, которых обучают опытные мечники.;;;;;;;;;;;;;x;
ca_akavirifletcher_0;Мастерская акавирских луков;;;;;;;;;;;;;x;
ca_akavirifletcher_1;Мастерская акавирских луков;;;;;;;;;;;;;x;
ca_akavirifletcher_2;Мастерская акавирских луков;;;;;;;;;;;;;x;
ca_akavirifletcher_desc;Лук является очень популярным оружием среди акавирцев, которые действительно эффективно используют его в бою, поражая офицеров и магов противника. Этот мастер производит высококачественные стрелы и луки для местных лучников. ;;;;;;;;;;;;;x;
ca_akavirispearyard_0;Казармы акавирских копейщиков;;;;;;;;;;;;;x;
ca_akavirispearyard_1;Казармы акавирских копейщиков;;;;;;;;;;;;;x;
ca_akavirispearyard_2;Казармы акавирских копейщиков;;;;;;;;;;;;;x;
ca_akavirispearyard_desc;Многие акавирцы легко управляются с копьем, во многом из-за его полезности в обороне против захватчиских рейдов цаэски, а так же для прикрытия дружественных отрядов. В этих казармах живут и тренируются акавирские копейщики.;;;;;;;;;;;;;x;
ca_altmerartschool_0;Школа Искусств;;;;;;;;;;;;;x;
ca_altmerartschool_1;Школа Искусств;;;;;;;;;;;;;x;
ca_altmerartschool_desc;Образование занимает особое место в альтмерской культуре, а учителя являются одними из самых уважаемых членов общества альтмеров. Эта школа обучает местных студентов истории, языкам, религии, поэзии, музыке, каллирафии, этикету и некоторым тайным искусствам. В случае необходимости многие преподователи, владеющие магией, готовы встать на защиту своей обители знаний. ;;;;;;;;;;;;;x;
ca_altmercastlemages_0;Помещения альтмерских магов;;;;;;;;;;;;;x;
ca_altmercastlemages_1;Помещения альтмерских магов;;;;;;;;;;;;;x;
ca_altmercastlemages_2;Помещения альтмерских магов;;;;;;;;;;;;;x;
ca_altmercastlemages_3;Помещения альтмерских магов;;;;;;;;;;;;;x;
tp_shrine_azura;Святилище Азуры;;;;;;;;;;;;;x;
tp_shrine_azura_desc;Святилище, посвященное Азуре, Даэдрической Принцессе Заката и Рассвета.;;;;;;;;;;;;;x
tp_shrine_boethiah;Святилище Боэтии;;;;;;;;;;;;;x;
tp_shrine_boethiah_desc;Святилище, посвященное Боэтии, даэдрической Принцессе обмана, предательства, заговора и подстрекательства.;;;;;;;;;;;;;x
tp_shrine_clavicus;Святилище Клавикуса Вайла;;;;;;;;;;;;;x;
tp_shrine_clavicus_desc;Святилище, посвященное Клавикусу Вайлу, даэдрическому Принцу желаний и хитрости.;;;;;;;;;;;;;x
tp_shrine_hermaeus;Святилище Хермеуса Моры;;;;;;;;;;;;;x;
tp_shrine_hermaeus_desc;Святилище, посвященное Хермеусу Море, даэдрическому Принцу памяти и знаний.;;;;;;;;;;;;;x
tp_shrine_hircine;Святилище Хирсина;;;;;;;;;;;;;x;
tp_shrine_hircine_desc;Святилище, посвященное Хирсину, даэдрическому Принцу охоты и отцу оборотней.;;;;;;;;;;;;;x
tp_shrine_jyggalag;Святилище Джиггалага;;;;;;;;;;;;;x;
tp_shrine_jyggalag_desc;Святилище, посвященное Джиггалагу, даэдрическому Принцу порядка и логики.;;;;;;;;;;;;;x
tp_shrine_malacath;Святилище Малаката;;;;;;;;;;;;;x;
tp_shrine_malacath_desc;Святилище, посвященное Малакату, даэдрическому Принцу отвергнутых и изгнанных.;;;;;;;;;;;;;x
tp_shrine_mehrunes;Святилище Мерунеса Дагона;;;;;;;;;;;;;x;
tp_shrine_mehrunes_desc;Святилище, посвященное Мехрунесу Дагону, даэдрическому Принцу разрушения, революции, перемен, энергии и амбиций.;;;;;;;;;;;;;x
tp_shrine_mephala;Святилище Мефалы;;;;;;;;;;;;;x;
tp_shrine_mephala_desc;Святилище, посвященное Мефале, даэдрической Принцессе секса, убийств и тайн.;;;;;;;;;;;;;x
tp_shrine_meridia;Святилище Меридии;;;;;;;;;;;;;x;
tp_shrine_meridia_desc;Святилище, посвященное Меридии, даэдрической Принцессе жизни и проклятия нежити.;;;;;;;;;;;;;x
tp_shrine_molag;Святилище Молаг Бала;;;;;;;;;;;;;x;
tp_shrine_molag_desc;Святилище, посвященное Молаг Балу, даэдрическому Принцу господства и отцу вампиров.;;;;;;;;;;;;;x
tp_shrine_namira;Святилище Намиры;;;;;;;;;;;;;x;
tp_shrine_namira_desc;Святилище, посвященное Намире, даэдрической Принцессе тьмы и отвращения.;;;;;;;;;;;;;x
tp_shrine_nocturnal;Святилище Ноктюрнал;;;;;;;;;;;;;x;
tp_shrine_nocturnal_desc;Святилище, посвященное Ноктюрнал, даэдрической Принцессе ночи и теней.;;;;;;;;;;;;;x
tp_shrine_peryite;Святилище Периайта;;;;;;;;;;;;;x;
tp_shrine_peryite_desc;Святилище, посвященное Периайту, даэдрическому Принцу естественного порядка и эпидемии.;;;;;;;;;;;;;x
tp_shrine_sanguine;Святилище Сангвина;;;;;;;;;;;;;x;
tp_shrine_sanguine_desc;Святилище, посвященное Сангвину, даэдрическому Принцу гедонизма и разврата.;;;;;;;;;;;;;x
tp_shrine_sheogorath;Святилище Шеогората;;;;;;;;;;;;;x;
tp_shrine_sheogorath_desc;Святилище, посвященное Шеогорату, даэдрическому Принцу безумия.;;;;;;;;;;;;;x
tp_shrine_vaermina;Святилище Вермины;;;;;;;;;;;;;x;
tp_shrine_vaermina_desc;Святилище, посвященное Вермине, даэдрической Принцессе снов и ночных кошмаров.;;;;;;;;;;;;;x
ca_altmercastlemages_4;Помещения альтмерских магов;;;;;;;;;;;;;x;
ca_altmercastlemages_5;Помещения альтмерских магов;;;;;;;;;;;;;x;
ca_altmercastlemages_desc;Как известно, нет культуры, в которой акцент на магию был бы сделан так сильно, как у альтмеров. Их маги известны по всему Тамриэлю своими способностями и качеством подготовки. Здесь живут и обучаются боевые маги. ;;;;;;;;;;;;;x;
ca_archbowyer_0;Малая мастерская луков;;;;;;;;;;;;;x;
ca_archbowyer_0_desc;Местный мастер производит всего лишь небольшое количество луков для местных лучников.;;;;;;;;;;;;;x;
ca_archbowyer_1;Мастерская луков;;;;;;;;;;;;;x;
ca_archbowyer_1_desc;Этот мастер предоставит вам столько луков, сколько требуется вашим войскам.;;;;;;;;;;;;;x;
ca_archrange_0;Малое стрельбище;;;;;;;;;;;;;x;
ca_archrange_0_desc;На маленьком стрельбище ежедневно тренируются ваши лучники, оттачивая свой навык владения сим непростым оружием. ;;;;;;;;;;;;;x;
ca_archrange_1;Среднее стрельбище;;;;;;;;;;;;;x;
ca_archrange_1_desc;Большие размеры стрельбища позволяют уместить ещё больше лучников.;;;;;;;;;;;;;x;
ca_argonianelitebarracks_0;Элитные аргонианские казармы;;;;;;;;;;;;;x;
ca_argonianelitebarracks_1;Элитные аргонианские казармы;;;;;;;;;;;;;x;
ca_argonianelitebarracks_desc;В этих казармах живут самые лучшие аргонианские воины и маги, закаленные упорными тренировками и постоянными сражениями. ;;;;;;;;;;;;;x;
ca_argonianoutposts_0;Сторожевой аванпост;;;;;;;;;;;;;x;
ca_argonianoutposts_1;Сторожевой аванпост;;;;;;;;;;;;;x;
ca_argonianoutposts_desc;Скудное кольцо укреплений обводит окраины поселения. В случае осады, патрульные на стенах задержат противника до решающего подхода основных сил.;;;;;;;;;;;;;x;
ca_argonianpracticerange_0;Аргонианский круг обрядов;;;;;;;;;;;;;x;
ca_argonianpracticerange_1;Аргонианский круг обрядов;;;;;;;;;;;;;x;
ca_argonianpracticerange_2;Аргонианский круг обрядов;;;;;;;;;;;;;x;
