January;Утренней Звезды (1);;;;;;;;;;;;;x
February;Восхода Солнца (2);;;;;;;;;;;;;x
March;Первого Зерна (3);;;;;;;;;;;;;x
April;Руки Дождя (4);;;;;;;;;;;;;x
May;Второго Зерна (5);;;;;;;;;;;;;x
June;Середины Года (6);;;;;;;;;;;;;x
July;Высокого Солнца (7);;;;;;;;;;;;;x
August;Последнего Зерна (8);;;;;;;;;;;;;x
September;Огня Очага (9);;;;;;;;;;;;;x
October;Начала Морозов (10);;;;;;;;;;;;;x
November;Заката Солнца (11);;;;;;;;;;;;;x
December;Вечерней Звезды (12);;;;;;;;;;;;;x
Monday;Морндас;;;;;;;;;;;;;x
Tuesday;Тирдас;;;;;;;;;;;;;x
Wednesday;Миддас;;;;;;;;;;;;;x
Thursday;Турдас;;;;;;;;;;;;;x
Friday;Фредас;;;;;;;;;;;;;x
Saturday;Лоредас;;;;;;;;;;;;;x
Sunday;Сандас;;;;;;;;;;;;;x
