gifted_bauble;Игрушка Одарённых;;;;;;;;;;;;;x
TRAIT_OPINION_ZORO;Мнение Каджитов: $VALUE$;;;;;;;;;;;;;x
sea_worship_DESC;Островитяне Квей тайно поклоняются небольшому пантеону даэдрических принцев, которые, по их воззрениям, являются истинными неизведанными божествами Нирна. Эти боги квей играют роль божеств других рас и плетут козни друг против друга с таинственными целями. Каждый из островов квей имеет множество имён для каждого из Принцев Даэдра, но в Тамриэле они широко известны как Хермеус Мора, Шеогорат, Вермина, Ноктюрнал и Мефала. Квей служат даэдра для того, чтобы обрести персональное могущество, и полностью признавая что их боги -злонамеренные. Ибо как все-таки ничтожно желание смертного по сравнению с богом? Принц Хермеус Мора является наиболее популярным божеством. Он олицетворяет местного Квейского Кракена, существо почти столь же неуловимое и могущественное, как и сам Принц Непознанного.;;;;;;;;;;;;;x
obj_become_high_king_desc;[This.GetTitledFirstName] стремится получить Верховное Королевство.;;;;;;;;;;;;;x
obj_become_high_king_title;Стать Верховным Королём;;;;;;;;;;;;;x
obj_become_high_king_tip;Стать Верховным(-ой)-[Root.GetKingQueen];;;;;;;;;;;;;x
opinion_stole_throne;Захватить Трон;;;;;;;;;;;;;x
opinion_in_agreement;В соответствии с соглашением;;;;;;;;;;;;;x
ayrenn.title.1;Верховный Король Хайделлит отошёл в мир иной;;;;;;;;;;;;;x
ayrenn.desc.1;Верховный Король Хайделлит, первый этого имени, скончался. Вскоре после этого, его дочь, Эйренн, чудом вернулась после многолетнего исчезновения. Будучи старшим наследником, она обладает более сильными правами на престол, чем её брат Неймон. Верховный Юстициар обращается к древним законам Альдмериса и решает...;;;;;;;;;;;;;x
ayrenn.opt.1;Эйренн - законный наследник!;;;;;;;;;;;;;x
ayrenn.title.2;Украденный Трон;;;;;;;;;;;;;x
ayrenn.desc.2;Вы, Принц Неймон, готовились стать королем в течение многих лет. Думает ли Эйренн, что может просто так вернутся и украсть у вас трон?;;;;;;;;;;;;;x
ayrenn.opt.2;Как она посмела так поступить со мной!;;;;;;;;;;;;;x
ayrenn.opt.3;Живи и давай жить другим.;;;;;;;;;;;;;x
ayrenn.title.3;Украденный Трон;;;;;;;;;;;;;x
ayrenn.desc.3;Ваш муж, Принц Нэймон, в течение многих лет готовился стать королём. Возвращение Эйренн и узурпация трона привели его в бешенство. Должны ли вы поддерживать Неймона в его будущем противостоянии Эйренн?;;;;;;;;;;;;;x
ayrenn.opt.4;Этот трон по праву принадлежит нам!;;;;;;;;;;;;;x
ayrenn.opt.5;К сожалению, на самом деле, меня это не волнует;;;;;;;;;;;;;x
ayrenn.title.4;Украденный Трон;;;;;;;;;;;;;x
ayrenn.desc.4;Ваш муж, Принц Нэймон, в течение многих лет готовился стать королём. Возвращение Эйренн и узурпация трона, похоже, оставили его равнодушным. Стоит ли вам также сидеть сложа руки и терпеть эту несправедливость?;;;;;;;;;;;;;x
ayrenn.opt.6;Он дурак!;;;;;;;;;;;;;x
ayrenn.opt.7;Если его это не волнует, то и меня тоже.;;;;;;;;;;;;;x
ayrenn.title.5;Непредвиденная Королева;;;;;;;;;;;;;x
ayrenn.desc.5;После того, как считавшаяся мёртвой на протяжении десяти лет, Принцесса Эйренн вернулась на Алинор после смерти своего отца, она стала Верховной Королевой Саммерсета. За это десятилетие Эйренн превратилась в яркую индивидуальность, грамотного и опытного политика. На улицах слышны хвалебные песни простолюдинов, в тоже время многие принцы и принцессы Алинора возлагают большие надежды на её правление.;;;;;;;;;;;;;x
ayrenn.opt.8;Да здравствует Верховная Королева Эйренн, Непредвиденная Королева!;;;;;;;;;;;;;x
ayrenn.opt.9;Эта выскочка мне не королева!;;;;;;;;;;;;;x
ayrenn.opt.10;Мы будем следить за ней.;;;;;;;;;;;;;x
slaveraido4;Я пощажу их...на этот раз.;;;;;;;;;;;;;x
GOD_LIVING_GODS;Живые Боги;;;;;;;;;;;;;x
GOD_GOOD_DAEDRA;Хорошие Даэдра;;;;;;;;;;;;;x
nick_the_flower;Цветок;;;;;;;;;;;;;x
nick_the_jewel;Драгоценная;;;;;;;;;;;;;x
nick_the_star;Звезда;;;;;;;;;;;;;x
