ALT_MERC_BANDITS;[renaming_target.Location.County.GetAdjective] Бандиты;;;;;;;;;x;;
ALT_MERC_BANDITS_ADJ;[renaming_target.Location.County.GetAdjective] Бандит;;;;;;;;;x;;
ALT_MERC_PIRATES;[renaming_target.Location.County.GetAdjective] Пираты;;;;;;;;;x;;
ALT_MERC_PIRATES_ADJ;[renaming_target.Location.County.GetAdjective] Пират;;;;;;;;;x;;
tooltip_legitimate_prince_score;[From.GetSheHeCap] is the §Y[From.GetSonDaughter]§! of our ruler;;;;;;;;;x
tooltip_legitimate_grand_prince_score;[From.GetSheHeCap] is the §Ygrand[From.GetSonDaughter]§! of our ruler;;;;;;;;;x
tooltip_legitimate_grand_prince_score;[From.GetSheHeCap] is the §Ydynasty§! of our ruler;;;;;;;;;x
tooltip_nordic_traditional_jarls_score;[From.GetSheHeCap] — традиционный ярл Скайрима;;;;;;;;;;x;
tooltip_nordic_other_jarls_score;[From.GetSheHeCap] — ярл;;;;;;;;;;x;
tooltip_nordic_not_jarl_score;[From.GetSheHeCap] даже не ярл!;;;;;;;;;;x;
tooltip_nordic_commander_score;[From.GetSheHeCap] возглавляет войска;;;;;;;;;;x;
tooltip_nordic_housecarl_score;[From.GetSheHeCap] - §YХускарл§!;;;;;;;;;;x
tooltip_master_of_the_meadery;[From.GetSheHeCap] - §YМастер медовар§!;;;;;;;;;;x
tooltip_nordic_bloodline_score;[From.GetSheHeCap] имеет §Yкровь§! Нордского героя!;;;;;;;;;;x;
tooltip_nordic_society_score;[From.GetSheHeCap] — высокопоставленный член нордского общества!;;;;;;;;;;x;
tooltip_nordic_dragonblood_score;[From.GetSheHeCap] имеет §Yкровь§! Драконорожденного!;;;;;;;;;;x;
tooltip_nordic_dragonborn_score;[From.GetSheHeCap] - §Yдраконорожденный§!;;;;;;;;;;x;
tooltip_nordic_society_score;[From.GetSheHeCap] знает §Yту'Ум§!;;;;;;;;;;x;
tooltip_nordic_freydis_crown;[From.GetSheHeCap] имеет §YКорону Истины§!;;;;;;;;;;x;
tooltip_nordic_jagged_crown;[From.GetSheHeCap] имеет §Yзубчатую Корону§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_skooma_addiction;[From.GetSheHeCap] имеет §YСкумовую Зависимость§!;;;;;;;;;;;x
tooltip_feudal_elector_vote_skooma_addiction_severe;[From.GetSheHeCap] — дурак, подвергшийся §Yскумовой Зависимости§!;;;;;;;;;;;x
tooltip_feudal_elector_vote_diplomacy_score;[From.GetSheHeCap] харизматичный §YДипломат§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_diplomacy_score_negative;[From.GetSheHeCap] бестактный §YДипломатt§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_intrigue_score;[From.GetSheHeCap] хитрый §YКомбинатор§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_intrigue_score_negative;[From.GetSheHeCap] неуклюжий §YКомбинатор§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_learning_score;[From.GetSheHeCap] опытный §YМаг§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_learning_score_negative;[From.GetSheHeCap] бездарный §YМаг§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_stewardship_score;[From.GetSheHeCap] мудрый §YСтюард§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_stewardship_score_negative;[From.GetSheHeCap] неумелый §YСтюард§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_spouse;Титул перешел бы к не-династическому супругу/супруге.;;;;;;;;;;x;
tooltip_feudal_elector_vote_dragonborn;[From.GetSheHeCap] -  §Yдраконорожденный§!!;;;;;;;;;;x;
tooltip_feudal_elector_vote_dragonblood;§YДраконья Кровь§! течет по венам [From.GetHerHis]!;;;;;;;;;;x;
tooltip_feudal_elector_vote_hero;[From.GetSheHeCap] - §YГерой§!;;;;;;;;;;x
tooltip_feudal_elector_vote_no_dragonblood;[From.GetSheHeCap] не хватает §YДраконьей Крови§!;;;;;;;;;;x;
tooltip_feudal_elector_vote_no_dragonblood;[From.GetSheHeCap] не хватает §YДраконьей Крови§!;;;;;;;;;;x
tooltip_feudal_elector_vote_melodious_voice;[From.GetSheHeCap] имеет §Yмелодичный голос§!;;;;;;;;;;x;
tooltip_great_house_vote_houseless;[From.GetSheHeCap] не член нашего §YДома§!;;;;;;;;;;x;
tooltip_great_house_vote_not_council;[From.GetSheHeCap] не член §YСовета Дома§!;;;;;;;;;;x;
tooltip_great_house_vote_rank_1;[From.GetSheHeCap] - член §YСовета Дома§!;;;;;;;;;;x;
tooltip_great_house_vote_rank_2;[From.GetSheHeCap] — высокопоставленный член §YСовета Дома§!;;;;;;;;;;x;
tooltip_great_house_vote_traditional_dynasty;[From.GetSheHeCap] - член  династии основателей нашего Дома;;;;;;;;;;x;
tooltip_great_house_vote_very_unfit;[From.GetSheHeCap] совершенно не в состоянии править нашим Домом;;;;;;;;;;x;
tooltip_great_house_vote_unfit;[From.GetSheHeCap] не в состоянии править нашим Домом;;;;;;;;;;x;
tooltip_great_house_death_disrespect;[From.GetSheHeCap] не уважает святость смерти!;;;;;;;;;;x;
tooltip_house_redoran_vote_negative_warrior;[From.GetSheHeCap] не имеет боевых навыков!;;;;;;;;;;x;
tooltip_house_redoran_vote_negative;[From.GetSheHeCap] не похож на §YРедоран§!;;;;;;;;;;x;
tooltip_house_redoran_vote_small;[From.GetSheHeCap] ведет себя, как §YРедоран§!;;;;;;;;;;x;
tooltip_house_redoran_vote_medium;[From.GetSheHeCap] — хороший §YРедоран§!;;;;;;;;;;x;
tooltip_house_redoran_vote_large;[From.GetSheHeCap] — отличный §YРедоран§!;;;;;;;;;;x;
tooltip_house_redoran_vote_max;[From.GetSheHeCap] — превосходный §Yредоран§!;;;;;;;;;;x;
tooltip_house_hlaalu_vote_negative;[From.GetSheHeCap] не похож на §YХлаалу§!;;;;;;;;;;x;
tooltip_house_hlaalu_vote_small;[From.GetSheHeCap] ведет себя, как §YХлаалу§!;;;;;;;;;;x;
tooltip_house_hlaalu_vote_medium;[From.GetSheHeCap] — хороший §YХлаалу§!;;;;;;;;;;x;
tooltip_house_hlaalu_vote_large;[From.GetSheHeCap] — отличный §YХлаалу§!;;;;;;;;;;x;
tooltip_house_hlaalu_vote_max;[From.GetSheHeCap] — превосходный §YХлаалу§!;;;;;;;;;;x;
tooltip_house_dres_vote_negative;[From.GetSheHeCap] не похож на §YДрес§!;;;;;;;;;;x;
tooltip_house_dres_vote_small;[From.GetSheHeCap] ведет себя, как §YДрес§!;;;;;;;;;;x;
tooltip_house_dres_vote_medium;[From.GetSheHeCap] — хороший §YДрес§!;;;;;;;;;;x;
tooltip_house_dres_vote_large;[From.GetSheHeCap] — отличный §YДрес§!;;;;;;;;;;x;
tooltip_house_dres_vote_max;[From.GetSheHeCap] — превосходный §YДрес§!;;;;;;;;;;x;
tooltip_house_indoril_vote_negative;[From.GetSheHeCap] не похож на §YИндорилl§!;;;;;;;;;;x;
tooltip_house_indoril_vote_small;[From.GetSheHeCap] ведет себя, как §YИндорилl§!;;;;;;;;;;x;
tooltip_house_indoril_vote_medium;[From.GetSheHeCap] — хороший §YИндорилl§!;;;;;;;;;;x;
tooltip_house_indoril_vote_large;[From.GetSheHeCap] — отличный §YИндорилl§!;;;;;;;;;;x;
tooltip_house_indoril_vote_max;[From.GetSheHeCap] — превосходный §YИндорилl§!;;;;;;;;;;x;
tooltip_house_telvanni_vote_negative_mage;[From.GetSheHeCap] не имеет магических способностей!;;;;;;;;;;x;
tooltip_house_telvanni_vote_negative;[From.GetSheHeCap] не похож на §YТелванни§!;;;;;;;;;;x;
tooltip_house_telvanni_vote_small;[From.GetSheHeCap] ведет себя, как §YТелванни§!;;;;;;;;;;x;
tooltip_house_telvanni_vote_medium;[From.GetSheHeCap] — хороший §YТелванни§!;;;;;;;;;;x;
tooltip_house_telvanni_vote_large;[From.GetSheHeCap] — отличный §YТелванни§!;;;;;;;;;;x;
tooltip_house_telvanni_vote_max;[From.GetSheHeCap] — превосходный §YТелванни§!;;;;;;;;;;x;
tooltip_house_sadras_vote_negative;[From.GetSheHeCap] не похож на §YСадрас§!;;;;;;;;;;x;
tooltip_house_sadras_vote_small;[From.GetSheHeCap] ведет себя, как §YСадрас§!;;;;;;;;;;x;
tooltip_house_sadras_vote_medium;[From.GetSheHeCap] — хороший §YСадрас§!;;;;;;;;;;x;
tooltip_house_sadras_vote_large;[From.GetSheHeCap] — отличний §YСадрас§!;;;;;;;;;;x;
tooltip_house_sadras_vote_max;[From.GetSheHeCap] — превосходный §YСадрас§!;;;;;;;;;;x;
tooltip_house_dagoth_vote_negative;[From.GetSheHeCap] не похож на §YДагот§!;;;;;;;;;;x;
tooltip_house_dagoth_vote_small;[From.GetSheHeCap] ведет себя, как §YДагот§;;;;;;;;;;x;
tooltip_house_dagoth_vote_medium;[From.GetSheHeCap] — хороший §YДагот§;;;;;;;;;;x;
tooltip_house_dagoth_vote_large;[From.GetSheHeCap] — отличный §YДагот§;;;;;;;;;;x;
tooltip_house_dagoth_vote_max;[From.GetSheHeCap] — превосходный §YДагот§;;;;;;;;;;x;
tooltip_house_veloth_vote_negative;[From.GetSheHeCap] не похож на §YВелот§!;;;;;;;;;;x;
tooltip_house_veloth_vote_small;[From.GetSheHeCap] ведет себя, как §YВелот§!;;;;;;;;;;x;
tooltip_house_veloth_vote_medium;[From.GetSheHeCap] — хороший §YВелот§!;;;;;;;;;;x;
tooltip_house_veloth_vote_large;[From.GetSheHeCap] — отличный §YВелот§!;;;;;;;;;;x;
tooltip_house_veloth_vote_max;[From.GetSheHeCap] — превосходный §YВелот§!;;;;;;;;;;x;
tooltip_house_sul_vote_negative;[From.GetSheHeCap] не похож на §YСул§!;;;;;;;;;;x;
tooltip_house_sul_vote_small;[From.GetSheHeCap] ведет себя, как §YСул§!;;;;;;;;;;x;
tooltip_house_sul_vote_medium;[From.GetSheHeCap] — хороший §YСул§!;;;;;;;;;;x;
tooltip_house_sul_vote_large;[From.GetSheHeCap] — отличный §YСул§!;;;;;;;;;;x;
tooltip_house_sul_vote_max;[From.GetSheHeCap] — превосходный §YСул§!;;;;;;;;;;x;
EVTOPTEK196500;Мастер Болотной местности;;;;;;;;;;;x
EVTOPTEK296500;Мастер экстремальной местности;;;;;;;;;;;x
EVTDESC_HFP_11025_scamp;Швыряя молнии и следя за моей спиной, мой [ek_battle_pet.GetName] играет решающую роль в битве. Затем краем глаза я вижу как вражеский лучник прицелился в меня. Стрела выпущена, но она проплывает мимо меня, ударяя [ek_battle_pet.GetName] в грудь!;;;;;;;;;x;;
