TRIBUTARY_TRIBUNAL_NAME;Член Храма;;;;;;;;;;;;;x;;
TRIBUTARY_TRIBUNAL_PLURAL;Член Храма;;;;;;;;;;;;;x;;
SUZERAIN_TRIBUNAL_NAME;Храм Трибунала;;;;;;;;;;;;;x;;
TRIBUTARY_TRIBUNAL_TRIBUTE;Храмовые Налоги;;;;;;;;;;;;;x;;
TRIBUTARY_DAEDRIC_NAME;Даэдрическая марка;;;;;;;;;;;;;x;;
TRIBUTARY_DAEDRIC_PLURAL;Даэдрические марки;;;;;;;;;;;;;x;;
SUZERAIN_DAEDRIC_NAME;Даэдрический принц;;;;;;;;;;;;;x;;
TRIBUTARY_DAEDRIC_TRIBUTE;Трэллы;;;;;;;;;;;;;x;;
SKYRIM_NAME;Вольное ярлство;;;;;;;;;;;;;x;;
SKYRIM_PLURAL;Вольные ярлства;;;;;;;;;;;;;x;;
SUZERAIN_SKYRIM_NAME;Королевство нордов;;;;;;;;;;;;;x;;
TRIBUTARY_SKYRIM_TRIBUTE;Королевская дань;;;;;;;;;;;;;x;;
TRIBUTARY_SLOAD_BENEFACTOR;Слоадский бенефециар;;;;;;;x;;;;;;;;
TRIBUTARY_SLOAD_BENEFACTOR_PLURAL;Слоадские бенефициары;;;;;;;x;;;;;;;;
SUZERAIN_SLOAD_BENEFACTOR_NAME;Гегемон;;;;;;;x;;;;;;;;
TRIBUTARY_SLOAD_BENEFACTOR_TRIBUTE;Дань;;;;;;;x;;;;;;;;
TRIBUTARY_SLOAD_PROTECTORATE;Слоадский протекторат;;;;;;;x;;;;;;;;
TRIBUTARY_SLOAD_PROTECTORATE_PLURAL;Слоадский протекторат;;;;;;;x;;;;;;;;
SUZERAIN_SLOAD_PROTECTORATE_NAME;Протектор;;;;;;;x;;;;;;;;
TRIBUTARY_SLOAD_PROTECTORATE_TRIBUTE;Дань;;;;;;;x;;;;;;;;
DAEDRIC_USURPATION;Даэдрическая Узурпация;;;;;;;;;x;;;;;;
GetOblivion_Azura;Лунная тень;;;;;;;;;;;;;x;;
GetOblivion_Boethiah;Доля Воздаяния;;;;;;;;;;;;;x;;
GetOblivion_Clavicus;План Клавикуса Вайла;;;;;;;;;;;;;x;;
GetOblivion_Hermaeus;Апокриф;;;;;;;;;;;;;x;;
GetOblivion_Hircine;Охотничьи угодья;;;;;;;;;;;;;x;;
