alliancewar.fallCurses;Проклятье!;;;;;;;;;x
alliancewar.fallDominion;Даже самые большие города Доминиона небезопасны...;;;;;;;;;x
alliancewar.fallCovenant;Даже самые большие города Ковенанта небезопасны...;;;;;;;;;x
alliancewar.fallPact;Даже самые большие города Пакта небезопасны...;;;;;;;;;x
alliancewar.fallNice;Эта война скоро закончится!;;;;;;;;;x
alliancewar.50.t;Алинор пал!;;;;;;;;;x
alliancewar.50.d;Древний город Алинор, столица острова Саммерсет и место цивилизации альтмеров, пал под натиском [Root.GetTitledName]! Сообщается, что город был разграблен, и бесчисленные артефакты, относящиеся к Меретической и Первой Эре, были потеряны навсегда.\nВесть о падении города достигла всего континента, и это, несомненно, нанесет мощный удар по наступлению Доминиона в Сиродиле и других провинциях.;;;;;;;;;x
alliancewar.51.t;Вэйрест пал!;;;;;;;;;x
alliancewar.51.d;Вэйрест, резиденция Королевского совета и столица Ковенанта Даггерфолла, пал под натиском [Root.GetTitledName]! Последние десятилетия привели к невероятному притоку богатства в провинцию, даже превзойдя древний город Даггерфолл. Поскольку Пакт поражен в его ядре, местонахождение Королевской семьи неизвестно ...\nКовенанту, возможно, придется освободить свою столицу, прежде чем он сможет претендовать на какую-либо победу в Сиродиле и против других альянсов.;;;;;;;;;x
alliancewar.52.t;Виндхельм пал!;;;;;;;;;x
alliancewar.52.d;Древняя столица Скайрима, резиденция Королевского дворца, Виндхельм пал под натиском [Root.GetTitledName]! Основанный Исграмором много веков назад, город пострадал от нашествия Камаль, так как королева Скайрима и ее наследники были убиты во время осады. Но Виндхельм стал одним из главных городов пакта Эбонхарта, когда король Йорунн и вожди Морровинда и Чернотопья объединились против общего врага.\nЙорунну и его союзникам, возможно, придется освободить город, прежде чем они смогут претендовать на победу в Сиродиле или других союзах...;;;;;;;;;x
alliancewar.tbwOver;Поскольку три альянса соперничали за контроль над Сиродилом, только один мог победить в этой борьбе - и выжить. Похоже, Боги благоволили [Root.GetFirstNameWithNick], [Root.GetRulerTitle] [Root.PrimaryTitle.GetName]. Их победа над другими альянсами и Сиродилом дает им возможность привести в действие свои планы относительно империи - будь то завоевание, освобождение или разрушение.\nНезависимо от того, что они выберут, их победа останется в памяти на века вперед.\n\nВойна Трех Альянсов закончилась, и в Тамриэле может наконец-то наступить мир...;;;;;;;;;x
alliancewar.tbwOverOpt;Наконец-то наступил мир?;;;;;;;;;x
alliancewar.100.t;Пакт торжествует!;;;;;;;;;x
