string_GetEmpress;Императрица;;;;;;;;;x
string_GetEmperor;Император;;;;;;;;;x
AmuletOfKings10A;Мой единственный шанс зажечь Драконьи Огни - использовать Амулет Королей. [ek_amulet_owner.GetBestName] владеет Красным Алмазом, и мне нужно поговорить с [ek_amulet_owner.GetHerHim], чтобы вернуть Амулет.;;;;;;;;;x
AmuletOfKings10B;Мой единственный шанс зажечь Драконьи Огни - использовать Амулет Королей. Амулет не видели в Имперском Городе в течении многих десятилетий, если не веков, и единственное место, где его можно найти - это старая гробница Реманов в Санкр-Торе.;;;;;;;;;x
AmuletOfKings10OptA;Я сразу поговорю с [ek_amulet_owner.GetFirstName].;;;;;;;;;x
AmuletOfKings10OptB;Я немедленно начну приготовления к путешествию.;;;;;;;;;x
AmuletOfKings15;[From.GetBestName] прибыл(а) сегодня ко двору со странной просьбой. [From.GetSheHeCap] хочеть зажечь Драконьи Огни в Храме Единого и просит отдать Амулет Королей!;;;;;;;;;x
AmuletOfKings15Accept;Конечно, пожалуйста, передайте ему Амулет с моими лучшими пожеланиями.;;;;;;;;;x
AmuletOfKings15Decline;Амулет - мой. Прочь!;;;;;;;;;x
AmuletOfKings15Compromise;Амулет - мой, но, возможно, мы сможем работать сообща...;;;;;;;;;x
AmuletOfKings15CompromiseTooltip;Вы задумали обмануть весь мир, заставив их думать, что вы зажгли Драконьи Огни...;;;;;;;;;x
AmuletOfKings20;Какая случайность! [From.GetFirstName] любезно передает мне Амулет Королей!;;;;;;;;;x
AmuletOfKings20Accept;Чудесный поворот событий.;;;;;;;;;x
AmuletOfKings25;[From.GetFirstName] отказался передать мне Амулет Королей, выгнав меня, словно простого крестьянина! Возможно, мне придется найти другой подход.;;;;;;;;;x
AmuletOfKings25OptA;Прости меня, [From.GetFirstName], но я должен получить Амулет.;;;;;;;;;x
AmuletOfKings25OptB;Возможно, есть и другие пути...;;;;;;;;;x
AmuletOfKings30;[From.GetFirstName] желает, чтобы я зажег Драконьи Огни, при условии, что [From.GetSheHe] сохранит у себя Амулет королей!;;;;;;;;;x
AmuletOfKings30OptA;Неприемлимо. Я заберу амулет.;;;;;;;;;x
AmuletOfKings30OptB;Неприемлимо. Но должен быть другой путь.;;;;;;;;;x
AmuletOfKings30OptC;Это сделка, [From.GetFirstName].;;;;;;;;;x
AmuletOfKings40;"Прости меня,", говорит [FromFrom.GetFirstName]. Прежде, чем я успеваю отреагировать, меня закололи скрытым клинком. Я падаю на пол, и [FromFrom.GetFirstName] забирает Амулет Королей и убегает.;;;;;;;;;x
AmuletOfKings40Accept;Как холодно...;;;;;;;;;x
AmuletOfKings41;"Прости меня," говорит [FromFrom.GetFirstName]. Прежде, чем я успеваю отреагировать, меня закололи скрытым клинком. С последним вздохом я достаю оружие и успеваю ранить [FromFrom.GetFirstName], но враг крадет Амулет Королей и убегает, оставляя меня умирать.;;;;;;;;;x
AmuletOfKings41Accept;Как холодно...;;;;;;;;;x
