mage_fireballs_tactic;Тактика огненных шаров;;;;;;;;;;;;;x
mage_icestorm_tactic;Тактика ледянного шторма;;;;;;;;;;;;;x
magic_restoration_tactic;Тактика Восстановления;;;;;;;;;;;;;x
sorcerers_atronachs_tactic;Тактика атронахов;;;;;;;;;;;;;x
sorcerers_demoralize_tactic;Тактика деморализации;;;;;;;;;;;;;x
sorcerers_dremoras_tactic;Тактика дремор;;;;;;;;;;;;;x
akaviri_katana_charge_tactic;Натиск с катанами;;;;;;;;;;;;;x
akaviri_wall_of_steel_tactic;Стена Стали;;;;;;;;;;;;;x
arcane_advance_tactic;Магическое наступление;;;;;;;;;;;;;x
argonia_ambush_tactic;Аргонианская засада;;;;;;;;;;;;;x
berserker_charge_tactic;Натиск берсерков;;;;;;;;;;;;;x
elven_volley_tactic;Магический град стрел;;;;;;;;;;;;;x
embolon_charge_formation_tactic;Летающий клин;;;;;;;;;;;;;x
kamal_unyielding_glacier_tactic;Неприступный ледник;;;;;;;;;;;;;x
khajiit_harass_tactic;Засада кавалерии;;;;;;;;;;;;;x
khajiit_synergy_tactic;Взаимодействие смешанных войск;;;;;;;;;;;;;x
legionnaire_advance_tactic;Легионерское наступление;;;;;;;;;;;;;x
light_infantry_charge_tactic;Натиск лёгкой пехоты;;;;;;;;;;;;;x
mage_thunderbolts_tactic;Тактика грозовых разрядов;;;;;;;;;;;;;x
maormer_ambush_tactic;Засада магии Змеи;;;;;;;;;;;;;x
nord_war_cry_tactic;Боевой клич;;;;;;;;;;;;;x
pike_and_shot_tactic;Пика и ружьё;;;;;;;;;;;;;x
potun_chariot_charge_tactic;Натиск колесниц магов;;;;;;;;;;;;;x
orsimer_guarded_infantry_tactic;Наступление бронированной пехоты;;;;;;;;;;;;;x
quey_mantlets_tactic;Щиты из боевых каноэ;;;;;;;;;;;;;x
redguard_advance_tactic;Наступление дуэлистов;;;;;;;;;;;;;x
silt_strider_volley_tactic;Залп стрел с силт страйдеров;;;;;;;;;;;;;x
