dlc.desc.jd.offmaps;С §YНефритовым Драконом§!, Даэдрические Принцы, Альмсиви и Совершенные Повелители представлены как силы вне карты. Служите им верой и правдой, и вы будете вознаграждены невероятной силой.\n;;;;;;;;;;;;;x
dlc.reason.jd.definite_offmap;Мы рекомендуем этот пакет, потому что вы решили играть за персонажа с религией §Y[Root.Religion.GetName]§!, с ним он будет иметь  доступ к силам вне карты.;;;;;;;;;;;;;x
dlc.reason.jd.patron_offmap;Мы рекомендуем этот пакет, потому что вы решили играть за персонажа с религией §Y[Root.Religion.GetName]§!, и с ним он будет иметь  доступ к силам вне карты, если вы выберете даэдрического принца в качестве своего бога-покровителя.;;;;;;;;;;;;;x
dlc.reason.conclave.elder_council;Мы рекомендуем этот пакет, потому что вы выбрали персонажа, на которого непосредственно может повлиять §YСовет Старейшин§!, улучшенный с помощью §YКонклава§!.;;;;;;;;;;;;;x
dlc.desc.roi.heir_designation;§YРаджи Индии§! дает правителям возможность назначить предпочтительного наследника из числа их возможных.;;;;;;;;;;;;;x
dlc.reason.roi.heir_designation;Мы рекомендуем этот пакет, чтобы вы могли назначать наследника.;;;;;;;;;;;;;x
dlc.reason.si.shields;Мы рекомендуем этот пакет, потому что вы решили сыграть за §YАльтмера§!, в котором используются титульные гербы ацтеков. §YЗакатное Вторжение§! не имеет своей механики и эффектов в §KElder Kings§!.;;;;;;;;;;;;;x
dlc.reason.none;Этот пакет не требуется для каких-либо важных аспектов в §KElder Kings§!.;;;;;;;;;;;;;x
dlc.desc.republic.reform;При использовании §YРеспублики§!, правители племен могут в конечном итоге преобразоваться в богатые морские государства.;;;;;;;;;;;;;x
dlc.reason.republic.reform;Мы рекомендуем этот пакет, потому что вы выбрали §YПлемя§! которое персонаж может преобразовать в §YТорговую Республику§!.;;;;;;;;;;;;;x
dlc.desc.charlemagne.retinues;§YНаследие Рима§! дает доступ к свитам, элитным полкам войск, которые, в отличие от ополчения, не должны быть распущены до объявления войны.;;;;;;;;;;;;;x
dlc.reason.charlemagne.retinues;Мы рекомендуем этот пакет, так как свиты могут использоваться всеми персонажами.;;;;;;;;;;;;;x
dlc.desc.jd.trade;С любым из таких дополнений, как §YНефритовый Дракон§! или §YКонные владыки§!, богатство Тамриэля стало более доступным благодаря эксплуатации обширных торговых путей континента;;;;;;;;;;;;;x
dlc.reason.jd.trade;Мы рекомендуем этот пакет, потому что торговые маршруты могут использоваться всеми персонажами.;;;;;;;;;;;;;x
dlc.desc.hl.trade;С §YНефритовым Драконом§! или §YКонными владыками§! богатство Тамриэля стало более доступным благодаря эксплуатации обширных торговых путей континента.;;;;;;;;;;;;;x
dlc.reason.hl.trade;Мы рекомендуем этот пакет, потому что торговые маршруты могут использоваться всеми персонажами.;;;;;;;;;;;;;x
