elder_council;Совет Старейшин;;;;;;;;;;;;;x
elder_council_desc;Основанный либо Реманом, либо во времена Алессианской империи, Совет Старейшин служил административным органом великих империй человечества. Совет, состоящий из самых способных, влиятельных и богатых людей в Тамриэле, является инструментом, позволяющим исполнять имперскую волю. Однако у него есть своя собственная воля, и многие императоры боролись с Советом больше, чем с враждебными нациями.;;;;;;;;;;;;;x
elder_council_leader_desc;Верховный канцлер является главой Совета cтарейшин. Если [This.GetRubyThroneTitle] не может выполнить свои обязанности или если нет [This.GetRubyThroneTitle], Верховный канцлер выступает в качестве Потентата, центральной фигуры власти.;;;;;;;;;;;;;x
elder_council_rank_1_male;Член совета;;;;;;;;;;;;;x
elder_council_rank_1_female;Член совета;;;;;;;;;;;;;x
elder_council_rank_2_male;Советник;;;;;;;;;;;;;x
elder_council_rank_2_female;Советник;;;;;;;;;;;;;x
elder_council_rank_3_male;Главный советник;;;;;;;;;;;;;x
elder_council_rank_3_female;Главный советник;;;;;;;;;;;;;x
#elder_council_rank_4_male;Верховный канцлер;;;;;;;;;;;;;x
#elder_council_rank_4_female;Верховный канцлер;;;;;;;;;;;;;x
elder_council_rank_4_male;Верховный канцлер;;;;;;;;;;;;;x
elder_council_rank_4_female;Верховный канцлер;;;;;;;;;;;;;x
high_chancellor_title;Верховный канцлер;;;;;;;;;;;;;x
chief_councillor_title;Главный советник;;;;;;;;;;;;;x
advisor_title;Советник;;;;;;;;;;;;;x
councillor_title;Член совета;;;;;;;;;;;;;x
ruby_throne_actual_title;[gt_tamriel_emperor.GetTitle];;;;;;;;;;;;;x
ruby_throne_male_title;Император;;;;;;;;;;;;;x
ruby_throne_female_title;Императрица;;;;;;;;;;;;;x
elder_council_rank_5_male;Император;;;;;;;;;;;;;x
elder_council_rank_5_female;Императрица;;;;;;;;;;;;;x
ec_express_interest;Показать Интерес Совета;;;;;;;;;;;;;x
ec_express_interest_desc;Давая правильные намёки нужным людям, вы можете быть уверены, что у вас будет гораздо больше шансов быть избранным в Совет Старейшин.;;;;;;;;;;;;;x
more_likely_to_be_selected;У вас будет гораздо больше шансов быть номинированным в члены Совета cтарейшин.;;;;;;;;;;;;;x
ec_drop_interest;Понизить интерес совета;;;;;;;;;;;;;x
ec_drop_interest_desc;Если вы хотите, вы можете отказаться от своих намерений вступить в Совет Старейшин.;;;;;;;;;;;;;x
ec2024jj;Помечено [This.GetHighChancellorTitle];;;;;;;;;;;;;x
regent_must_be_potentate;Регент [GetRubyThroneTitle] должен быть членом аристократической фракции;;;;;;;;;;;;;x
ec_recalc_imperialism;Все члены Совета cтарейшин пересмотрят свою политическую позицию.;;;;;;;;;;;;;x
ec_imp_inf_drop_heir;Правопреемство ослабило политическое влияние Рубинового Трона.;;;;;;;;;;;;;x
ec_imp_inf_drop_bastard;Венчание бастарда ослабило политическое влияние Рубинового Трона.;;;;;;;;;;;;;x
ec_imp_inf_drop_non_dynast;Смена имперской династии ослабила политическое влияние Рубинового Трона.;;;;;;;;;;;;;x
high_chancellor_dismissed;§Y[This.GetElderCouncilRank] [This.GetFirstName]§! будут уволены.;;;;;;;;;;;;;x
potentate;Потентат;;;;;;;;;;;;;x
ec_paying_de_jure;Уплата налогов Совету Старейшин;;;;;;;;;;;;;x
in_cyrodiil.triggered_gain;Правит в Сиродиле: $GAIN|=4+$;;;;;;;;;;;;;x
potentate.triggered_gain;Аристократический Потентат правит империей: $GAIN|=5+$;;;;;;;;;;;;;x
councillor.triggered_gain;Личный советник императора: $GAIN?|=5+$?;;;;;;;;;;;;;x
