### Decisions
proclaim_ald_cyrod;Сформировать Альд Сирод;;;;;;;;;;;;;x
proclaim_ald_cyrod_desc;С тех пор как Алессия и ее орда рабов захватили власть в Сиродиле, а ее наследники изгнали или убили всех оставшихся айлейдов - владык Сирода, нам приходилось прятаться, в основном в Валенвуде или в Хай Роке. Если имперцы потеряют контроль над нашей законной землей, мы должны попытаться вернуть контроль над тем, что было нашим, и снова провозгласить Альд Сирод.;;;;;;;;;;;;;x
PROCLAIM_ALD_CYROD_EVENT_CT;Вы объявите всему миру, что айлейды - истинные властелины Альд-Сирода. Вы станете основателем славной родословной.;;;;;;;;;;;;;
ayleid_flavour.10.t;Дикие Эльфы вновь обретут величие!;;;;;;;;;;;;;x
ayleid_flavour.10.d;Тысячелетия назад наша славная раса контролировала империю из Сирода. Наша культура процветала. Наши города-государства были независимы друг от друга. Всему пришел конец, когда рабы-неды восстали и свергли нас. Мы были изгнаны из Сиродила, нам пришлось искать убежище в Валенвуде и гегемонии Диреннии. Но сегодняшний день знаменует начало эры айлейдов! Альд-Сирод наш, и наша раса вернулась в Звездное Сердце Нирна!\n\nТамриэль изменился. Время людей прошло, айлейды вновь обретут величие!;;;;;;;;;;;;;x
ayleid_flavour.10.optA;Мы ни перед не склонимся!;;;;;;;;;;;;;x
ayleid_flavour.11.d;В результате молниеносной атаки по людской расе, айлейды несколько лет назад вторглись в Сиродиил. Они весьма преуспели в захвате Сиродиила, и сегодня официально провозгласили возрождение "Альд-Сирода". Кажется, на Тамриэль узрел появление новой айлейдской гегемонии. Выдержит ли она испытание временем?;;;;;;;;;;;;;x
ayleid_flavour.11.optA;Интересные события...;;;;;;;;;;;;;x
### Events
ayleid_flavour.1.t;Падение Белой Башни;;;;;;;;;;;;;x
ayleid_flavour.1.d;Имперский город, сердце Сиродила и большинства империй Тамриэля, веками находился под контролем человеческих рас, с тех самых пор, как Алессия , недийская Королева-Рабов, подняла восстание против своих повелителей - айлейдов. С тех пор влияние и власть айлейдов над Сиродилом становились все меньше и меньше, пока все следы правления айлейдов над провинцией не были стерты.\n\nНо теперь все кончено! [Root.GetTitledName] начал успешное вторжение в Имперский город и правит сердцем Сирода, готовый вернуть то, что когда-то было царством айлейдов!;;;;;;;;;;;;;x
ayleid_flavour.1.optA;Сирод будет нашим!;;;;;;;;;;;;;x
