### Decisions
proclaim_falmereth;Сформировать Фалмерет;;;;;;;;;;;;;x
proclaim_falmereth_desc;Тысячелетия назад наш род был изгнан и убит расами людей, родом с севера. Мы были преданы нашими братьями, которые поработили нас и ослепили нас в обмен на «безопасность». Но не более.\nСегодня мы объявляем остальному миру, что мы, фалмеры или снежные эльфы, больше не будем подвергаться насилию.;;;;;;;;;;;;;x
sp_claim_legacy;Претендовать на наследие Снежного Принца;;;;;;;;;;;;;x
sp_claim_legacy_desc;Последний великий герой нашего народа, известный нашим союзникам, врагам и тем немногим из нас, кто остался, как легендарный "Снежный Принц", был повержен тысячи лет назад на склонах Моэсринга, убитый мстительным отпрыском одной из его многочисленных жертв на поле боя в тот день. Так велика была его свирепость в битве и так горяча была любовь нашего народа к нему, что даже наши противники почтили его смерть, похоронив в Кургане, известном как Джолгейрр. Поскольку под Вашим руководством наш народ совершил беспрецедентное возрождение, и мы нашли этот самый Курган, вполне уместно, что вы сейчас надеваете мантию нашего павшего героя и ведете нас снова в век славы и процветания. У нас еще будет справедливость для нашего народа!;;;;;;;;;;;;;x
falmer_flavor1title;Наше наследие;;;;;;;;;;;;;x
falmer_flavor1desc;Ты это сделал! Вы нашли могилу нашего убитого героя, извлекли его оружие и доспехи из древнего нордического Кургана. Вы вернули наследие Снежного Принца нашему народу, и наш народ радуется перспективе снова обрести такого героя. Твои люди кричат, когда ты выходишь из Джолгейра с копьем в руке. Крик давно забытый, не слышанный многими долгими поколениями людей, но известный всем нам, все равно: "Снежный [ROOT.GetPrincessPrince] пришел!";;;;;;;;;;;;;x
falmer_flavor1opta;"Гибель уже близко!";;;;;;;;;;;;;x
falmer_flavor2title;Новый Снежный [From.GetPrincessPrince];;;;;;;;;;;;;x
falmer_flavor2desc;Представитель возрождающейся расы Снежных Эльфов по имени [From.GetTitledName] недавно вызвал настоящий переполох, приняв на себя мантию древнего павшего Снежного Принца. [From.GetSheHe], судя по всему, приобрел среди своего народа весьма солидную репутацию, и это не подлежит никакому сомнению. Кто может сказать, что ждет Фалмеров в будущем при таком смелом руководстве?;;;;;;;;;;;;;x
falmer_flavor2opta;Действительно очень интересно...;;;;;;;;;;;;;x
falmer_flavor_book_or_bloodline;Вам потребуется либо признанная родословная Фалмеров, либо соответствующая историческая книга на эту тему...;;;;;;;;;;;;;x
PROCLAIM_FALMERETH_EVENT_CT;Ты объявишь всему миру, что Снежные Эльфы - единственные хозяева Фалмерета, и отныне твои потомки будут вспоминаться как основателя славной родословной.;;;;;;;;;;;;;x
falmer_flavor.10.t;Преданные восстают снова!;;;;;;;;;;;;;x
falmer_flavor.10.d;Убитая нордами, ненавидимая всеми, преданная двемерами, наша раса страдала в течение тысячелетий, и большая часть нашего вида была испорчена, приняв дегенеративную форму, едва способную говорить. Сотни лет пыток и подземной жизни сделали их неспособными вести достойную жизнь среди других рас Тамриэля.\n\nНо в последние годы поток Снежных Эльфов, спасенных от проклятия, которое преследует их собратьев, вновь захватил их родовое гнездо.\n\nИ вот теперь, под властью [Root.GetTitledName], мы наконец-то свободны жить в замерзшей земле Скайрима, свободны от нордов или двемерского гнета!;;;;;;;;;;;;;x
falmer_flavor.10.optA;Мы никогда больше не станем на колени!;;;;;;;;;;;;;x
falmer_flavor.11.d;После сокрушительного поражения от нордов все постепенно забыли о фалмерах, даже подумав, что испорченные представители этой некогда гордой расы были не более чем родственниками гоблинов.\n\nНо мир оказался неправ, поскольку они теперь единственные хозяева Скайрима, или Фалмерета, как они называют бывшую землю нордов.\n\nТамриэль изменился. Замерзшие равнины Скайрима уже никогда не будут прежними.;;;;;;;;;;;;;x
falmer_flavor.11.optA;Интересная разработка...;;;;;;;;;;;;;x
