### Decisions
restore_college_cardinals_sun_court;Восстановить Коллегию солархов;;;;;;;;;;;;;x
restore_college_cardinals_sun_court_desc;Когда-то нас наставляли Солархи, назначенные самим Великим Змеем. Из-за упадка нашей религии солархам пришлось уйти в подполье. Настало время возродить Коллегию солархов, дабы Великий Змей вновь повел нас.;;;;;;;;;;;;;x
AT_LEAST_NINE_THEOCRACIES_YOUR_RELIGION_CT;По крайней мере у §Yдевяти§! персонажей, владеющих титулами, имеется §Yтеократическая§! форма правления.;;;;;;;;;;;;;x
RESTORED_COLLEGE_CARDINALS_SUN_COURT_CT;Коллегия примет решение, кто станет следующим [d_suncourt.GetRulerTitle] после смерти нынешнего.\nПустующие места постепенно заполняться, пока все §Y9 мест§! не будут заняты.;;;;;;;;;;;;;x
### Events
sun_court_flavour.1.t;Коллегия солархов;;;;;;;;;;;;;x
sun_court_flavour.1.d;Солархи говорят от имени самого Великого Змея. В давние времена они выбирали из своего числа [d_suncourt.GetRulerTitle], который являлся главой нашей веры. Казалось, что тысячелетний конфликт между Солнечным двором и Пятью дворами завершился полной победой последних, по этой причине Коллегия долгое время не созывалась, а выборы [d_suncourt.GetRulerTitle] происходили спонтанно.\n\nПоскольку война завершилась триумфом Солнечного двора, мы можем проспонсировать возрождение Солнечной коллегии и позволить им избрать того, кто будет наставлять нас в духовных вопросах.;;;;;;;;;;;;;x
sun_court_flavour.1.optA;Великий день для нашей веры.;;;;;;;;;;;;;x
### Titles
best_candidate_title_sun_court_cardinal;Мой лучший кандидат;;;;;;;;;;;;;x
best_candidate_title_sun_court_cardinal_tooltip;Среди всех жрецов, подчиненных вам, вы сочли этого жреца из числа наиболее достойным кандидатом на пост Соларха [d_suncourt.GetRulerTitle].;;;;;;;;;;;;;x
expected_next_title_sun_court_cardinal;Ожидаемый преемник;;;;;;;;;;;;;x
expected_next_title_sun_court_cardinal_tooltip;Этот жрец является ожидаемым кандидатом на вступление в Солнечное жречество после смерти текущего.;;;;;;;;;;;;;x
title_sun_court_cardinal;Соларх;;;;;;;;;;;;;x
