join_a_guild;Присоединиться к Гильдии;;;;;;;;;;;;;x
join_a_guild_desc;Вступите в одну из местных гильдий, расположенных в вашем географическом регионе. Гильдия бойцов и Гильдия магов всегда принимают новых кандидатов и предлагают различные услуги, такие, как обучение в соответствующих областях знаний. Каждая специализация (и соответствующие ей атрибуты) связана с конкретной Гильдией, а персонажи, как правило, получают наибольшую выгоду, вступая в ту Гильдию, которая соответствует их образованию.;;;;;;;;;;;;;x
leave_guild;Завершить работу в Гильдии;;;;;;;;;;;;;x
leave_guild_desc;Вы можете приостановить свою службу в Гильдии в любое время, освободив себя от работы и обязательств. Вас не изгоняют из Гильдии, но вы перестаёте быть её активным членом, и теряете доступ к различным услугам до тех пор, пока не вернётесь на службу.;;;;;;;;;;;;;x
ekguilds20;[From.GetFirstName] подошёл ко мне и рассказал, что [From.GetSheHe] хочет присоединится к местной Гильдии Бойцов. Разумеется, карьера воина и искателя приключений несёт в себе большие риски, но [From.GetFirstName] считает, что обретёт там удачу и славу.;;;;;;;;;;;;;x
ekguilds20decline;Категорически, нет!;;;;;;;;;;;;;x
ekguilds20accept;Конечно, вы можете вступить в их ряды!;;;;;;;;;;;;;x
ekguilds21;[From.GetFirstName] подошел ко мне и рассказал, что [From.GetHerHis] хочет присоединиться к Гильдии Магов. Разумеется, есть большие риски, связанные с магическими экспериментами, но [From.GetHerHis] считает, что [From.GetHerHis] сможет постичь мудрость волшебства.;;;;;;;;;;;;;x
ekguilds21decline;Категорически, нет!;;;;;;;;;;;;;x
ekguilds21accept;Конечно, вы можете учиться в их залах!;;;;;;;;;;;;;x
ekguilds22;[From.GetFirstName] подошел ко мне и рассказал, что [From.GetSheHe] хочет присоединится к Гильдии Торговцев. Разумеется, существуют крупные риски, связанные с привлечением больших инвестиций и корпоративными войнами, но [From.GetFirstName] считает, что богатство и уважение будет находится в пределах досягаемости[From.GetHerHis].;;;;;;;;;;;;;x
ekguilds22decline;Категорически, нет!;;;;;;;;;;;;;x
ekguilds22accept;Конечно, вы можете учиться в их залах!;;;;;;;;;;;;;x
ekguilds23;[From.GetFirstName] подошел ко мне и рассказал, что [From.GetSheHe] хочет вступить в Гильдию Сценаристов. Естественно, существуют большие риски, связанные с придирчивой к развлечениям публикой и темпераментными покровителями, но [From.GetFirstName] считает, что [From.GetHerHis] сможет достичь богатства и признания.;;;;;;;;;;;;;x
ekguilds23decline;Категорически, нет!;;;;;;;;;;;;;x
ekguilds23accept;Конечно, вы можете учиться в их залах!;;;;;;;;;;;;;x
ekguilds30;Существует множество гильдий, доступных для вступления. И каждая из них предоставляет мне шанс оттачивать свои навыки и путешествовать по миру. Какую гильдию я предпочту?;;;;;;;;;;;;;x
ekguilds30Fighters;Гильдию бойцов -  повсеместный оплот воинов.;;;;;;;;;;;;;x
ekguilds30Mages;Гильдия магов - лучший выбор для волшебников.;;;;;;;;;;;;;x
ekguilds30Mercantile;Гильдия Торговцев - дом для магистратов и купцов.;;;;;;;;;;;;;x
ekguilds30Scenarist;Гильдия Сценаристов - ассоциация дипломатов и художников.;;;;;;;;;;;;;x
ekguilds30Decline;Я не буду вступать ни в одну из этих гильдий.;;;;;;;;;;;;;x
ekguilds30Wrap;(Больше Вариантов);;;;;;;;;;;;;x
ekguilds40;Пришло время, чтобы завершить мою текущую работу в гильдии и вернуться домой?;;;;;;;;;;;;;x
ekguilds40Accept;Да.;;;;;;;;;;;;;x
ekguilds40Decline;Нет.;;;;;;;;;;;;;x
ekguilds50Fighters;Как член Гильдии Бойцов, я получаю доступ к некоторым из лучших тренеров и инструкторов. С их помощью я могу обучится различным специализациям.;;;;;;;;;;;;;x
ekguilds50Mages;Как член Гильдии Магов, я получаю доступ к некоторым из лучших тренеров и инструкторов. С их помощью я могу обучится различным специализациям.;;;;;;;;;;;;;x
ekguilds50Mercantile;Как член Гильдии Торговцев, я получаю доступ к некоторым из лучших тренеров и инструкторов. С их помощью я могу обучится различным специализациям.;;;;;;;;;;;;;x
ekguilds50Scenarist;Как член Гильдии Сценаристов, я получаю доступ к некоторым из лучших тренеров и инструкторов. С их помощью я могу обучится различным специализациям.;;;;;;;;;;;;;x
