agent_1;Неумелый агент;;;;;;;;;;;;;x
agent_1_desc;Этот персонаж пытается стать хорошим шпионом, но очевидно, не слишком преуспел.;;;;;;;;;;;;;x
agent_2;Начинающий агент;;;;;;;;;;;;;x
agent_2_desc;Этот персонаж стал пригодным шпионом - не самым хорошим, но и не самым плохим.;;;;;;;;;;;;;x
agent_3;Опытный агент;;;;;;;;;;;;;x
agent_3_desc;Этот персонаж был усердным учеником, посему и стал хорошим шпионом в своей области.;;;;;;;;;;;;;x
agent_4;Безупречный агент;;;;;;;;;;;;;x
agent_4_desc;Этот персонаж - мастер в своем деле и входит в число самых лучших шпионов Тамриэля.;;;;;;;;;;;;;x
agent_5;Легендарный агент;;;;;;;;;;;;;x
agent_5_desc;Этот персонаж не просто очень хороший агент. Он обладает феноменальными, почти сверхъестественными навыками шпионажа. Мало кто может сравниться с ним.;;;;;;;;;;;;;x
diplomat_1;Несносный дипломат;;;;;;;;;;;;;x
diplomat_1_desc;"Это из тех персонажей которых можно отослать на ""дипломатическую миссию"" просто, для того, чтобы избавиться от них.";;;;;;;;;;;;;x
diplomat_2;Начинающий дипломат;;;;;;;;;;;;;x
diplomat_2_desc;Этот персонаж в меру грамотный и может участвовать в большинстве дипломатических миссий.;;;;;;;;;;;;;x
diplomat_3;Опытный дипломат;;;;;;;;;;;;;x
diplomat_3_desc;Этот персонаж чрезвычайно искусен в области дипломатии и, вероятно, провёл много сложных переговоров.;;;;;;;;;;;;;x
diplomat_4;Мастер дипломатии;;;;;;;;;;;;;x
diplomat_4_desc;Этот персонаж смог бы, наверное, договориться о надёжном перемирии между всеми Принцами Даэдра.;;;;;;;;;;;;;x
diplomat_5;Легендарный дипломат;;;;;;;;;;;;;x
diplomat_5_desc;Этот персонаж не просто очень хороший дипломат. Он обладает феноменальными, почти сверхъестественными навыками дипломатии. Мало кто может сравниться с ним.;;;;;;;;;;;;;x
mage_1;Неумелый маг;;;;;;;;;;;;;x
mage_1_desc;Заклинания этого мага могут иметь совершенно непредсказуемый эффект. Возможно, ему следует уделять больше внимания учёбе.;;;;;;;;;;;;;x
mage_2;Маг-ученик;;;;;;;;;;;;;x
mage_2_desc;Этот персонаж знает тайные искусства, но способен извлечь из них лишь малость возможностей.;;;;;;;;;;;;;x
mage_3;Опытный маг;;;;;;;;;;;;;x
mage_3_desc;Этот персонаж способен использовать древние и могущественные заклинания и чары.;;;;;;;;;;;;;x
mage_4;Мастер-маг;;;;;;;;;;;;;x
mage_4_desc;Знание тайных искусств так же естественно для этого персонажа, как и обычное дыхание, некоторые говорят, что с его способностями можно соперничать даже с принцами Даэдра.;;;;;;;;;;;;;x
mage_5;Легендарный маг;;;;;;;;;;;;;x
mage_5_desc;Этот персонаж не просто очень хороший волшебник. Он обладает феноменальными, во истину сверхъестественными навыками магии. Мало кто может сравниться с ним.;;;;;;;;;;;;;x
magistrate_1;Посредственный управляющий;;;;;;;;;;;;;x
magistrate_1_desc;Этот персонаж взял несколько уроков управления у мастеров королевства, но ему не хватает опыта и природных способностей.;;;;;;;;;;;;;x
magistrate_2;Начинающий управленец;;;;;;;;;;;;;x
magistrate_2_desc;Этот персонаж неплохо знаком с законом и управлением, он понимает основы построения и руководства стабильным государством.;;;;;;;;;;;;;x
magistrate_3;Опытный управляющий;;;;;;;;;;;;;x
magistrate_3_desc;У этого персонажа есть природный талант в управлении даже самыми оживленными областями, он превосходно понимает множество юридических вопросов.;;;;;;;;;;;;;x
magistrate_4;Безупречный управляющий;;;;;;;;;;;;;x
magistrate_4_desc;Так же легко растолковывает законы и управляет государством, как ест и спит, этот персонаж может разрешить даже самую сложную организационную проблему.;;;;;;;;;;;;;x
magistrate_5;Легендарный управляющий;;;;;;;;;;;;;x
magistrate_5_desc;Этот персонаж не просто очень хороший управленец. Он обладает феноменальными, почти сверхъестественными навыками управления. Мало кто может сравниться с ним.;;;;;;;;;;;;;x
warrior_1;Неумелый воин;;;;;;;;;;;;;x
warrior_1_desc;Этот персонаж обучался военному делу и боевым искусствам, но к сожалению, ему не хватает большего таланта.;;;;;;;;;;;;;x
warrior_2;Способный воин;;;;;;;;;;;;;x
warrior_2_desc;тот персонаж - умелый солдат с талантом командира.;;;;;;;;;;;;;x
warrior_3;Опытный воин;;;;;;;;;;;;;x
warrior_3_desc;Этот персонаж - опытный и хорошо обученный солдат и командир, высококвалифицированный специалист с разнообразным оружием, талантливый в тренировке и управлении войсками.;;;;;;;;;;;;;x
warrior_4;Мастерский воин;;;;;;;;;;;;;x
warrior_4_desc;Весьма талантливый, с огромным арсеналом оружия и способный сделать из любого сброда настоящую армию - этот персонаж близок к апогею своего военного величия.;;;;;;;;;;;;;x
warrior_5;Легендарный воин;;;;;;;;;;;;;x
warrior_5_desc;Этот персонаж не просто очень хороший воитель. Он обладает феноменальными, почти сверхъестественными навыками воина. Мало кто может сравниться с ним.;;;;;;;;;;;;;x
EVTDESCD_ZE_13031;Когда я играю, у меня всё получается, когда я доверяюсь своим инстинктам. Думать - это нормально, главное не думать слишком много. Это замедляет меня.;;;;;;;;;;;;;x
EVTOPTD_ZE_13031;Этот день станет моим!;;;;;;;;;;;;;x
EVTDESCD_ZE_13032;Юный(ая) [From.GetFirstName] не заботится о последствиях действий[From.GetHerHis].;;;;;;;;;;;;;x
EVTDESCD_ZE_13034;[From.GetTitledFirstName] говорит мне, что у любого действия есть последствия и мне нужно серьезно относится к этому.;;;;;;;;;;;;;x
EVTOPTE_ZE_13034;Ха, как будто!;;;;;;;;;;;;;x
EVTDESCD_ZE_13051;Я узнал, что если я хочу что-то сделать, то я должен сделать это сам. И попытка играть хорошо - это самый верный способ потерперть неудачу. Теперь я знаю, что цель оправдывает средства.;;;;;;;;;;;;;x
EVTOPTD_ZE_13051;Держитесь от меня подальше.;;;;;;;;;;;;;x
EVTDESCD_ZE_13052;Я заметил, что юный(ая) [From.GetFirstName] очень холоден и жесток.;;;;;;;;;;;;;x
EVTDESCD_ZE_13054;[From.GetTitledFirstName] думает, что я должен умерить свой эгоцентричный нрав.;;;;;;;;;;;;;x
EVTOPTE_ZE_13054;[From.GetTitledFirstName] наивный дурак!;;;;;;;;;;;;;x
EVTDESCD_ZE_13061;То что они не рассказывают вам о тех героях, которые продят по миру - это то, что они всегда покрыты грязью, ковью и фу! - кто знает, чем еще. Они просто грязные!;;;;;;;;;;;;;x
EVTOPTD_ZE_13061;В то время как я буду стремиться выглядеть лучше!;;;;;;;;;;;;;x
EVTDESCD_ZE_13062;Юный(ая) [From.GetFirstName] одевает на себя наряды и становится слишком одержимым своим видом.;;;;;;;;;;;;;x
EVTDESCD_ZE_13064;[From.GetTitledFirstName] говорит, что я много временю трачу на прихорашивания и не достаточно времени на общение с другими.;;;;;;;;;;;;;x
EVTOPTE_ZE_13064;Делание чего-то другого отнимает у меня время и возможность выглядеть шикарно!;;;;;;;;;;;;;x
EVTDESCC_ZE_13081;Так много дел, и так мало времени! Иногда я перегружаюсь и теряю и забываю то, что я должен делать.;;;;;;;;;;;;;x
EVTOPTC_ZE_13081;Минуту… я только что потерял свою мысль!;;;;;;;;;;;;;x
