news_menu;Проверка текущих событий;;;;;;;;;;;;;x
news_menu_desc;Проверьте статус основных текущих событий, таких как: кто является текущим Драконорожденным, и горят ли Драконьи Огни.;;;;;;;;;;;;;x
news_dragonborn;Проверить статус Драконорождённого;;;;;;;;;;;;;x
news_dragonborn_desc;Кто нынешний драконорожденный, если таковой существует?;;;;;;;;;;;;;x
news_dragonfires;Проверить статус Драконих Огней;;;;;;;;;;;;;x
news_dragonfires_desc;Горят ли Драконьи Огни, запечатаны ли врата Обливиона?;;;;;;;;;;;;;x
news_amuletofkings;Проверить статус Амулета Королей;;;;;;;;;;;;;x
news_amuletofkings_desc;Был ли найден Амулет Королей? У него есть владелец?;;;;;;;;;;;;;x
news_daedricinvasion;Даэдрическое Вторжение;;;;;;;;;;;;;x
news_daedricinvasion_desc;В настоящее время происходит Даэдрическое Вторжение?;;;;;;;;;;;;;x
news_necromancy;Текущая законность некромантии;;;;;;;;;;;;;x
news_necromancy_desc;Некромантия в настоящее время разрешена или запрещена региональной гильдией Магов?;;;;;;;;;;;;;x
EKNewsOptA;Ясно.;;;;;;;;;;;;;x
EKNews0A;Текущий Драконорождённый - [current_dragonborn.GetBestName].;;;;;;;;;;;;;x
EKNews0B;Нет известного драконорожденного.;;;;;;;;;;;;;x
EKNews1A;Драконьи Огни горят, благодаря усилиям [lit_dragonfires.GetBestName].;;;;;;;;;;;;;x
EKNews1B;Драконьи Огни не горят.;;;;;;;;;;;;;x
EKNews2A;Амулет Королей находится во владении [news_aok_holder.GetBestName].;;;;;;;;;;;;;x
EKNews2B;Местонахождение Амулета Королей неизвестно.;;;;;;;;;;;;;x
EKNews3A1;В настоящее время Нирн переживает вторжение из Обливиона во главе с Азурой.;;;;;;;;;;;;;x
EKNews3A2;В настоящее время Нирн переживает вторжение из Обливиона во главе с Боэтией.;;;;;;;;;;;;;x
EKNews3A3;В настоящее время Нирн переживает вторжение из Обливиона во главе с Клавикус Вайл.;;;;;;;;;;;;;x
EKNews3A4;В настоящее время Нирн переживает вторжение из Обливиона во главе с Хермеусом Морой.;;;;;;;;;;;;;x
EKNews3A5;В настоящее время Нирн переживает вторжение из Обливиона во главе с Хирcином.;;;;;;;;;;;;;x
EKNews3A6;В настоящее время Нирн переживает вторжение из Обливиона во главе с Малакатом.;;;;;;;;;;;;;x
EKNews3A7;В настоящее время Нирн переживает вторжение из Обливиона во главе с Мерунесом Дагоном.;;;;;;;;;;;;;x
EKNews3A8;В настоящее время Нирн переживает вторжение из Обливиона во главе с Мефалой.;;;;;;;;;;;;;x
EKNews3A9;В настоящее время Нирн переживает вторжение из Обливиона во главе с Меридией.;;;;;;;;;;;;;x
EKNews3A10;В настоящее время Нирн переживает вторжение из Обливиона во главе с Молаг Балом.;;;;;;;;;;;;;x
EKNews3A11;В настоящее время Нирн переживает вторжение из Обливиона во главе с Намирой.;;;;;;;;;;;;;x
EKNews3A12;В настоящее время Нирн переживает вторжение из Обливиона во главе с Ноктюрнал.;;;;;;;;;;;;;x
EKNews3A13;В настоящее время Нирн переживает вторжение из Обливиона во главе с Периайтом.;;;;;;;;;;;;;x
EKNews3A14;В настоящее время Нирн переживает вторжение из Обливиона во главе с Сангвином.;;;;;;;;;;;;;x
EKNews3A15;В настоящее время Нирн переживает вторжение из Обливиона во главе с Шеогоратом.;;;;;;;;;;;;;x
EKNews3A16;В настоящее время Нирн переживает вторжение из Обливиона во главе с Верминой.;;;;;;;;;;;;;x
EKNews3B;Ни один даэдрический принц в настоящее время не вторгается в Нирн.;;;;;;;;;;;;;x
EKNews4A1;Некромантия в настоящее время разрешена Гильдией Магов.;;;;;;;;;;;;;x
EKNews4A2;Некромантия в настоящее время запрещена Гильдией Магов.;;;;;;;;;;;;;x
EKNews4B1;Некромантия в настоящее время разрешена Трансцендентными Архитекторами.;;;;;;;;;;;;;x
EKNews4B2;Некромантия в настоящее время запрещена Трансцендентными Архитекторами.;;;;;;;;;;;;;x
