### Special titles
GOD_KING;Бог-Король;;;;;;;;;;;;;x
GOD_EMPEROR;Бог-Император;;;;;;;;;;;;;x
### Events
orgnum.1.opta;Но... Я... Бог....;;;;;;;;;;;;;x
orgnum.1.title;Оргнум мертв!;;;;;;;;;;;;;x
orgnum.2.title;Смерть Оргнума;;;;;;;;;;;;;x
orgnum2.accept;Оргнума больше нет, но поклонение ему должно быть.;;;;;;;;;;;;;x
orgnum2.decline;Оргнум все еще существует - он вознесся к Этериусу!;;;;;;;;;;;;;x
orgnum2.others;Как это касается нас?;;;;;;;;;;;;;x
orgnum2;Оргнум, бог-король маормеров мертв. После его смерти его влияние на жителей Пиандонеи практически рухнуло. Многие из его бывших подданных обращаются к новой школе мысли, которая теоретизирует, что Оргнум никогда не был богом, как он утверждал.;;;;;;;;;;;;;x
orgnum.11.t;Убийца богов;;;;;;;;;;;;;x
orgnum.11.d;Жители Пиандонеи все еще находятся в шоке после смерти их бога-короля. Некоторые радуются, а некоторые опустошены. Но все Маормеры соглашаются в одном. [Root.GetTitledFirstName] убил его. Что бы там ни было, [Root.GetHerHis] действия напрямую приводят к смерти Оргнума.\n\nОтныне [Root.GetSheHe] будет называться Убийцей Бога, а действия [Root.GetHerHis] будут помнить всю вечность.;;;;;;;;;;;;;x
orgnum.11.optA;Оргнума больше нет.;;;;;;;;;;;;;x
orgnum.20.t;Оргнум Некромант;;;;;;;;;;;;;x
orgnum.20.d;Мы овладели искусством некромантии и манипулированием мертвыми. Но это напрямую противоречит важной части нашей веры, поклонению Меридии.\n\nЛеди Бесконечной Энергии ведет постоянную битву против нежити и тех, кто ими командует, в которую теперь входим и мы.\n\nВера нашего народа стоит в опасности, когда их божественный лидер и основной принцип их веры сталкиваются. Мы должны сделать выбор.;;;;;;;;;;;;;x
orgnum.20.optA;Наши люди будут слушать своего Бога.;;;;;;;;;;;;;x
REMOVE_MERIDIA_PYANDONEAIC_PANTHEON_CT;Меридия будет удалена из списка наших Богов, наши люди не смогут принять ее как Бога-покровителя, а те, кто уже есть, должны будут измениться.;;;;;;;;;;;;;x
orgnum.20.optB;Если мы оставим Меридию, когда наши люди оставят нас?;;;;;;;;;;;;;x
orgnum.21.d;Наш Божественный [From.GetTitle] объявил сегодня, что учения и приказы Меридии, Леди Бесконечной Энергии, находились в прямом противоречии с нашей верой, и решил удалить ее из нашего пантеона!\nУ нас нет выбора, кроме как прекратить поклоняться ей и найти еще одно божество-покровитель для поклонения...;;;;;;;;;;;;;x
