#Decisions
choose_lifestyle_guild_warriors;Изучите образ жизни с другими бойцами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_warriors_desc;Гильдия бойцов - идеальное место, чтобы узнать больше о талантах, подходящих для боевой жизни. Тренеры доступны, если вы хотите стать Гладиатором, Наездником или Кузнецом.;;;;;;;;;;;;;x
choose_lifestyle_guild_scenarist;Изучите образ жизни с другими сценаристами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_scenarist_desc;Сценаристы хорошо известны своими способностями к убеждению, искусству и соблазнению. Тренеры доступны, если вы хотите стать Музыкантом, Художником или Магом.;;;;;;;;;;;;;x
choose_lifestyle_guild_ansei;Изучите образ жизни с другими певцами мечей в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_ansei_desc;Певцы Меча объединяют боевые искусства с более классическими. Тренеры доступны, если вы хотите стать Музыкантом, Гладиатором или Кузнецом.;;;;;;;;;;;;;x
choose_lifestyle_guild_mages;Изучите образ жизни с другими магами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_mages_desc;Маги могут использовать свои способности во многих ситуациях и для многих работодателей. Тренеры доступны, если вы хотите стать Алхимиком, Магом или Диверсантом.;;;;;;;;;;;;;x
choose_lifestyle_guild_mercantile;Изучите образ жизни с другими магистратами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_mercantile_desc;Торговое искусство может быть использовано в самых разных ситуациях, легально или нет. Тренеры доступны, если вы хотите стать Инженером, Игроком или Контрабандистом.;;;;;;;;;;;;;x
choose_lifestyle_guild_assassins;Изучите образ жизни с другими убийцами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_assassins_desc;Убийцы должны быть универсальными, поскольку не все контракты одинаковы. Тренеры доступны, если вы хотите стать Кузнецом, Диверсантом или Гладиатором.;;;;;;;;;;;;;x
choose_lifestyle_guild_thieves;Изучите образ жизни с другими ворами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_thieves_desc;Гильдии Воров заполнены людьми, знающими множество вещей, которые могут быть использованы в их контрактах. Тренеры доступны, если вы хотите стать Контрабандистом, Диверсантом или Игроком.;;;;;;;;;;;;;x
choose_lifestyle_guild_order_pale_mist;Изучите образ жизни с другими убийцами в вашей гильдии.;;;;;;;;;;;;;x
choose_lifestyle_guild_order_pale_mist_desc;Орден Черного Тумана делает упор на искусство, а не грубую силу. Тренеры доступны, если вы хотитие стать художником, подрывником или музыкантом.;;;;;;;;;;;;;x
#Events
societieslifestyle.1.t;Обучение среди воинов;;;;;;;;;;;;;x
societieslifestyle.1.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Бойцы могут научить вас пути Гладиатора, Конного или Кузнеца.;;;;;;;;;;;;;x
societieslifestyle.11.t;Обучение среди сценаристов;;;;;;;;;;;;;x
societieslifestyle.11.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Сценаристы могут научить вас пути Музыканта, Художника или Мага.;;;;;;;;;;;;;x
societieslifestyle.21.t;Обучение среди певцов меча;;;;;;;;;;;;;x
societieslifestyle.21.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Певцы Меча могут научить вас пути Музыканта, Гладиатора или Кузнеца.;;;;;;;;;;;;;x
societieslifestyle.31.t;Обучение среди магов;;;;;;;;;;;;;x
societieslifestyle.31.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Маги могут научить вас пути Алхимика, Мага или Диверсанта.;;;;;;;;;;;;;x
societieslifestyle.41.t;Обучение среди магистратов;;;;;;;;;;;;;x
societieslifestyle.41.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Магистраты могут научить вас пути Инженера, Азартного игрока или Контрабандиста.;;;;;;;;;;;;;x
societieslifestyle.51.t;Обучение среди ассасинов;;;;;;;;;;;;;x
societieslifestyle.51.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Ассасины могут научить вас пути Кузнеца, Диверсанта или Гладиатора.;;;;;;;;;;;;;x
societieslifestyle.61.t;Обучение среди воров;;;;;;;;;;;;;x
societieslifestyle.61.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Воры могут научить вас пути Контрабандиста, Диверсанта или Азартного игрока.;;;;;;;;;;;;;x
societieslifestyle.71.t;Обучение среди Ходящих в Тумане;;;;;;;;;;;;;x
societieslifestyle.71.d;Гильдии - хорошая возможность освоить новые способы овладения своим искусством. Орден Бледного Тумана позволяет вам изучить путь художника, подрывника или музыканта.;;;;;;;;;;;;;x
societieslifestyle.becomeAlchemist;Стать Алхимиком!;;;;;;;;;;;;;x
societieslifestyle.becomeBlacksmith;Стать Кузнецом!;;;;;;;;;;;;;x
societieslifestyle.becomeEngineer;Стать Инженером!;;;;;;;;;;;;;x
societieslifestyle.becomeEquestrian;Стать Наездником!;;;;;;;;;;;;;x
societieslifestyle.becomeGambler;Стать Игроком!;;;;;;;;;;;;;x
societieslifestyle.becomeGladiator;Стать Гладиатором!;;;;;;;;;;;;;x
societieslifestyle.becomeMagician;Стать Магом!;;;;;;;;;;;;;x
societieslifestyle.becomeMusician;Стать Музыкантом!;;;;;;;;;;;;;x
societieslifestyle.becomePainter;Стать Художником!;;;;;;;;;;;;;x
societieslifestyle.becomeSaboteur;Стать Диверсантом!;;;;;;;;;;;;;x
societieslifestyle.becomeSmuggler;Стать Контрабандистом!;;;;;;;;;;;;;x
societieslifestyle.nothing;Ничто на самом деле меня не интересует.;;;;;;;;;;;;;x
#
societieslifestyle.100.d;Спарринг с другими бойцами - отличный способ отточить мои боевые навыки. Хотя смерти на наших аренах редки, дуэли никогда не бывают легкими, а иногда и кровавыми. Тем не менее, это волнующее чувство, особенно когда я выхожу победителем и слышу, как мои товарищи подбадривают меня.;;;;;;;;;;;;;x
societieslifestyle.100.optA;Я Гладиатор!;;;;;;;;;;;;;x
societieslifestyle.100.optB;Лучшие приемы передаются оставшимся в живых.;;;;;;;;;;;;;x
societieslifestyle.100.optC;Это отличный спорт, но есть и другие вещи, которые я бы предпочел сделать.;;;;;;;;;;;;;x
societieslifestyle.101.d;Борьба верхом на лошади - это совсем другое искусство, чем борьба на ногах, и я очень хорошо к этому отношусь. Я верю, что, возможно, нашел свое призвание!;;;;;;;;;;;;;x
societieslifestyle.101.optA;Я Наездник!;;;;;;;;;;;;;x
