### Events
story_blackdrake.1.t;Дуркорах "Черный Селезень";;;;;;;;;;;;;x
story_blackdrake.1.d;Один из самых амбициозных и успешных Ричменов междуцарствия, Дуркорах "Черный Селезень" быстро завоевал имперский остров, подчинив себе большинство лордов Сиродила и заставив их признать его императором.\nЛорды Хай Рока объединились под знаменем Эвермора, королевства, защищающего границу между Хай Роком и Пределом.\nЭти бретонские лорды должны быть покорены, иначе они окажутся угрозой правлению Черного Селезня...\n\nВ Пределе Ворожеи, похоже, готовы идти на войну за Черного Селезня. В Скайриме некоторые короли, кажется, обсуждают союз против ричменов, в случае падения Хай Рока...;;;;;;;;;;;;;x
story_blackdrake.1.optA;Хай Рок падет, как и другие!;;;;;;;;;;;;;x
story_blackdrake.10.t;Достижение альянса;;;;;;;;;;;;;x
story_blackdrake.10.d;Ворожеи в целом решили последовать за Дуркорахом "Черным Селезнем", который объединил Предел и двинулся к Имперскому городу. Затем он повернул глаза на запад, пытаясь покорить бретонцев. Пока мы следуем за ним и поклялись служить ему и его делу, у нас может быть что-то из этого получится.\nНа протяжении тысячелетий наш главный ковен был сосредоточен в Храггене, где похоронен сам Красный Орел. Но эти земли традиционно считаются частью Герцогства Скархаммер, которое контролируется Черным Селезнем.\nМы могли бы послать предложение, обещая Вересковых сердец и Ворожей, если бы он позволил нам контролировать это герцогство.;;;;;;;;;;;;;x
story_blackdrake.10.optA;Пошлите ворона к Черному Селезню. Союз был бы выгоден всем нам.;;;;;;;;;;;;;x
story_blackdrake.11.d;[From.GetTitledName] решила поддержать наше дело много лет назад. Она и Ворожеи, которых она возглавляет, были очень полезны в нашем объединении Предела, но она прислала новое предложение. Если бы мы отдали ей герцогство Скархаммер, земли, частью которых считается Храгген, она собрала бы армию Вересковых сердец и Ворожей и послала бы их нам, чтобы сокрушить наших врагов.\nМы могли бы также отказаться, утверждая, что силы Старых Богов и их последователей достаточно.;;;;;;;;;;;;;x
story_blackdrake.11.optA;Мы принимаем предложение Верховной Старицы.;;;;;;;;;;;;;x
story_blackdrake_SCARHAMMER_FOR_TROOPS;Великая Старица предоставит §Yтри тысячи бойцов§! в обмен на герцогство Скархаммер.;;;;;;;;;;;;;x
story_blackdrake.11.optB;Нам не нужно отказываться от своей человечности, чтобы одержать победу .;;;;;;;;;;;;;x
story_blackdrake.12.t;Победоносные ричмены в Хай Роке;;;;;;;;;;;;;x
story_blackdrake.12.d;Несмотря на то, что большая часть Хай Рока объединилась против общего врага, ричменов, наши объединенные армии были разбиты. Моральный дух во всем Хай Роке очень низок, так как большинство лордов вернулись к своим мелким ссорам, а земли, окружающие Предел, теперь находятся в руках черного Селезня, который уже грабит их.;;;;;;;;;;;;;x
story_blackdrake.12.optA;Мы будем ждать своего часа...;;;;;;;;;;;;;x
