is_daedric_prince_text;Это Даэдрический Принц;;;;;;;;;x;
is_inaccessible_tooltip;Он недоступен;;;;;;;;;x;
officially_worships_daedra;Открыто поклоняется Даэдра;;;;;;;;;x
is_daedra_herald;Возглавляет даэдрическую орду;;;;;;;;;x
worships_daedra;Поклоняется даэдра;;;;;;;;;x
createdbydecisiontext;Этот титул может быть создан только по решению, расположенном в меню интриги, когда есть такая возможность.;;;;;;;;;x
noduplicates;Вы можете владеть лишь одной копией данного артефакта одновременно.;;;;;;;;;x
IS_ALTMER_CT;- Альтмер;;;;;;;;;x
IS_AYLEID_CT;- Айлед;;;;;;;;;x
IS_BOSMER_CT;- Босмер;;;;;;;;;x
IS_CHIMER_CT;- Кимер;;;;;;;;;x
IS_DUNMER_CT;- Данмер;;;;;;;;;x
IS_MAORMER_CT;- Маормер;;;;;;;;;x
IS_FALMER_CT;- Фалмер;;;;;;;;;x
IS_DWEMER_CT;- Двемер;;;;;;;;;x
IS_TSAESCI_CT;- Цаэски;;;;;;;;;x
BLOODLINE_BASTARD_CHECK_CT;Бастарды не могут наследовать родословную, если только они не являются детьми основателя рода.;;;;;;;;;x
