destroy_leaning_tower;Снести Падающую Башню;;;;;;;;;;;;;x
destroy_leaning_tower_desc;Падающая башня в [Root.Location.GetName] это бельмо на глазу и возможный риск для безопасности. Возможно, стоит потратить некоторую сумму денег, чтобы её снести...;;;;;;;;;;;;;x
leaning_tower_rubble;Развалины Падающей Башни;;;;;;;;;;;;;x
leaning_tower_rubble_desc;Башня, которая когда-то стояла здесь, была снесена и демонтирована. Её составные части были переработаны и распределены на другие проекты.;;;;;;;;;;;;;x
focus_scholarship_desc;[This.GetTitledFirstName] зарывает нос [This.GetPossPronoun] в пыльных старых томах, ища знания и обучаясь им. Это разблокирует §Y Строительство Обсерватории§! - решение, являющееся отправной точкой для вашего образования, которая в конечном позволит изучить Мундус, а также Обливион и Даэдрических Принцев.;;;;;;;;;x
EKWOL10;[From.GetFirstName] рассказывает, что [FromFromFrom.GetBestName] соблазнял(а) [From.GetHerHim]!;;;;;;;;;;;;;x
EKWOL10Accept;Никчёмная сволочь!;;;;;;;;;;;;;x
EKWOL10Decline;Мне нужны доказательства получше твоих сплетен.;;;;;;;;;;;;;x
EKWOL11;[From.GetFirstName] только что сообщил(а) мне, что [FromFrom.GetBestName] попытался соблазнить [From.GetHerHim]!;;;;;;;;;;;;;x
EKWOL11Accept;Никчёмное отродье!;;;;;;;;;;;;;x
EKWOL11Decline;Мне нужны доказательства получше, чем ваши сплетни.;;;;;;;;;;;;;x
EKWOL15;К [GetFromRootInsult] [Root.GetFirstName],\nЯ точно знаю, что вы задумали. Вы мне противны. Учтите это уведомление - вы только что создали себе врага на всю жизнь! \n\nПодпись, [From.GetFirstName];;;;;;;;;;;;;x
EKWOL15Accept;У этого/этой [GetRootFromInsult] такая тонкая кожа...;;;;;;;;;;;;;x
EKWOL100;Каждый князь Обливиона владеет уникальной сферой и требует особого подхода. С золотом, которое я накопил, мне нужно найти кого-нибудь, кто обладает полезной информацией ...;;;;;;;;;;;;;x
EKWOL100Azura;Нанять исследователя Азуры;;;;;;;;;;;;;x
EKWOL100Boethiah;Нанять исследователя Боэтии;;;;;;;;;;;;;x
EKWOL100Clavicus;Нанять исследователя Клавикуса Вайла;;;;;;;;;;;;;x
EKWOL100Hermaeus;Нанять исследователя Хермеуса Моры;;;;;;;;;;;;;x
EKWOL100Hircine;Нанять исследователя Хирсина;;;;;;;;;;;;;x
EKWOL100Malacath;Нанять исследователя Малаката;;;;;;;;;;;;;x
EKWOL100Mehrunes;Нанять исследователя Мехрунеса Дагона;;;;;;;;;;;;;x
EKWOL100Mephala;Нанять исследователя Мефалы;;;;;;;;;;;;;x
EKWOL100Meridia;Нанять исследователя Меридии;;;;;;;;;;;;;x
EKWOL100Molag;Нанять исследователя Молага Бала;;;;;;;;;;;;;x
EKWOL100Namira;Нанять исследователя Намиры;;;;;;;;;;;;;x
EKWOL100Nocturnal;Нанять исследователя Ноктюрнал;;;;;;;;;;;;;x
EKWOL100Peryite;Нанять исследователя Периайта;;;;;;;;;;;;;x
EKWOL100Sanguine;Нанять исследователя Сангвина;;;;;;;;;;;;;x
EKWOL100Sheogorath;Нанять исследователя  Шеогората;;;;;;;;;;;;;x
EKWOL100Vaermina;Нанять исследователя Вермины;;;;;;;;;;;;;x
EKWOL100Jyggalag;Нанять исследователя Джиггалага;;;;;;;;;;;;;x
EKWOL100WRAP;(Больше};;;;;;;;;;;;;x
EKWOL100DECLINE;Никого не нанимать. Это бессмысленно.;;;;;;;;;;;;;x
EKWOL120;После некоторого поиска мне удалось связаться с загадочной личностью - [hired_daedric_scholar.GetFirstName]. Эта личность, как утверждается, заключила сделку с [hired_daedric_scholar.SecretReligion.GetRandomGodName] в прошлом. [hired_daedric_scholar.GetFirstName] хочет помочь мне узнать больше о [hired_daedric_scholar.SecretReligion.GetRandomGodName].;;;;;;;;;;;;;x
EKWOL120OptA;Существует много тайн, касающихся [hired_daedric_scholar.SecretReligion.GetRandomGodName], и многое я желаю узнать ...;;;;;;;;;;;;;x
EKWOL120OptB;С вашей помощью секреты даэдра будут раскрыть!;;;;;;;;;;;;;x
EKWOL120OptC;Пропустите эзотерику, излагайте только практическую информацию.;;;;;;;;;;;;;x
EKWOL131;Мои исследования с [From.GetFirstName] оказываются плодотворны. Я не только подчёрпываю некоторые ценные сведения о [From.SecretReligion.GetRandomGodName], но и значительно продвигаюсь в исследовании Царств Обливиона.;;;;;;;;;;;;;x
EKWOL131Accept;Даже в этот миг тысячи тайн ожидают меня.;;;;;;;;;;;;;x
EKWOL132;Мои исследования были изнурительными, но теперь я искренне верю, что мои знания об Обливионе, его обитателях и изменчивых путях, которые связывают их мир с нашим.;;;;;;;;;;;;;x
EKWOL132OptA;Это знание изменило меня!;;;;;;;;;;;;;x
EKWOL132OptB;Любопытная информация, но у меня есть другие интересы.;;;;;;;;;;;;;x
EKWOL200;После долгого и довольно неприятного процесса, разрушающаяся башня в [Root.GetName] наконец-то была снесена и разобрана. Большое количество камня, используемого при строительстве и обслуживании башни, было разбито для повторного использования в других местных строительных проектах.;;;;;;;;;;;;;x
EKWOL200Accept;По крайней мере, это лучше чем ничего.;;;;;;;;;;;;;x
