#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;x
BM_REMAN_ERA;1Э: Империя Ремана;;;;;;;;;;;;;x;;;;
BM_REMAN_ERA_INFO;Не прошло и года после восхождения на престол Ремана Сиродила. Теперь, победив акавирских захватчиков, он крепко встал на ноги, чтобы воздвигнуть новую человеческую империю, дабы господствовать над землями Тамриэля.;;;;;;;;;;x;;;;;;;
BM_REMAN;1Э: Империя Ремана (ВИП/Незавершённый);;;;;;;;;;;;;x;;;;
BM_REMAN_DESC;Не прошло и года после восхождения на престол Ремана Сиродила. Теперь, победив акавирских захватчиков, он крепко встал на ноги, чтобы воздвигнуть новую человеческую империю, дабы господствовать над землями Тамриэля.;;;;;;;;;;x;;;;;;;
BM_INTERREGNUM_ERA;2Э: Междуцарствие;;;;;;;;;;;;;x;;;;
BM_INTERREGNUM_ERA_INFO;Двадцать лет назад последний акавирский потентат, Савириен-Чорак, был убит вместе со всеми своими наследниками. Его смерть ознаменовала конец Второй Империи и начало периода Междуцарствия. Правители Сиродила, Хай Рока и Скайрима грызутся за власть над небольшими наделами; множество военачальников сражаются за контроль над Имперским Городом и окружающими его землями. В остальных провинциях Тамриэля ситуация далеко не лучше, и только Алинор сохраняет наличие хоть какого-нибудь порядка. Возможно ли восстановить Имерию во всем этом хаосе? Найдется ли человек, мер или зверолюд, который сможет прекратить период бесконечных войн, преодолеть раскол и занять Рубиновый Трон в качестве императора не только Сиродила, но и всего Тамриэля?;;;;;;;;;;;;;x;;;
BM_INTERREGNUM;2Э: Междуцарствие;;;;;;;;;;;;;x;;;;
BM_INTERREGNUM_DESC;Двадцать лет назад последний акавирский потентат, Савириен-Чорак, был убит вместе со всеми своими наследниками. Его смерть ознаменовала конец Второй Империи и начало периода Междуцарствия. Правители Сиродила, Хай Рока и Скайрима грызутся за власть над небольшими наделами; множество военачальников сражаются за контроль над Имперским Городом и окружающими его землями. В остальных провинциях Тамриэля ситуация далеко не лучше, и только Алинор сохраняет наличие хоть какого-нибудь порядка. Возможно ли восстановить Имерию во всем этом хаосе? Найдется ли человек, мер или зверолюд, который сможет прекратить период бесконечных войн, преодолеть раскол и занять Рубиновый Трон в качестве императора не только Сиродила, но и всего Тамриэля?;;;;;;;;;;;;;x;;;
BM_REACHMEN_ERA;2Э: Черный Селезень;;;;;;;;;;;;;x;;;;
BM_REACHMEN_ERA_INFO;Хай Рок в осаде нового императора Сиродила - Дуркораха Чёрного Селезня, ричмена и даэдропоклонника. Его огромная армия, собранная из диких племен Предела, уже стоит на границах Эвермора, небольшого бретонского королевства. Если Эвермор падет, орды разъяренных ричменов хлынут в Хай Рок и покорят все до последнего камня. Это прекрасно осознают бретонские правители, что уже сформировали коалицию против Черного Селезня. Между тем, имперские вассалы Сиродила ждут подходящего момента для нанесения удара по власти нового императора, дабы изгнать захватчиков-ричменов и вернуть Рубиной Трон сиродильцу.;;;;;;;;;;;;;x;;;;
BM_REACHMEN;2Э: Черный Селезень;;;;;;;;;;;;;x;;;;
BM_REACHMEN_DESC;Хай Рок в осаде нового императора Сиродила - Дуркораха Чёрного Селезня, ричмена и даэдропоклонника. Его огромная армия, собранная из диких племен Предела, уже стоит на границах Эвермора, небольшого бретонского королевства. Если Эвермор падет, орды разъяренных ричменов хлынут в Хай Рок и покорят все до последнего камня. Это прекрасно осознают бретонские правители, что уже сформировали коалицию против Черного Селезня. Между тем, имперские вассалы Сиродила ждут подходящего момента для нанесения удара по власти нового императора, дабы изгнать захватчиков-ричменов и вернуть Рубиной Трон сиродильцу.;;;;;;;;;;;;;x;;;;
BM_KAMAL_ERA;2Э: Вторжение Камаль;;;;;;;;;;;;;x;;;;
BM_KAMAL_ERA_INFO;Морровинд и Скайрим лихорадит от разрушений, принесенных вторжением императора народа камаль - Ада'Сум Дир-Камаль. Никто в Тамриэле не знает, почему жители замерзших земель Акавира заплыли так далеко и потратили так много средств на эту войну, но нет сомнений в том, что их амбиции на этом не остановятся, и у народов Тамриэля нет иного выбора, кроме сотрудничества друг с другом. Норды и данмеры, возможно, отложат свою вражду и объединятся, чтобы выжить. В эти странные времена даже аргониане, давние враги данмеров, готовы помочь в изгнании свирепых камаль из Тамриэля.;;;;;;;;;;;;;xx;;;;
BM_KAMAL;2Э: Вторжение Камаль;;;;;;;;;;;;;x;;;;
BM_KAMAL_DESC;Морровинд и Скайрим лихорадит от разрушений, принесенных вторжением императора народа камаль - Ада'Сум Дир-Камаль. Никто в Тамриэле не знает, почему жители замерзших земель Акавира заплыли так далеко и потратили так много средств на эту войну, но нет сомнений в том, что их амбиции на этом не остановятся, и у народов Тамиэля нет иного выбора, кроме сотрудничества друг с другом. Норды и данмеры, возможно, отложат свою вражду и объединятся, чтобы выжить. В эти странные времена даже аргониане, давние враги данмеров, готовы помочь в изгнании свирепых камаль из Тамриэля.;;;;;;;;;;;;;x;;;;
BM_VARENSREBELLION;2Э: Восстание Варена;;;;;;;;;;;x;;;;;;
BM_VARENSREBELLION_DESC;Легализация поклонения Даэдра императором Леовиком стала последней каплей недовольства Коловианских правителей Сиродила. Варен Аквилариос из Коррола возглавляет военные силы Коловианцев и собирается низложить императора с Рубинового трона.  Вскоре после того как Аквилариос поднял восстание, он приказал своим сторонникам построить стену, которая защитила бы Кватч и весь Золотой берег от мести императора.;;;;;;;;;;;;;x;;;;
BM_ALLIANCEWAR_ERA;2Э: Война Альянсов;;;;;;;;;;;;;x;;;;
BM_ALLIANCEWAR_ERA_INFO;Когда Маннимарко, Король Червей, повредил амулет королей перед коронацией императора Варена несколько лет назад, ему удалось разрушить барьер между Нирном и Обливионом. Даэдрический принц Молаг Бал, Пожинатель Душ, воспользовался этой возможностью и с помощью темных якорей и даэдрических армий начал слияние планов, желая соединить Нирн с подвластной ему Хладной Гаванью. Но три политических альянса - Эбонхартский Пакт, Ковенант Даггерфолла и Альдмерский Доминион - решили противостоять даэдрическому принцу и его прислужникам. Никогда народы Тамриэля не были так едины, но и прежде не было столь страшной угрозы, как ныне.;;;;;;;;;;;;;x;;;;
BM_ALLIANCEWAR;2Э: Война Альянсов;;;;;;;;;;;;;x;;;;
BM_ALLIANCEWAR_DESC;Когда Маннимарко, Король Червей, повредил амулет королей перед коронацией императора Варена несколько лет назад, ему удалось разрушить барьер между Нирном и Обливионом. Даэдрический принц Молаг Бал, Пожинатель Душ, воспользовался этой возможностью и с помощью темных якорей и даэдрических армий начал слияние планов, желая соединить Нирн с подвластной ему Хладной Гаванью. Но три политических альянса - Эбонхартский Пакт, Ковенант Даггерфолла и Альдмерский Доминион - решили противостоять даэдрическому принцу и его прислужникам. Никогда народы Тамриэля не были так едины, но и прежде не было столь страшной угрозы, как ныне.;;;;;;;;;;;;;x;;;;
BM_POSTBANNER;2Э: После Войны Знамён;;;;;;;;;;;;;x;;;;
BM_POSTBANNER_DESC;Война Альянсов закончилась. Маннимарко убит, а Молаг Бал был побежден в Хладной Гавани, Три Знамени вновь обратили свой взор на Рубиновый Трон и тлеющие остатки Сиродильской Империи. Лишившись силы, способной удержать Рубиновый Трон, Империя быстро разрушилась, Эбонхартский Пакт одержал победу, и выполнив свою миссию, мирно распустился. Ковенант Даггерфолла отступает назад, больше не считая Орсиниум своим членом, в то время как бретонские лорды ссорятся между собой. Альдмерский Доминион распался, и почти все правители за пределами Саммерсета, отвергли правление Эйренн. Поскольку великие фракции Тамриэля распались, другие государства ищут возможность обеспечить безопасность своих границ, их расширения, и двигаются к возможному восстановлению Империи.;;;;;;;;;;;x ;;;;;;
BM_WARLORDRISING;2Э: Война за Риммен;;;;;;;;;;;;;x;;;;
BM_WARLORDRISING_DESC;Покоряя мелких Сиродиильских лордов одного за другим, военачальник Аттребус - фанатичный последователь Восьмерых и заклятый враг даэдропоклонников - провозгласил себя императором и начал кампанию по избавлению сердца Империи от духовной скверны. Обвиненные Аттребусом в вампиризме, и под угрозой смерти, цаэски и их родичи - акавирцы, бежали в независимое королевство Риммен. Аттребус и его последователи двинулись следом за ними. Королева Риммена Лира поклялась в верности Гриве каджитов, в надежде, что у того хватит сил противостоять возрожденной Сиродиильской Империи и защитить ее и ее новых подданных от гнева Аттребуса.;;;;;;;;;;;;;x;;;;
BM_WINTERSRETURN;2Э: Возвращение Зимы;;;;;;;;;;;;;x;;;;
BM_WINTERSRETURN_DESC;Поражение Ада'Сум Дир-Камаля много веков назад совпало с полным роспофрмирование армий вторжения, угрожавшим Скайриму и Морровинду. Незаметно для жителей Тамриэля, небольшой отряд оставшийся от сил вторжения пережил войну, скрываясь в горах Валус. Их потомки, немногочисленные, но очень сильные, начали неожиданное вторжение в Хартленд и захватили Имперский Город, восстановив Империю как государство Камаль. Римменские Акавирцы, так и непринятые своими Каджитскими владыками, покинули Эльсвейр и присоединилсь к Камаль. Хотя маловероятно, что захватчики Камаль сохранят свою власть надолго, столь же маловероятно, что они будут почивать на лаврах и не будут искать новых целей для завоеваний.;;;;;;;;;;;;;x;;;;
BM_DOMINIONOFMER;2Э: Доминион Меров;;;;;;;;;;;;;x;;;;
BM_DOMINIONOFMER_DESC;Война за наследство между каморанскими претендентами в Валенвуде привела к образованию Второго Альдмерского Доминиона. Когда его противники обратились к Коловианцам за военной помощью, Анаксемес Каморан в ответ призвал короля Алинора. Вмешательство альтмеров привело к полной победе Анаксемеса и его становлению в качестве вассального короля Альдмерского Доминиона. Валенвуд теперь является заклятым врагом своих Коловианских соседей, а Доминион заключил союзы с Эльсвейром, Пиандонеей и Пределом. С Сиродилом в разрухе кажется, что Доминион возможно готов взять под контроль весь Тамриэль.;;;;;;;;;;;;;x;;;;
BM_EMPERORZERO;2Э: Император Ноль;;;;;;;;;;;;;x;;;;
BM_EMPERORZERO_DESC;Один за другим правители Сиродила приклоняют колени перед коловианским полководцем Кахлекейном. Первоначально мелкий король Фолкрита, Кахлекейн полностью изменил баланс сил в Тамриэле, во многом благодаря его, казалось бы, непобедимому генералу Талосу. Талос признан Серобородыми Высокого Хротгара как Драконорожденный. Тактический гений генерала Талоса и использование Голоса обеспечили удивительные победы Кахлекейна, сначала в Старом Хролдане, а теперь в Санкре-Тор. С Амулетом Королей в его распоряжении и отсутствием противников, способных противостоять ему, Кахлекейну просто нужно покорить нескольких слабых правителей, взять Имперский Город и короновать себя Императором, чтобы раз и навсегда укрепить свое правление...;;;;;;;;;;;;;x;;;;
PICK_YOUR_STARTING_ERA;Выберете стартовую эпоху;;;;;;;;;;;;;x;;;;
PICK_STARTING_ERA_TEXT;Модификация Elder Kings охватывает период почти в 1600 лет. Выберете точку временной шкалы, с которой хотите начать играть.;;;;;;;;;;;;;x;;;;
ERA_CHAR_NAME_210006;Император Реман;;;;;;;;;;;;;x;;;;
ERA_CHAR_INFO_210006;Реман - молодой коловианский завоеватель, ныне коронованный императором всего Сиродиила.;;;;;;;;;;;;;x;;;;
ERA_CHAR_NAME_36001;Король Хайделлит;;;;;;;;;;;;;x;;;;
