briarheart_bonus;Религия, дружественная к Вересковым Сердцам;;;;;;;;;;;;;x
hagraven_bonus;Религия, дружественная к Ворожеям;;;;;;;;;;;;;x
known_lycan_bonus_1;Религия, дружественная к Оборотням;;;;;;;;;;;;;x
known_lycan_bonus_2;Религия, дружественная к Оборотням;;;;;;;;;;;;;x
known_vamp_bonus_1;Религия, дружественная к Вампирам;;;;;;;;;;;;;x
known_vamp_bonus_2;Религия, дружественная к Вампирам;;;;;;;;;;;;;x
lich_bonus;Религия, дружественная к Личам;;;;;;;;;;;;;x
necromancer_bonus;Религия, дружественная к Некромантам;;;;;;;;;;;;;x
undead_bonus;Религия, дружественная к Нежити;;;;;;;;;;;;;x
opinion_eternally_grateful;Бесконечно благодарен;;;;;;;;;;;;;x
opinion_seduced_disgusted;Испытывает отвращение к попыткам соблазнения;;;;;;;;;;;;;x
opinion_seduced_hostile;Враждебно относится к попыткам соблазнения;;;;;;;;;;;;;x
opinion_feral_monster;Дикий Монстр;;;;;;;;;;;;;x
opinion_evil_monster;Злой Монстр;;;;;;;;;;;;;x
opinion_hostile_lycan;Враждебен к Ликантропии;;;;;;;;;;;;;x
opinion_hostile_vampire;Враждебен к Вампиризму;;;;;;;;;;;;;x
opinion_horrified_lycan;В ужасе;;;;;;;;;;;;;x
opinion_horrified_vampire;В ужасе;;;;;;;;;;;;;x
opinion_sponsored_my_adventure;Спонсирует мои приключения;;;;;;;;;;;;;x
opinion_temple_appreciates_tribute;Благодарит за подношение;;;;;;;;;;;;;x
opinion_temple_happy_to_tribute;С радостью приносит подношение;;;;;;;;;;;;;x
opinion_temple_appreciates_tribute_and_gift;Благодарит за подношение и подарки;;;;;;;;;;;;;x
opinion_temple_happy_to_tribute_and_gift;С радостью приносит подношение и подарки;;;;;;;;;;;;;x
opinion_temple_no_tribute;Отказался приносить подношение;;;;;;;;;;;;;x
opinion_temple_refused_to_tribute;Отказался приносить подношение;;;;;;;;;;;;;x
opinion_bound_dremora;Cковать дремору;;;;;;;;;;;;;x
opinion_mortal_weakling;Ослабить смертного;;;;;;;;;;;;;x
opinion_clavicus_beguiled;Обманывать;;;;;;;;;;;;;x
opinion_allowed_necromancy_yay;Разрешить Некромантию;;;;;;;;;;;;;x
opinion_banned_necromancy_yay;Запретить Некромантию;;;;;;;;;;;;;x
opinion_allowed_necromancy_boo;Разрешить Некромантию;;;;;;;;;;;;;x
opinion_banned_necromancy_boo;Запретить Некромантию;;;;;;;;;;;;;x
opinion_show_trial_defendant;Помиловал меня;;;;;;;;;;;;;x
opinion_db_hire;Благодарен;;;;;;;;;;;;;x
opinion_mt_hire;Признателен;;;;;;;;;;;;;x
opinion_goons_hire;Признателен;;;;;;;;;;;;;x
opinion_employed_assassins_against;Недовольный;;;;;;;;;;;;;x
opinion_wont_let_me_find_calling;Не позволяет мне найти свое призвание;;;;;;;;;;;;;x
almsivi_mural_almalexia_commissioned;Создает художественное произведение для Альмалексии;;;;;;;;;;;;;x
