confederacy_government;Конфедерация;;;;;;;;;;;;;x
confederacy_government_desc;Конфедерация тесно связана с феодальной властью, представляя собой свободный союз самостоятельных правителей под знаменем одного человека. В отличие от феодального правительства, союз не предназначен для централизованного правления, и допускается только Выборное Правление. Правитель конфедерации не контролирует мобилизацию войск у своих вассалов, вместо этого он должен призвать их на войну, чтобы они сражались от его имени.;;;;;;;;;;;;;x
imperial_commune_government;Имперская Коммуна;;;;;;;;;;;;;x
imperial_commune_government_desc;Имперская комуна - это олигархическая форма феодального выборного правления, созданная некоторыми из самых влиятельных семей Имперского Города, после падения власти Потентата и последовавшего за этим хаоса. Её основной целью является защита Имперского Острова и интересов его правителей. Как считается, правители получают власть от остатков уже несуществующего Совета Старейшин, института бывшей Империи.;;;;;;;;;;;;;x
reformed_imperial_commune_government;Имперская Республика;;;;;;;;;;;;;x
reformed_imperial_commune_government_desc;Имперская Республика - это форма правления, являющееся более централизованной и стабильной разновидностью Имперской Коммуны, вернувшейся с грани гибели, и отступившей назад, чтобы стать сильнее, чем когда-либо прежде. Хотя она всё еще была связана с интригами различных благородных домов Имперской Провинции, правитель - гораздо более уважаемая фигура с значительно большим влиянием и властью, нежели в бывшей коммуне. Резиденция Императоров находится в пределах вашей досягаемости!;;;;;;;;;;;;;x
mane_government;Грива;;;;;;;;;;;;;x
mane_government_desc;Система государственного правления у Гривы содержит в себе большинство элементов феодализма, но обладает и некоторыми отличиями из-за уникального статуса гривы в качестве светского, так и религиозного лидера. Грива может владеть храмами без штрафов к доходам и ему разрешается иметь наложниц. Каждый раз когда Грива умирает, его приемником всегда избирается каджит-самец, недавно родившийся при уникальной лунной фазе.;;;;;;;;;;;;;x
matriarchy_government;Матриархат Цаэски;;;;;;;;;;;;;x
matriarchy_government_desc;Матриархат Цаэски напоминает феодальное государство и зависит от договора между сюзереном и вассалом, но, как указывает его название, в нём преобладает власть женщин. Матриархам разрешено выходить замуж только матрилинейно, и они могут завести ещё нескольких консортов, помимо основного супруга. К наследованию в матриархате допускаются только женщины, и хотя мужчинам пока не удавалось контролировать матриархат, они навлекут на себя гнев вассальных матриархов за нарушение правил этой системы.;;;;;;;;;;;;;x
orsimer_government;Кодекс Малаката;;;;;;;;;;;;;x
orsimer_government_desc;Организация власти у орков по своим принципам похожа на феодальную систему, с вождями, которые правят из крепостей и поддерживаются своими вассалами. Тем не менее, существует большое влияние Кодекса Малаката, которое выделяет данную систему среди других. Только мужчины могут наследовать титулы, также они могут иметь несколько жен. Они правят пожизненно , передавая бразды правления самому старшему, или самому сильному сыну, но зачастую эта власть оспаривается потомками, родственниками или вассалами, которые могут убить их в личном поединке за титулы и земли. Законы страны определяются исключительно правителем, а не путём голосования, но могут быть изменены только в том случае, если правитель престижный и уважаемый.Поскольку лидеры орков следуют только Кодексу Малакта, своим личным прихотям, и правилам,  установленным их правителями, они игнорируют законы, принятые чужеземными правителями, даже если один из них является сюзереном для орков.;;;;;;;;;;;;;x
roman_imperial_government;Имперская;;;;;;;;;;;;;x
roman_imperial_government_desc;Империя управляется более бюрократической формой феодализма отличной от чистого феодализма. Хотя отношения между Рубиновым Троном и его поданными всё ещё критически важны, гораздо больше власти уходит на обеспечение эффективной работы аппарата управления Империи. В результате этого, однако, сама бюрократия может ограничивать любые амбиции Императоров;;;;;;;;;;;;;x
gov_colovian_confederacy;Конфедерация Коловианских Земель;;;;;;;;;;;;;x
gov_confederacy;[PrimaryTitle.GetAdjective] Конфедерация;;;;;;;;;;;;;x
gov_imperial_commune;Имперская Коммуна;;;;;;;;;;;;x;
gov_imperial_commune_reformed;Имперская Республика;;;;;;;;;;;;;x
gov_cyrodilic_empire;Сиродильская Империя;;;;;;;;;;;;;x
gov_tamrielic_empire;Империя Тамриэль;;;;;;;;;;;;;x
gov_hereditary_absolute_autocracy_orsimer;Наследственная Абсолютная Имперская Автократия;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_orsimer;Наследственный Абсолютизм [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_orsimer;Наследственная Аристократическая Имперская Автократия;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_orsimer;Наследственная Аристократия [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_orsimer;Наследственная Деспотическая Имперская Автократия;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_orsimer;Наследственная Деспотия [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_absolute_autocracy_tsaesci;Выборная Абсолютная Имперская Автократия;;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_tsaesci;Выборный Абсолютизм [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_tsaesci;Выборная Аристократия [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_aristocratic_autocracy_tsaesci;Выборная Аристократическая Имперская Автократия;;;;;;;;;;;;;x
gov_electorial_despotic_autocracy_tsaesci;Выборная Деспотическая Имперская Автократия;;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_tsaesci;Выборная Деспотия [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_absolute_autocracy_tsaesci;Наследственная Абсолютная Имперская Автократия;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_tsaesci;Наследственный Абсолютизм [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_tsaesci;Наследственная Аристократическая Имперская Автократия;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_tsaesci;Наследственная Аристократия [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_tsaesci;Наследственная Деспотическая Имперская Автократия;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_tsaesci;Наследственная Деспотия [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_khajiit_mane;Теократия Риддл'Тара [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_elven_ceremoniarchy;Эльфийская Церемониархия;;;;;;;;;;;;;x
gov_maormer_divine_autocracy;Божественное Самодержавие;;;;;;;;;;;;;x
gov_hagraven_coven;Ковен Ворожей;;;;;;;;;;;;;x
gov_briarheart_clan;Клан Вересковых сердец;;;;;;;;;;;;;x
gov_dunmeri_house;Данмерский Дом;;;;;;;;;;;;;x
gov_chimeri_house;Кимерский Дом;;;;;;;;;;;;;x
gov_dunmeri_great_house;Данмерский Великий Дом;;;;;;;;;;;;;x
gov_chimeri_great_house;Кимерский Великий Дом;;;;;;;;;;;;;x
gov_undead_horde;Орда нежити;;;;;;;;;;;;;x
law_vassalage;Вассалитет;;;;;;;;;;;;;x
law_vassalage_desc;Законы вассалитета определяют характер взаимоотношений между сюзереном и его вассалами.;;;;;;;;;;;;;x
vassalage_law_1;Конфед;;;;;;;;;;;;;x
vassalage_law_1_desc;Конфедеративный вассалитет представляет собой такие же отношения между сюзереном и вассалом, как и в Коловианских землях. Власть должна быть ограничена выборным наследованием, и вассалы не поставляют рекрутов, но вместо этого могут быть призваны к оружию.;;;;;;;;;;;;;x
vassalage_law_0;Феодальн;;;;;;;;;;;;;x
vassalage_law_0_desc;Феодализм затрагивает отношения между вассалами и сюзереном. Вассалы должны обеспечивать своего сюзерена солдатами, независимо от отношения к нему, и приходить на помощь в войнах. Закон наследования не ограничивается выборным наследованием.;;;;;;;;;;;;;x
#custgovts.desc.101;В последнее время вы думали о своем праве на власть. Ваш отец  хоть и смог удержать власть над государством, но не он не тот правитель, каким вы бы могли стать. Будучи последователем Малаката, вы имеете право оспорить отцовскую власть.;;;;;;;;;;;;;x
#custgovts.a.101;Его трон будет моим!;;;;;;;;;;;;;x
#custgovts.b.101;Возможно, время ещё не пришло...;;;;;;;;;;;;;x
#custgovts.desc.102;Ваш сын [From.GetTitledFirstName] имел наглость бросить вызов вашему правлению. Он пришел вооруженным вместе со своими сторонниками, и вы уверены, в том, что существует очень мало шансов мирного разрешения ситуации.;;;;;;;;;;;;;x
#custgovts.a.102;Я убью этого паршивца в личной схватке!;;;;;;;;;;;;;x
#custgovts.b.102;Время моего правления подошло к концу.;;;;;;;;;;;;;x
#custgovts.desc.103;Ваш отец решил отдать трон без боя. Отныне его имя опозорено, и вы теперь единственный правитель этой земли.;;;;;;;;;;;;;x
#custgovts.a.103;Это хорошо, что я теперь [Root.GetTitle].;;;;;;;;;;;;;x
#custgovts.desc.104;Отец принял ваш вызов и подготовка к дуэли началась.;;;;;;;;;;;;;x
#custgovts.a.104;За Малаката!;;;;;;;;;;;;;x
#custgovts.desc.challenger.108;После долгой битвы, ваш отец наконец-то упал на колени. Толпа замолкла перед тем, как вы нанесли последний удар.;;;;;;;;;;;;;x
#custgovts.desc.opponent.108;Вы быстро обрели преимущество в поединке и плавно пробивали защиту своего сына, до тех пор, пока он беспомощно не упал у ваших ног. Его последователи замолкли, когда вы нанесли смертельный удар.;;;;;;;;;;;;;x
#custgovts.a.108;Только сильный может править!;;;;;;;;;;;;;x
