court_teacher;Придворный учитель;;;;;;;;;;;;;x
idun_askfriend_10d;[From.GetFirstName] думает, что мы должны спустится на рыночную площадь и поиграть в 'Уклонись от повозки'.;;;;;;;;;;;;x
idun_askfriend_11d;[From.GetFirstName] нечего предложить.;;;;;;;;;;;;x
idun_askfriend_11o;Прекрасный друг!;;;;;;;;;;;;x
idun_askfriend_1d;Я не могу решить, что делать! Я попрошу совета у друга!;;;;;;;;;;;;x
idun_askfriend_1o;Что мне делать?;;;;;;;;;;;;x
idun_askfriend_2d;[From.GetFirstName] спросил меня, чем бы [From.GetSheHe] мог заняться. Я отвечу [From.GetHerHim].:;;;;;;;;;;;;x
idun_askfriend_2o1;Читайте книгу!;;;;;;;;;;;;x
idun_askfriend_2o2;Сходите на охоту!;;;;;;;;;;;;x
idun_askfriend_2o3;Идите поспите!;;;;;;;;;;;;x
idun_askfriend_2o4;Выполните работу по дому!;;;;;;;;;;;;x
idun_askfriend_2o5;Займитесь внебрачными половыми связями!;;;;;;;;;;;;x
idun_askfriend_2o6;Сыграйте в "Поймай топор"!;;;;;;;;;;;;x
idun_askfriend_2o7;Откуда мне знать?!;;;;;;;;;;;;x
idun_askfriend_2o9;Подшутите над кем-нибудь!;;;;;;;;;;;;x
idun_askfriend_2o8;Идите на рынок и уворачивайтесь от телег!;;;;;;;;;;;;x
idun_askfriend_3d;[From.GetFirstName] считает, что мне следует отправится в библиотеку и почитать книгу.;;;;;;;;;;;;x
idun_askfriend_4d;[From.GetFirstName] считает, что мне следует отправится на охоту, дабы развеять мою скуку.;;;;;;;;;;;;x
idun_askfriend_5d;[From.GetFirstName] считает, что мне нужно просто поспать.;;;;;;;;;;;;x
idun_askfriend_6d;[From.GetFirstName] считает, что мне нужно заняться работой по дому.;;;;;;;;;;;;x
idun_askfriend_7d;[From.GetFirstName] считает, что мне нужно кого-нибудь соблазнить.;;;;;;;;;;;;x
idun_askfriend_8d;[From.GetFirstName] считает, что мы должны сыграть в игру 'Поймай топор'.;;;;;;;;;;;;x
idun_askfriend_9d;[From.GetFirstName] считает, что мы должны разыграть кого-нибудь.;;;;;;;;;;;;x
idun_askfriend_allo1;Хорошо, я сделаю это.;;;;;;;;;;;;x
idun_askfriend_allo2;Нет, это так скучно.;;;;;;;;;;;;x
idun_books_1d;Я осматриваюсь в дворцовой библиотеке. Как здесь много книг! Я читал некоторые, но никогда не смогу прочитать их все. Какую из них я выбираю в этот раз?;;;;;;;;;;;;x
idun_books_1o1;Необычный вкус.;;;;;;;;;;;;x
idun_books_1o2;Игра торговли.;;;;;;;;;;;;x
idun_books_1o3;Пособие для начинающего землевладельца.;;;;;;;;;;;;x
idun_books_2o1;Инцидент в Некроме.;;;;;;;;;;;;x
idun_books_2o2;Подлинная Барензия.;;;;;;;;;;;;x
idun_books_2o3;Принц Нищих.;;;;;;;;;;;;x
idun_books_3o1;Путеводитель по Нью-Шеоту.;;;;;;;;;;;;x
idun_books_3o2;Похотливая аргонианская дева.;;;;;;;;;;;;x
idun_books_3o3;Расовые Мотивы.;;;;;;;;;;;;x
idun_books_4o1;Похититель целомудрия.;;;;;;;;;;;;x
idun_books_4o2;Благословения Шеогората.;;;;;;;;;;;;x
idun_books_4o3;Ужасы замка Зир.;;;;;;;;;;;;x
idun_books_alld;Рядом, на соседней полке тоже много книг! Какую мне следует выбрать?;;;;;;;;;;;;x
idun_books_give_up;Покинуть это место.;;;;;;;;;;;;x
idun_books_next_shelf;Следующая полка.;;;;;;;;;;;;x
idun_chess_1d;Сегодня я хочу поиграть в шахматы. Кого мне попросить сыграть со мной?;;;;;;;;;;;;x
idun_chess_1o1;Друга.;;;;;;;;;;;;x
idun_chess_1o2;Кого-нибудь из членов моей семьи.;;;;;;;;;;;;x
idun_chess_1o3;Одного из моих родителей.;;;;;;;;;;;;x
idun_chess_1o4;Моего опекуна.;;;;;;;;;;;;x
idun_chess_2d;[From.GetFirstName] хочет сыграть со мной в шахматы.;;;;;;;;;;;;x
idun_chess_2o1;Конечно, давайте поиграем.;;;;;;;;;;;;x
idun_chess_2o2;Нет, спасибо.;;;;;;;;;;;;x
idun_chess_3d1;Вы играете в шахматы с [FromFrom.GetBestName] и выигрываете! Вы чувствуете себя великолепно.;;;;;;;;;;;;x
idun_chess_3d2;Вы играете в шахматы с [From.GetBestName] и выигрываете! Вы чувствуете себя отлично.;;;;;;;;;;;;x
idun_chess_3o;Ура!;;;;;;;;;;;;x
idun_chess_4d1;Вы играете в шахматы с [FromFrom.GetBestName] и проигрываете! Вы решили, что в следующий раз сыграете во что-нибудь другое.;;;;;;;;;;;;x
idun_chess_4d2;Вы играете в шахматы с [From.GetBestName] и проигрываете! Вы решили, что в следующий раз сыграете во что-нибудь другое.;;;;;;;;;;;;x
idun_chess_4o;Угу.;;;;;;;;;;;;x
idun_chess_5d;[From.GetBestName] не хочет играть в шахматы со мной. Я найду, чем ещё заняться. Я буду...;;;;;;;;;;;;x
idun_chess_5o1;Читать книгу.;;;;;;;;;;;;x
idun_chess_5o2;Кататься на лошади.;;;;;;;;;;;;x
idun_chess_5o3;Исследовать замок.;;;;;;;;;;;;x
idun_chess_5o4;Посетить кухню.;;;;;;;;;;;;x
idun_chess_5o5;Заняться вышиванием.;;;;;;;;;;;;x
idun_chess_5o6;Спросить у своего друга. Возможно, у него есть идеи.;;;;;;;;;;;;x
idun_event_tooltip;У персонажа появляется событие.;;;;;;;;;;;;x
idun_fish_1d;Сегодня прекрасный солнечный день, не слишком теплый, но и не слишком ветреный. Из своего окна я могу видеть воды близлежащего озера, отражающие солнечный свет. Рыбные водоёмы, являющиеся частью моего домена, словно взывают ко мне!;;;;;;;;;;;;x
idun_fish_1o1;Я пойду на рыбалку!;;;;;;;;;;;;x
idun_fish_1o2;Я мог бы взять с собой друга!;;;;;;;;;;;;x
idun_fish_1o3;Лучше я займусь сегодня чем-нибудь другим.;;;;;;;;;;;;x
idun_fish_1o4;Я останусь тут.;;;;;;;;;;;;x
idun_fish_2d;Я иду рыбачить в своих владениях. После того, как я подготовил свои рыболовные снасти, и закинул удочку, я сел ждать, когда клюнет рыба. Какой же это прекрасный день! И я удивляюсь, почему рядом с водоёмами нет других людей.;;;;;;;;;;;;x
idun_fish_2o;Надеюсь, что я поймаю что-нибудь!;;;;;;;;;;;;x
idun_fish_4d;Мой друг [From.GetFirstName] просит меня поехать на рыбалку с [From.GetHimHer].;;;;;;;;;;;;x
idun_fish_4o1;Конечно я приду;;;;;;;;;;;;x
idun_fish_4o2;Я не хочу...;;;;;;;;;;;;x
idun_fish_5d;Вот уже некоторое время я продолжаю ловить рыбу, но вдруг что-то потянуло наживку! Я упорно стараюсь, чтобы достать это из воды. Какая же это огромная рыбина!;;;;;;;;;;;;x
idun_fish_5o;Люблю рыбалку!;;;;;;;;;;;;x
idun_fish_6d;Вот уже некоторое время я продолжаю ловить рыбу, иногда что-то тянет наживку, но не очень сильно. У меня нет никаких проблем с ловлей мелкой форели. В следующий раз поймаю что-нибудь покрупнее!;;;;;;;;;;;;x
idun_fish_6o;Такая мелкая рыбёшка.;;;;;;;;;;;;x
idun_fish_7d;Я сижу весь день у водоёма, слушаю как жужжат стрекозы, смотрю как мухи танцуют над поверхностью воды, однажды я на какое-то время увидел рыб в воде. Но... они не ловятся.;;;;;;;;;;;;x
idun_fish_7o;Я думаю, они не голодны.;;;;;;;;;;;;x
idun_fish_8d;Вдруг я слышу рычание позади себя, и когда я оборачиваюсь то замечаю, как огромный серый волк смотрит на меня. Я хватаюсь за ветки и быстро залезаю на дерево, а затем кричу, чтобы кто-нибудь пришёл спасти меня.;;;;;;;;;;;;x
idun_fish_8o;Рыбаки спасли меня.;;;;;;;;;;;;x
idun_fish_9d;Сидя у воды, в ожидании когда рыба начнёт клевать, я заметил, что ко мне подошёл человек, которого я никогда раньше не видел. Он утверждает, что одинок, и говорит, что хочет поговорить со мной немного.;;;;;;;;;;;;x
idun_fish_9o1;Уходите!;;;;;;;;;;;;x
idun_fish_9o2;Конечно, почему бы и нет?;;;;;;;;;;;;x
idun_fish_10d;Мужчина (или женщина?) в мельчайших подробностях рассказывает о всех ужасных вещах, которые могут случиться ребенком, оставшимся наедине у озера. Он может утонуть, его могут съесть волки или огромный грязекраб, притаившийся на дне водоёма. К нему может прийти незнакомец, который похитит его  и сотворит с ним ужасные вещи.;;;;;;;;;;;;x
idun_fish_10o;Конечно, этого не произойдёт?!;;;;;;;;;;;;x
idun_fish_11d; - Привет, малыш. - говорит мужчина. - Похоже она не  клюёт! Хотел бы половить рыбу на палец вместо этого? Она мягкая внутри, и к сожалению, не содержит каких-либо полезных ингредиентов... Он говорил со мной в течение длительного времени.;;;;;;;;;;;x
idun_fish_11o1;Конечно, я буду ловить рыбу на палец!;;;;;;;;;;;;x
idun_fish_11o2;Я не знаю, что с этим делать.;;;;;;;;;;;;x
idun_fish_12d;Мы долго говорим о родителях. Они во многом не правы!;;;;;;;;;;;;x
idun_fish_12o;И мне это не нравится!;;;;;;;;;;;;x
