N_DAEDRA_HIRCINE1D;Когда я прогуливался по лесу, я наткнулся на Хирсина, Охотника Князей. Он предложил мне присоединиться к его охоте. ;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE1O1;Конечно, я помогу тебе!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE1O2;Я возьму с собой моего сокола!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE1O3;Безумие! Да ни зачто!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE1O4;Воууууухууууу!;;;;;;;;;;;;x;
N_DAEDRA_HIRCINE1T124;Охота началась!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE1T3;Трус!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE2D;Я направился на охоту, уже вдоволь обойдя округу вдоль и поперек в поисках добычи. Только когда я наткнулся на огромного вепря, я нашел достойного противника и приготовился к атаке. Он оборачивается на меня - я готовлю своё копье…;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE2O;Ладно;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE23T;Персонаж получает событие;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE3D;Я взял своего охотничьего сокола. Направив его в небо, я вижу, как он поднимается кругами всё выше и выше... пока резко не пикирует на землю, чтобы затем появиться с кроликом. ;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE3O;Хорошая птица!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE4D;И ты называешь себя охотником? - Спросил Хирсин. - Трус! Ты позоришь всех охотников! Однако, ты можешь послужить хорошей дичью! - Вновь прокричал он, давая мне фору.;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE4O;Бежать!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE5D;Я слышу позади себя приближение Дикой Охоты. Они до сих пор гонятся за мной, проклятые шавки! Я должен убежать и спрятаться!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE5O1;Бежать вперёд;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE5O2;Бежать налево;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE5O3;Бежать направо;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE5T123;Продолжить бежать;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE6D;Я выжил после нападения кабана, но он сумел ранить меня, хотя я и заколол его копьем. ;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE6O;Ааагх!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE7D;Я выжил после нападения кабана, но он сумел забодать меня, хотя я и заколол его копьем. ;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE7O;Ааагх!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE8D;Я выжил после нападения кабана, но он сумел убить мою лошадь, хотя я и заколол его копьем.;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE8O;Проклятье!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE9D;Я был смертельно ранен на охоте и умер.;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE9O;Проклятье!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE10D;Я прошел много миль с другими гончими. Это была славная охота - мы добыли много дичи, как животных, так и смертных.;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE10O;Ах! Ах!;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE11D;Принц-Охотник доволен моей охотой. Он дает мне подарок.;;;;;;;;;;;;;x
N_DAEDRA_HIRCINE11O;Слава Хирсину!;;;;;;;;;;;;;x
