GOD_ORGNUM;Оргнум;;;;;;;;;;;;;x
ORGNUMROYAL_CHARTER;Королевская Грамота;;;;;;;;;;;;;x
maormer_religion;Пиандонеик;;;;;;;;;;;;;x
pyandoneaic;Пиандонеик;;;;;;;;;;;;;x
orphidian;Орфидия;;;;;;;;;;;;;x
aipysurian;Айпсирия;;;;;;;;;;;;;x
postorgnumic;Послеоргнумская мысль;;;;;;;;;;;;;x
d_pyandoneaic;Верховный Храм в Аббарбас;;;;;;;;;;;;;x
d_orphidian;Видящие Катона Уйдир;;;;;;;;;;;;;x
d_aipysurian;Видящие Бондара;;;;;;;;;;;;;x
orphidian_school;Орфидия;;;;;;;;;;;;;x
orphidian_school_desc;Это особенные практики Орфидии, учения Пиандонеика, Змеиного Искусства, философии и права.;;;;;;;;;;;;;x
aipysurian_school;Айпсирия;;;;;;;;;;;;;x
aipysurian_school_desc;Это особенные практики Айпсирии, учения Пиандонеика, Змеиного Искусства, философии и права.;;;;;;;;;;;;;x
viperidaen_school;Виперидайн;;;;;;;;;;;;;x
viperidaen_school_desc;Это особенные практики Виперидайна, учения Пиандонеика, Змеиного Искусства, философии и права.;;;;;;;;;;;;;x
dinilysian_school;Динилисиан;;;;;;;;;;;;;x
dinilysian_school_desc;Это особенные практики Динилисиана, учения Пиандонеика, Змеиного Искусства, философии и права.;;;;;;;;;;;;;x
aniliidaen_school;Анилиидайн;;;;;;;;;;;;;x
aniliidaen_school_desc;Это особенные практики Анилиидайна, учения Пиандонеика, Змеиного Искусства, философии и права.;;;;;;;;;;;;;x
orgnumisdead.1;Оргнум скончался.;;;;;;;;;;;;;x
ORGNUMDEAD1;Скончался великий король Оргнум, Живой Бог, Основатель и Направляющая Десница всего маормерского народа с самого начала времён.;;;;;;;;;;;;;x
orgnumisdeadoption;Нирн никогда не будет прежним.;;;;;;;;;;;;;x
snakemagic.1;Я стал мастером Змеиного Искусства.;;;;;;;;;;;;;x
snakemagic.2;Мне не удалось освоить Змеиное Искусство.;;;;;;;;;;;;;x
learn_snake_magic;Изучать Змеиное Искусство;;;;;;;;;;;;;x
learn_snake_magic_desc;Выбрать одно из учений Пиандонеика о Змеином Искусстве, философии, магии и праве.;;;;;;;;;;;;;x
ct_orgnum_tomb_0;Могила Оргнума;;;;;;;;;;;;;x
ca_orgnum_tomb_0;Могила Оргнума;;;;;;;;;;;;;x
tp_orgnum_tomb_0;Могила Оргнума;;;;;;;;;;;;;x
tb_orgnum_tomb_0;Могила Оргнума;;;;;;;;;;;;;x
ct_orgnum_tomb_1;Мавзолей Оргнума;;;;;;;;;;;;;x
ca_orgnum_tomb_1;Мавзолей Оргнума;;;;;;;;;;;;;x
tp_orgnum_tomb_1;Мавзолей Оргнума;;;;;;;;;;;;;x
tb_orgnum_tomb_1;Мавзолей Оргнума;;;;;;;;;;;;;x
orgnum_tomb_0_desc;Эта скромная гробница является местом упокоения Оргнума, бога-короля маормеров, правившего на протяжении тысячелетий.;;;;;;;;;;;;;x
orgnum_tomb_1_desc;Жрецы посещают этот великий мавзолей, в котором хранятся останки Бога Оргнума. Его последователи стекаются к этому месту, некоторые поклоняются своему падшему богу, другие почитают уважаемого святого и весомую фигуру в истории маормеров.;;;;;;;;;;;;;x
control_holy_sites.3;Вы должны контролировать §Y3§! святых места.;;;;;;;;;;;;;x
move_orgnum_tomb;Переместить могилу Оргнума;;;;;;;;;;;;;x
move_orgnum_tomb_desc;Место упокоения Оргнума в [Root.global_target_orgnum_tomb_holding.GetName] не является одним из традиционных святых мест его последователей. Переместив его тело в [Root.GetName], мы сможем гарантировать, что он будет лучше всего защищен верующими здесь.;;;;;;;;;;;;;x
