### Custom tooltips
SLAVES_ORIGIN_YOUR_REALM_CT;Пришедшие рабы из взятой провинции теперь в вашем царстве.;;;;;;;;;;;;;x
FREE_SLAVES_WITHIN_REALM_CT;Рабы возвращаются в свою родную провинцию.;;;;;;;;;;;;;x
FREE_SLAVES_NOT_WITHIN_REALM_CT;Рабы будут освобождены и вольны уйти.;;;;;;;;;;;;;x
SLAVES_JOIN_BACK_HOME_PROVINCE_CT;Рабов освободят и сопроводят обратно в их родную провинцию.;;;;;;;;;;;;;x
SLAVES_LIBERATED_CULTURE_OPINION_BOOST_CT;Любой придворный или вассал, разделяющий мою культуру, получит модификатор §YОсвободил мой народ§!, который улучшает мнение о вас на (§G+5§!).;;;;;;;;;;;;;x
PROGRESS_TOWARDS_SLAVER_TRAIT_CT;Когда мы поработим §Y15 провинций§!, мы станем известны как §YРаботорговец§!.;;;;;;;;;;;;;x
PROGRESS_TOWARDS_SLAVER_BLOODLINE_CT;Когда мы поработим §Y100 провинций§!, наши подвиги будут известны во всем мире и найдут отклик у поколений...;;;;;;;;;;;;;x
PROGRESS_TOWARDS_LIBERATOR_TRAIT_CT;Когда мы освободим §Y15 провинций§!, мы будет известны как §YОсвободитель§!, если только мы не §YЛегализуем рабство§!, §YПоработим рабов§! или станем §YИзвестным работорговцем§!.;;;;;;;;;;;;;x
PROGRESS_TOWARDS_LIBERATOR_BLOODLINE_CT;Когда мы освободим §Y100 провинций§!, наши подвиги будут известны всему миру и найдут отклик у многих поколений...;;;;;;;;;;;;;x
SAME_CULTURE_EXSLAVES_PROVINCE_CT;Поскольку бывшие рабы и провинция, в которой они поселятся, разделяют одну и ту же культуру, местные жители не будут протестовать.;;;;;;;;;;;;;x
PROVINCE_SMALL_PROSPERITY_BOOST_CT;Провинция получит небольшой толчок к процветанию;;;;;;;;;;;;;x
SLAVES_CAN_BE_ESCORTED_CT;Этот вариант доступен, потому что рабы приходят из вашего царства, или вы известный Освободитель.;;;;;;;;;;;;;x
WONT_ASK_AGAIN_1_YEAR_CT;Вы не сможете освободить рабов в течении §Yгода§!.;;;;;;;;;;;;;x
### Province modifiers
province_enslaved;[Root.slaves_culture.GetName] Население порабощено;;;;;;;;;;;;;x
province_enslaved_desc;Большая часть населения [Root.slaves_culture.GetName] культуры в этой провинции было недавно порабощено. Местные поселения еще не оправились от депопуляции, а некоторые деревни и хутора полностью заброшены.;;;;;;;;;;;;;x
province_has_slaves;[Root.slaves_culture.GetName] Рабы;;;;;;;;;;;;;x
province_has_slaves_desc;[Root.slaves_culture.GetName] поселения из [Root.slaves_come_from_province.GetName] были разграблены, а часть их населения порабощена. Они являются источником бесплатной рабочей силы, но, как правило, довольно громко заявляют о своем плохом состоянии жизни.;;;;;;;;;;;;;x
province_has_exslaves;Бывшие рабы;;;;;;;;;;;;;x
province_has_exslaves_desc;Hабам из соседней фракции было разрешено поселиться здесь после освобождения. Их внезапное прибытие вызывает некоторую напряженность в отношениях с местными жителями, но они должны быстро интегрироваться.;;;;;;;;;;;;;x
### Character modifiers
liberated_provinces_count;Освобожденные провинции;;;;;;;;;;;;;x
liberated_provinces_count_desc;[Root.GetFirstName] путешествует по миру, освобождая рабов от угнетения.\n[Root.GetSheHeCap] в настоящее время освободил [Root.enslaved_provinces_liberated.GetValue] провинций.;;;;;;;;;;;;;x
enslaved_provinces_count;Порабощенные провинции;;;;;;;;;;;;;x
enslaved_provinces_count_desc;[Root.GetFirstName] участвует в работорговле, совершает набеги на провинции и забирает их население в качестве рабочей силы.\n[Root.GetSheHeCap] в настоящее время поработил [Root.numeroussecretslaveraidsonargonia.GetValue] провинций.;;;;;;;;;;;;;x
pirates_employed;Нанятые пираты;;;;;;;;;;;;;x
pirates_employed_desc;Пираты недавно пытались совершить набег на [Root.GetName], но они были быстро перехвачены местным флотом. Столкнувшись с выбором между работой в доках провинции или смертью, многие выбрали работу.;;;;;;;;;;;;;x
### Events
EKRebel1;Ужасные вести! В [Root.GetName] вспыхнуло восстание рабов! Рабы плохо вооружены, но объединены под руководством харизматичного лидера. Они стремятся создать государство, гарантирующее свободу всем своим подданым. ;;;;;;;;;;;;;x
