trade_route_province_desc;Это важная остановка на данном торговом пути;;;;;;;;;;;;;x
thir_river_trade_route;Путь реки Тир;;;;;;;;;;;;;x
iliac_bay_trade_route;Путь залива Илиак;;;;;;;;;;;;;x
dragontail_trade_route;Путь Драгонтейлских гор;;;;;;;;;;;;;x
northpoint_trade_route;Путь Залива Нортпойнт;;;;;;;;;;;;;x
yokuda_trade_route;Йокуданская торговля;;;;;;;;;;;;;x
southpoint_trade_route;Эльфийский морской путь;;;;;;;;;;;;;x
thorn_trade_route;Путь Торнмарш;;;;;;;;;;;;;x
orcrest_trade_route;Путь Анеквинской пустыни;;;;;;;;;;;;;x
alinor_trade_route;Саммерсетский торговый путь;;;;;;;;;;;;;x
silk_road;Торговый Путь;;;;;;;;;;;;;x
niben_river_route;Путь реки Нибен;;;;;;;;;;;;;x
niben_river_route_desc;Этот древний торговый путь, открытый Топалом "Мореходом", начинается в районе береговой линии Имперского города и проходит по всему южному побережью Тамриэля. Имперцы, босмеры, аргониане и каджитские торговцы торгуют сырьем в обмен на драгоценности, которые столь ценятся в Имперском городе.;;;;;;;;;;;;;x
anvil_port_route;Путь Золотого берега;;;;;;;;;;;;;x
whiterun_trade_route;Тундровый путь;;;;;;;;;;;;;x
red_ring_road;Красная Кольцевая Дорога;;;;;;;;;;;;;x
red_ring_road_desc;Красная Кольцевая Дорога является основным торговым маршрутом, окружающим озеро Румаре и Верхний Нибен. Товары со всего Тамриэля перевозятся по этому пути к Имперскому Острову, а сам  район славится своей сельскохозяйственной продукцией, которая хоть и не относится к предметам экстравагантной роскоши, но является жизненно важной для Тамриэльской цивилизации.;;;;;;;;;;;;;x
imperial_isle_trade;Дорога Имперского Острова;;;;;;;;;;;;;x
imperial_isle_trade_desc;Имперский Остров сам по себе является настоящей страной. Будучи одним из крупнейших населенных пунктов в мире и занимая стратегическое положение в центре Тамриэля, Имперский Остров служил столицей сменявших друг друга империй, от айлейдов и до сегодняшнего дня. Даже во времена беспорядков или разобщенности Имперский Остров рассматривался в качестве фактической столицы континента, завоеватели облизывались при одной лишь мысли взять себе богатейший Имперский Город.;;;;;;;;;;;;;x
imperial_road;Имперские Дороги;;;;;;;;;;;;;x
tr_imperial_road_1;Имперская Придорожная Гостиница;;;;;;;;;;;;;x
tr_imperial_road_1_desc;Большой трактир расположен вдоль Имперской Дороги, состоящей из взаимосвязанных магистралей, формирующих растущие торговые сети Сиродиила. Купцы и путешественники останавливаются в этой гостинице, чтобы обсудить свой бизнес и отведать местного пива.;;;;;;;;;;;;;x
tr_imperial_road_2;Имперский Торговый Пост;;;;;;;;;;;;;x
tr_imperial_road_2_desc;Гостиница, которая раньше располагалась вдоль Имперской Дороги, с тех пор превратилась в полноценный торговый пост. Купцы приезжают по дорогам из близлежащих районов, чтобы продавать свои товары здесь.;;;;;;;;;;;;;x
tr_imperial_road_3;Торговый Город Имперской Дороги;;;;;;;;;;;;;x
tr_imperial_road_3_desc;Когда-то здесь была простая гостиница, но теперь на этом месте стоит расцветающий торговый город, расположенный рядом с путями имперских дорог, и являющийся центром торговли и коммерции.;;;;;;;;;;;;;x
TR_IMPERIAL_ROAD_1_OTHER_PROVINCES_CONDITION;На расстоянии §Y100§! не должно быть ни одного §YТоргового Поста§!, §YГостиницы §! или §YТоргового Города§!.;;;;;;;;;;;;;x
TR_IMPERIAL_ROAD_2_OTHER_PROVINCES_CONDITION;На расстоянии §Y200§! не должно быть ни одного §YТоргового Поста§! или §YТоргового Города§!.;;;;;;;;;;;;;x
TR_IMPERIAL_ROAD_3_OTHER_PROVINCES_CONDITION;На расстоянии §Y500§! не должно быть ни одного §YТоргового Города§!.;;;;;;;;;;;;;x
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YТорговый путь§!\nЧерез этот округ проходит важный торговый путь.\n;;;;;;;;;;;;;x
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YТорговый путь§!\n§RВоенные действия блокируют часть важного торгового пути. Оккупированные или осаждённые земли, лежащие на нём, нарушают мировые торговые связи.§!\n;;;;;;;;;;;;;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nТорговый путь даёт:\n$MODIFIER$\n\nТорговые посты и торговые города, построенные в таких округах, увеличивают модификатор всех прочих. Если округ Торгового пути заблокирован (под осадой или оккупирован), прочие округа этого пути временно получат больший бонус за перенаправление маршрута.;;;;;;;;;;;;;x
