arcane_student;Студент Университета Волшебства;;;;;;;;;;;;;x
arcane_student_desc;Этот персонаж закончил обучение в Университете волшебства.;;;;;;;;;;;;;x
warrior_student;Боец в отставке;;;;;;;;;;;;;x
warrior_student_desc;Этот персонаж ушёл в отставку из Гильдии Бойцов после долгих лет службы.;;;;;;;;;;;;;x
thief_student;Тёмное прошлое;;;;;;;;;;;;;x
lucky;Удачливый;;;;;;;;;;;;;x
lucky_desc;Этот персонаж с рождения был благословлен практически сверхъестественной удачливостью. Кажется, что его дела всегда, или, по крайней мере, почти всегда идут своим путём.;;;;;;;;;;;;;x
unlucky;Неудачливый;;;;;;;;;;;;;x
unlucky_desc;Этот персонаж был проклят с рождения практически сверхъестественной неудачливостью. Кажется, что его дела практически никогда не идут так, как надо.;;;;;;;;;;;;;x
thief_student_desc;Этот персонаж вернулся из некой таинственной организации...;;;;;;;;;;;;;x
scout;Следопыт;;;;;;;;;;;;;x
scout_desc;Этот персонаж не по наслышке знает, каково это - прятаться среди сырых и грязных листьев в кустах на холодной земле.;;;;;;;;;;;;;x
bloody_commander;Кровопийца;;;;;;;;;;;;;x
bloody_commander_desc;Этот персонаж очень жесток и коварен, он уничтожит всякого, кто встанет у него на пути, не задумавшись ни о милосердии, ни о безопасности себя и своих солдат. ;;;;;;;;;;;;;x
by_the_book;Закостенелый вояка;;;;;;;;;;;;;x
by_the_book_desc;Этот персонаж следует пережиткам прошлых войн, использует проверенную тактику и испытывает трудности, когда оказывается в непредвиденной ситуации.;;;;;;;;;;;;;x
disorganised;Неорганизованный командир;;;;;;;;;;;;;x
disorganised_desc;Этот персонаж полностью неорганизован, а его солдаты плохо обучены.;;;;;;;;;;;;;x
hesitant_commander;Нерешительный командир;;;;;;;;;;;;;x
hesitant_commander_desc;Этот персонаж колеблется в командном деле и с напряжением переносит битвы. ;;;;;;;;;;;;;x
inept_general;Неуместный командир;;;;;;;;;;;;;x
inept_general_desc;Этот персонаж очень жестокий полководец, не обосновывающий своих действий.;;;;;;;;;;;;;x
meticulous_commander;Дотошный командир;;;;;;;;;;;;;x
meticulous_commander_desc;Этот персонаж крайне тщательно относится к составлению плана и разбору всех мелочей, не бросаясь вперед сломя голову.;;;;;;;;;;;;;x
uninspiring_leader;Вялый командир;;;;;;;;;;;;;x
uninspiring_leader_desc;Этот персонаж довольно скучный лидер и даже не может должным образом дать повод для мотивации своим людям.;;;;;;;;;;;;;x
absent_minded;Рассеянный;;;;;;;;;;;;;x
absent_minded_desc;Этот персонаж не так глуп, как может показаться на первый взгляд. Но зачастую он сам забывает важные поручения или свои же вещи.;;;;;;;;;;;;;x
adventurer;Авантюрист;;;;;;;;;;;;;x
adventurer_desc;Этот персонаж любит посещать заброшенные шахты и древние гробницы ради золота, славы и известности.;;;;;;;;;;;;;x
smuggler;Контрабандист;;;;;;;;;;;;;x
smuggler_desc;Этот персонаж в восторге от опасности, связанной с транспортировкой рискованной контрабанды, куда бы её не отвозили. Он также очень талантлив в этом.;;;;;;;;;;;;;x
saboteur;Диверсант;;;;;;;;;;;;;x
saboteur_desc;Этот персонаж полностью поглощен планированием и реализацией полного разрушения зданий, памятников и ценных вещей.;;;;;;;;;;;;;x
engineer;Инженер;;;;;;;;;;;;;x
engineer_desc;"Этот персонаж заинтригован(а) механикой окружающего мира, и использует математику и, так называемую, ""науку"" для улучшения своей жизни и, возможно, жизни других. Если бы двемеры всё ещё существовали в нашем мире, то этот персонаж бы чувствовал себя среди них как дома.";;;;;;;;;;;;;x
blacksmith;Кузнец;;;;;;;;;;;;;x
blacksmith_desc;Этот персонаж захватывает огненный жар кузницы, он(а) тратит свободное время, стуча по кускам лома или мелкой руды, чтобы выковать оружие, доспехи и другие предметы.;;;;;;;;;;;;;x
aggressive_leader;Агрессивный лидер: Уровень 1;;;;;;;;;;;;;x
aggressive_leader_desc;Этот персонаж не уклоняется от битвы. Не стоит ждать от него пощады в бою.;;;;;;;;;;;;;x
aggressive_leader_2;Агрессивный лидер: Уровень 2;;;;;;;;;;;;;x
aggressive_leader_2_desc;Этот персонаж не уклоняется от битвы. Не стоит ждать от него пощады в бою.;;;;;;;;;;;;;x
aggressive_leader_3;Агрессивный лидер: Уровень 3;;;;;;;;;;;;;x
aggressive_leader_3_desc;Этот персонаж не уклоняется от битвы. Не стоит ждать от него пощады в бою.;;;;;;;;;;;;;x
agile;Ловкий;;;;;;;;;;;;;x
agile_desc;Этот персонаж быстр и проворен.;;;;;;;;;;;;;x
ambitious;Амбициозный;;;;;;;;;;;;;x
