vamp_c_attack;Вы проснулись посреди ночи с очень странным ощущением.;;;;;;;;;;;;;x
EVTOPTAvamp1;Что это может быть?;;;;;;;;;;;;;x
vamp_dead;Вампир кусает вас в шею. Вы пытаетесь сопротивляться, но это не помогает. Вампир уходит, а вы остаетесь лежать истекая кровью.;;;;;;;;;;;;;x
EVTOPTAvamp2;Я знал, что нужно было нанять больше стражи...;;;;;;;;;;;;;x
vamp_c_bitten;Вы чувствуете головокружение и боль в шее. Когда вы дотрагиваетесь до нее, ощущаете две впадины от зубов.;;;;;;;;;;;;;x
EVTOPTAvamp3;Уверен, это не страшно.;;;;;;;;;;;;;x
EVTOPTBvamp3;Мне нужно обратится к целителю.;;;;;;;;;;;;;x
vamp_ran;Сквозь сон, вы замечаете кого-то у вашей кровати. Незнакомец, видя как вы проснулись, убегает прочь.;;;;;;;;;;;;;x
EVTOPTAvamp4;Стража! Мне нужно больше стражников!;;;;;;;;;;;;;x
vamp_guards;Сквозь сон, вы замечаете кого-то у вашей кровати. Незнакомец, видя как вы проснулись, убегает прочь. Вы выходите с покоев и один из стражников докладывает вам, что незнакомец пытался сбежать и был убит.;;;;;;;;;;;;;x
EVTOPTAvamp5;Кто же пытался проникнуть в мои покои?;;;;;;;;;;;;;x
vamp_c_turned1;Вы спокойно отдыхали в своих покоях, как, вдруг, заметили тонкую незнакомую фигуру. Незнакомец резко подошел к вам и впился зубами в шею. Вам казалось, что кровь наполняет [Root GetHerHim] бледное лицо жизнью. Через несколько мгновений вы обнаружили, что [Root GetHerHim] лицо стало как две капли воды похоже на ваше.;;;;;;;;;;;;;x
EVTOPTAvamp6;Вы закричали.;;;;;;;;;;;;;x
vamp_c_turned2;Проснувшись, вы понимаете, что это был всего лишь сон. С облегчением, вы встаете и подходите к окну, но, как только солнечный свет попал на вашу кожу, вы чувствуете ужасное жжение. Вы отбегаете от окна и, в ужасе спешите к зеркалу. Ваше лицо стало бледным и худым, изо рта видны кончики клыков.;;;;;;;;;;;;;x
EVTOPTAvamp7;Кем я стал? Я монстр!;;;;;;;;;;;;;x
vamp_c_visit1;Таинственный незнакомец прибыл ко двору с просьбой остановиться у вас на некоторое время.;;;;;;;;;;;;;x
EVTOPTAvamp8;Конечно, почему нет? Вы можете остаться.;;;;;;;;;;;;;x
EVTOPTBvamp8;Конечно нет! С глаз долой!;;;;;;;;;;;;;x
vamp_c_visit2;Вы и ваш новый придворный стали хорошими друзьями. Настолько, что он доверил вам свою тайну. Оказалось, что он на самом деле вампир!;;;;;;;;;;;;;x
EVTOPTAvamp9;Удивительно. Может быть вы поделитесь своим даром с близким другом?;;;;;;;;;;;;;x
EVTOPTBvamp9;Что?! Вампир?! Стража, бросьте в темницу это мерзкое существо!;;;;;;;;;;;;;x
EVTOPTCvamp9;Это сильно опечалило меня. Я не могу позволить вам остаться. Покиньте мои владения немедленно и никогда не возвращайтесь.;;;;;;;;;;;;;x
vamp_battle;Шайка вампиров в столице по-прежнему не уничтожена, несмотря на все усилия ваших гвардейцев.;;;;;;;;;;;;;x
EVTOPTAvamp10;Я сам пойду охотится на вампиров!;;;;;;;;;;;;;x
EVTOPTBvamp10;Я сам пойду охотится на вампиров;;;;;;;;;;;;;x
EVTOPTCvamp10;Я уничтожу их с помощью своей магии!;;;;;;;;;;;;;x
EVTOPTDvamp10;Вампиры опасны. Пусть кто-то другой за ними гоняется.;;;;;;;;;;;;;x
vamp_c_infected_battle;После охоты на вампиров, вы чувствуете себя очень уставшим. К чему бы это?;;;;;;;;;;;;;x
EVTOPTAvamp11;Я уверен, в этом нет ничего страшного.;;;;;;;;;;;;;x
EVTOPTBvamp11;Я должен сходить к целителю.;;;;;;;;;;;;;x
vamp_c_power;Как вампир, вы становитесь сильнее с возрастом. Также вы улучшаете свои магические способности.;;;;;;;;;;;;;x
EVTOPTAvamp12;Отлично.;;;;;;;;;;;;;x
vamp_suspicious_guards;Стражники в последнее время обнаруживают большое количество странных убийств. Возможно, мне следует быть более осторожным с питанием?;;;;;;;;;;;;;x
EVTOPTAvamp13;Наказать кого-нибудь за эти убийства.;;;;;;;;;;;;;x
EVTOPTBvamp13;Открыто признать себя вампиром.;;;;;;;;;;;;;x
EVTOPTCvamp13;Надеюсь, меня не обнаружат.;;;;;;;;;;;;;x
vamp_caught_guards;Расследуя убийства, стражники обнаружили вас на улице. Кровь на ваших руках ещё свежая!;;;;;;;;;;;;;x
EVTOPTAvamp14;Я буду сражаться с ними!;;;;;;;;;;;;;x
EVTOPTBvamp14;Я буду сражаться с ними!;;;;;;;;;;;;;x
EVTOPTCvamp14;Я уничтожу их с помощью магии!;;;;;;;;;;;;;x
EVTOPTDvamp14;Сложить оружие! Приказываю, как ваш правитель!;;;;;;;;;;;;;x
EVTOPTEvamp14;Ну вот, меня запрут в темнице...;;;;;;;;;;;;;x
EVTOPTFvamp14;Возможно, мне стоит попытаться убежать...;;;;;;;;;;;;;x
vamp_found_feeding;Вы крадетесь за нищим в переулке, но он вовремя замечает вас и пускается бежать. Кажется, он увидел ваше лицо.;;;;;;;;;;;;;x
EVTOPTAvamp15;Отпустить его.;;;;;;;;;;;;;x
EVTOPTBvamp15;Догнать его.;;;;;;;;;;;;;x
EVTOPTCvamp15;Убить его с помощью магии.;;;;;;;;;;;;;x
vampire_c_age;При дворе шепчутся о вашем возрасте и отсутствии следов старения. Один из придворных утверждает, что видел вас двадцать пять лет назад, но вы с тех пор ничуть не изменились!;;;;;;;;;;;;;x
EVTOPTAvamp16;Признать себя вампиром.;;;;;;;;;;;;;x
EVTOPTBvamp16;Игнорировать сплетни.;;;;;;;;;;;;;x
EVTOPTCvamp16;Заявить, что магия поддерживает в вас молодость и здоровье.;;;;;;;;;;;;;x
remove_strange_vamp;Некоторые подозревают, почему вы такой "странный".;;;;;;;;;;;;;x
EVTOPTAvamp17;Как они догадались?;;;;;;;;;;;;;x
cure_disease_vamp;Вампиры, будучи бессмертными, имеют иммунитет ко всем болезням и, связанным со старостью недугам.;;;;;;;;;;;;;x
EVTOPTAvamp18;Так что болезням конец.;;;;;;;;;;;;;x
vamp_c_infect_wife;Вы становитесь старше, как и ваш(а) супруг(а), но лишь [From.GetSheHe] действительно постарел(а). Зачем жить вечно, если я не смогу быть со своей семьей?;;;;;;;;;;;;;x
EVTOPTAvamp19;Захочет ли [From.GetSheHe] стать вампиром?;;;;;;;;;;;;;x
EVTOPTBvamp19;[From.GetSheHe] присоединится ко мне и станет вампиром!;;;;;;;;;;;;;x
vamp_c_infect_child;Вы и ваш ребенок живете довольно долго, но стареет только [From.GetSheHe]. Зачем жить вечно, если я не могу быть со своей семьей?;;;;;;;;;;;;;x
EVTOPTAvamp20;Захочет ли [From.GetSheHe] стать вампиром?;;;;;;;;;;;;;x
EVTOPTBvamp20;[From.GetSheHe] станет вампиром!;;;;;;;;;;;;;x
vamp_c_infect_courtier;Вы размышляете, а не преподнести ли одному из ваших придворных тёмный дар.;;;;;;;;;;;;;x
EVTOPTAvamp21;[From.GetSheHe] может и не станет хорошим вампиром, хотя...;;;;;;;;;;;;;x
EVTOPTBvamp21;Мне нужно больше вампиров!;;;;;;;;;;;;;x
vamp_c_infect_vassal;Вы размышляете, а не преподнести ли одному из ваших вассалов тёмный дар.;;;;;;;;;;;;;x
EVTOPTAvamp22;[From.GetSheHe] может и не станет хорошим вампиром, хотя...;;;;;;;;;;;;;x
EVTOPTBvamp22;Мне нужно больше вампиров!;;;;;;;;;;;;;x
vamp_c_infect_lover;Время идет и вы думаете, о том, как будет проходить ваша вечность без любимой.;;;;;;;;;;;;;x
EVTOPTAvamp23;Но станет ли [From.GetFirstName] действительно толковым вампиром?;;;;;;;;;;;;;x
EVTOPTBvamp23;Эти мысли невыносимы! [from.GetSheHe] присоединится ко мне и станет вампиром!;;;;;;;;;;;;;x
spouse_died_vamp;Ваша супруга умерла, когда вы пытались превратить [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTAvamp24;НЕЕЕЕЕЕЕЕЕТ!!!;;;;;;;;;;;;;x
child_died_vamp;Ваш ребенок умер, когда вы пытались превратить [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTAvamp25;НЕЕЕЕЕЕЕЕЕТ!!!;;;;;;;;;;;;;x
courtier_died_vamp;Ваш придворный умер, когда вы пытались превратить [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTAvamp26;Какая трагедия!;;;;;;;;;;;;;x
vassal_died_vamp;Ваш вассал умер, когда вы пытались превратить [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTAvamp27;Какой позор.;;;;;;;;;;;;;x
lover_died_vamp;Ваша возлюбленная умерла, когда вы пытались превратить [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTAvamp28;НЕЕЕЕЕЕЕЕЕТ!!!;;;;;;;;;;;;;x
