zlocalisation;Этот файл является для меня, Корбы, местом для локализации, и его, вероятно, следует переписать до релиза, а не помещать его в основных файлы локализации. Не стесняйтесь добавлять свои собственные.;;;;;;;;;;;;;x
otherfiles;Другие файлы, в которых может понадобиться ваша помощь, torture_localisation, flea_ixa_localisations.;;;;;;;;;;;;;x
informplotter;Сообщить главному заговорщику.;;;;;;;;;;;;;x
kambition180d;Ты отправляешься в удивительное приключения, но Корба прямо сейчас без вдохновения, и поэтому не может думать об эвентах, чтобы описать их. Он так же ожидает эвенты про теотль. Хорошие новости! У вас есть Амулет Королей! Чай и печенья всем!;;;;;;;;;;;;;x
kplot2d;[From.GetBestName] (лидер заговора) сообщает заговорщику, что попытка похищения совершится в тот момент, когда цель путешествует.;;;;;;;;;;;;;x
kplot2o1;Да будет так.;;;;;;;;;;;;;x
kplot2o2;Я не думаю, что это такая уж хорошая задумка.;;;;;;;;;;;;;x
kplot3d;Текст уведомит жертву о том, что она была похищена [From.GetTitledFirstName].;;;;;;;;;;;;;x
kplot3o;О, нет!;;;;;;;;;;;;;x
EVTOPTALoR.886;Расскажи нам об этом загадочном континете Йокуда.;;;;;;;;;;;;;x
kplot2tt1;Похищение удалось.;;;;;;;;;;;;;x
EVTDESCLoR.840;Массовые драки фанатов Желтой и Синий команды гладиаторов разрослись в бунт! Городская стража пытается унять бунтовщиков. Мы можем отправить Клинков на подмогу, прежде чем бунт захлестнёт остальные районы Имперского города, но это решение может привести к серьёзным последствиям...;Les supporters des Bleus et des Verts s'affrontent dans l'Hippodrome et des йmeutes ont йclatй ! La Garde de la citй se bat pour contenir la situation, mais la Garde varиgue est aussi au garde-а-vous. Ses hommes vont hacher menu tous les vandales avant qu;Unterstьtzer der blauen und grьnen Streitwagen-Mannschaft sind im Hippodrom aufeinandergestoЯen und Ausschreitungen sind losgebrochen! Die Stadtwache kдmpft darum, die Situation unter Kontrolle zu halten, doch die Warдgerwachen halten sich bereit. Sie wьr;;ЎLos seguidores de los equipos Azul y Verde tuvieron un enfrentamiento en el Hipуdromo y los disturbios han estallado! La Guardia de la Ciudad estб luchando para controlar la situaciуn, pero la la Guardia varega tambiйn estб en estado de alerta. Ellos harнan picadillo a cualquier alterado para evitar que los disturbios se expandieran hacia otros distritos, pero eso provocarнa inumerables daсos colaterales...;;;;;;;;;x
EVTDESCLoR.841;Сотни бунтовщиков были зарублены катанами Клинков. Многие пытались бежать - все были зарублены Клинками без малейшего прояления милосердия. Улицы завалены узуродованными трупами хулиганов... и нескольких десятков зевак. Клинки - суровое оружие, которое нужно использовать с величайшей осторожностью.;Des centaines d'йmeutiers, des supporters de courses de chars, sont massacrйs sous la hache des Nordiques qui chargent dans leurs rangs. Plusieurs tentent de s'enfuir, mais les Varиgues les prennent en chasse et n'ont aucune pitiй pour ceux qu'ils attrape;Hunderte von aufrьhrerischen Streitwagen-Unterstьtzern werden niedergemetzelt, als die axtschwingenden Wikinger in die Rдnge stьrmen. Viele versuchen zu fliehen, doch die Warдger verfolgen sie und zeigen denjenigen, die sie erwischen, keine Gnade. Die Str;;Cientos de fanбticos exaltados son descuartizados con las hachas de los hombres nуrdicos. Muchos de ellos tratan de huir, pero los varegos no dudan en darles caza y no muestran ningъn atisbo de piedad. Las calles estбn llenas de cadбveres mutilados de gamberros  aficionados... y unas cuantas docenas de personas inocentes. Los varegos son una arma bruta que debe ser manejada con mucho cuidado.;;;;;;;;;x
EVTDESCLoR.842;К городской страже прибывает подкрепление из других районов Имперского Города. Вместе с этим подкреплением бунт, наконец, подавлен. В районах, из которых стража была отправлена на подавление бунта, начались пожар и мародёрство но потери среди населения относительно невелики. ;La Garde de la citй appelle en renforts des membres d'autres secteurs et ils arrivent enfin а disperser les йmeutiers. Plusieurs quartiers brыlent et ceux que la garde a йtй forcйe d'abandonner ont йtй pillйs, mais les pertes humaines sont relativement fa;Die Stadtwache holt Verstдrkung aus den anderen Distrikten hinzu und schafft es schlussendlich, die ausschreitende Menge zu zerschlagen.Viele Nachbarschaften wurden niedergebrannt und Plьnderung ist weitverbreitet in den Distrikten, die von der Wache gezw;;La Guardia de la Ciudad consigue refuerzos de otras barriadas y finalmente logra dispersar las multitudes vandбlicas. Fuego y saqueos son comunes a lo largo de aquellos distritos donde la Guardia se vio obligada a abandonar, pero la pйrdida de vidas humanas es relativamente pequeсa.;;;;;;;;;x
EVTDESCLoR.846;[From.GetFirstName], Ваша бесстыжая дочь и член ордена Клинков, кажется, влюбились друг в друга. Она просит благословить их союз.;[From.GetFirstName], votre fille effrontйe, semble кtre tombйe follement amoureuse de l'un de vos gardes du corps varиgues, et ce sentiment est rйciproque. Elle vous a demandй la permission d'йpouser cet homme. Il semble qu'il appartient а une famille de ;[From.GetFirstName], Eure unverschдmte Tochter, scheint sich bis ьber beide Ohren in einen Eurer Warдger-Leibwдchter verliebt zu haben und die Gefьhle beruhen auf Gegenseitigkeit. Sie hat Euch um Erlaubnis gebeten, diesen Mann heiraten zu dьrfen. Anschein;;[From.GetFirstName], tu insolente hija, parece haberse enamorado locamente de uno de tus guardaespaldas varegas, y el sentimiento es mutuo. Ella te ha pedido permiso para casarse con йl. Segъn parece, йl pertenece a alguna nobleza menor del helado Norte, pero difнcilmente puede decirse que es “de buen linaje”.;;;;;;;;;x
EVTOPTCLoR.846;Казнить его!;;;;;;;;;;;;;x
kplot2tt2;Похищение провалилось.;;;;;;;;;;;;;x
kplot2tt3;Похищение не удалось, и наше участие было раскрыто.;;;;;;;;;;;;;x
kplot4d;Жертва получает информацию о неудачной попытке похищения, заговорщик неизвестен.;;;;;;;;;;;;;x
kplot5d;Жертва получает информацию о неудавшейся попытке похищения, и заговорщик известен.;;;;;;;;;;;;;x
kplot6d;Вы тщательно спланировали покушение, и оно удаётся!;;;;;;;;;;;;;x
kplot7d;Попытка похищения не удалась, хотя мое участие остается нераскрытым.;;;;;;;;;;;;;x
kplot8d;Попытка похищения не удалась. К сожалению, один из разбойников, нанятых для выполнения задания, выявил мою причастность!;;;;;;;;;;;;;x
kplot8o;Это плохо;;;;;;;;;;;;;x
kplot1d;Один из заговорщиков сообщает о возможности похитить цель во время путешествия.;;;;;;;;;;;;;x
opinion_attempted_kidnap;Попытка похищения;;;;;;;;;;;;;x
