camel_breeder;Заводчик верблюдов: Хаммерфельский дромадер;;;;;;;;;;;;;x
canthavebreeder;Не может содержать заводчика.;;;;;;;;;;;;;x
cerigyn_breeder;Заводчик лошадей: Акавирский Церигюн Нойджан;;;;;;;;;;;;;x
cerigyn_breeder_desc;В этой провинции находится заводчик чистокровной акавариской породы Церигюн Нойджан, который каждые несколько лет снабжает местного правителя отменными лошадьми.;;;;;;;;;;;;;x
courser_breeder;Заводчик лошадей: Илиакский рысак;;;;;;;;;;;;;x
courser_breeder_desc;В этой провинции находится заводчик чистокровного илиакского рысака, который каждые несколько лет снабжает местного правителя отменными лошадьми.;;;;;;;;;;;;;x
destrier_breeder;Заводчик лошадей: Коловианский дестриэ;;;;;;;;;;;;;x
destrier_breeder_desc;В этой провинции находится заводчик чистокровного коловианского дестриэ, который каждые несколько лет снабжает местного правителя отменными лошадьми.;;;;;;;;;;;;;x
GetBreeder_Camel;Хаммерфельский дромадер;;;;;;;;;;;;;x
GetBreeder_Cerigyn;Церигюн Нойджан;;;;;;;;;;;;;x
GetBreeder_Courser;Илиакский рысак;;;;;;;;;;;;;x
GetBreeder_Destrier;Коловианский дестриэ;;;;;;;;;;;;;x
GetBreeder_GuarCharger;Велотийский боевой;;;;;;;;;;;;;x
GetBreeder_GuarFlanker;Чернотопский обходчик;;;;;;;;;;;;;x
GetBreeder_GuarKagouti;Кагути;;;;;;;;;;;;;x
GetBreeder_GuarSnapper;Вварденфеллский илоходец;;;;;;;;;;;;;x
GetBreeder_Hobbeye;Скакун Западного Предела;;;;;;;;;;;;;x
GetBreeder_Jennet;Альтмерский женнет;;;;;;;;;;;;;x
GetBreeder_Mijako;Цаэскский мияко;;;;;;;;;;;;;x
GetBreeder_Mountain;Скайримский тяжеловоз;;;;;;;;;;;;;x
GetBreeder_Ottaka;Оттакский бактриан;;;;;;;;;;;;;x
GetBreeder_Pahmar;Пахмар-рат;;;;;;;;;;;;;x
GetBreeder_Palfrey;Бретонский иноходец;;;;;;;;;;;;;x
GetBreeder_Rouncey;Обычный ронси;;;;;;;;;;;;;x
GetBreeder_Senche;Сенч;;;;;;;;;;;;;x
GetBreeder_Shellback;Аргонианская черепаха;;;;;;;;;;;;;x
guar_argonia_breeder;Заводчик гуаров: Чернотопский обходчик;;;;;;;;;;;;;x
guar_charger_breeder;Заводчик гуаров:Велотийский боевой;;;;;;;;;;;;;x
guar_kagouti_breeder;Заводчик гуаров: Кагути;;;;;;;;;;;;;x
guar_snapper_breeder;Заводчик гуаров: Вварденфеллский илоходец;;;;;;;;;;;;;x
hasbreederstock;Звери в наличии у заводчика;;;;;;;;;;;;;x
hasmountbreeder;В этой провинции есть стойла, выпас и всё необходимое для разведения.;;;;;;;;;;;;;x
hobbeye_breeder;Заводчик лошадей: Скакун Западного Предела;;;;;;;;;;;;;x
hobbeye_breeder_desc;В этой провинции находится заводчик чистокровного предельского скакуна, который каждые несколько лет снабжает местного правителя отменными лошадьми.;;;;;;;;;;;;;x
jennet_breeder;Заводчик лошадей: Альтмерский женнет;;;;;;;;;;;;;x
jennet_breeder_desc;В этой провинции находится заводчик чистокровного альтмерского женнета, который каждые несколько лет снабжает местного правителя отменными лошадьми.;;;;;;;;;;;;;x
maximum3mounts;В инвентаре ещё нет трёх ездовых животных;;;;;;;;;;;;;x
mijako_breeder;Заводчик лошадей: Тсаэцкий мияко;;;;;;;;;;;;;x
mijako_breeder_desc;В этой провинции находится заводчик чистокровного тсаэцкого мияко, который каждые несколько лет снабжает местного правителя отменными лошадьми.;;;;;;;;;;;;;x
mount_argonian_shellback;Аргонианская черепаха;;;;;;;;;;;;;x
mount_argonian_shellback_desc;"Место лошадей в аргонианской ""кавалерии"" занимают огромные, чудовищные черепахи. Они медлительнее иных ездовых животных, но толстые панцири и чешуйчатые шкуры делают их практически неуязвимыми для стрел, копий и другого оружия.";;;;;;;;;;;;;x
mount_camel_hammerfell;Хаммерфельский дромадер;;;;;;;;;;;;;x
mount_camel_hammerfell_desc;Одногорбый верблюд, уроженец пустынь Хаммерфелла. Этот длинноногий, покрытый мехом зверь лучше всех приспособлен к окрестностям своей родины и занял особое место в сердцах редгардов.;;;;;;;;;;;;;x
mount_camel_potun;Оттакский бактриан;;;;;;;;;;;;;x
mount_camel_potun_desc;Оттакский бактриан - порода верблюдов, акавирский эндемик. Он обитает в пустынях, вместе с тигрообразным народом По'Тун. Оттакский верблюд используется не только как вьючный и тягловый зверь, он также является эффективным ездовым животным, основой кавалерии По'Тун. Он уступает лошадям в скорости, но среди дюн и барханов родины не имеет равных.;;;;;;;;;;;;;x
mount_guar_charger;Велотийский боевой;;;;;;;;;;;;;x
mount_guar_charger_desc;"Согласно данмерским преданиям, родословная велотийского боевого восходит ко временам Пророка Велота. Изначально выведенная данмерами в качестве тяглового животного, после миграции в Морровинд и Вварденфелл, эта особая порода рептилии-гуара оказалась очень подвижной, в сравнении с другой фауной Морровинда. Она быстро заработала славу среди данмерских всадников. Сегодня велотийский боевой по-прежнему является основным скакуном данмерской ""конницы"". Не смотря на то, что он уступает в скорости новым породам, его толстая шкура и живучесть компенсируют этот недостаток, делая его незаменимым зверем в гуще сражения.";;;;;;;;;;;;;x
mount_guar_flanker;Чернотопский обходчик;;;;;;;;;;;;;x
mount_guar_flanker_desc;Гуар - вид пресмыкающихся, распространённых прежде всего в Мороввинде и Вварденфелле. Однако, отдельная, изолированная популяция гуаров сосредоточена в Чернотопье. Эти гуары, под действием агрессивной окружающей среды и многочисленных хищников Чернотопья, развивались быстрее и более гибко, чем их северные кузены. Из этого вида аргониане вывели быстрое и проворное ездовое животное, популярное среди болотных обитателей как для скачек так и для войны.;;;;;;;;;;;;;x
mount_guar_kagouti;Кагути;;;;;;;;;;;;;x
mount_guar_kagouti_desc;Кагути;;;;;;;;;;;;;x
mount_guar_snapper;Вварденфеллский илоходец;;;;;;;;;;;;;x
