#CODE;ENGLISH;x
emperor_foa_female;Ваше Величество;x #Императорское
tribal_duchy_of_mordvin;Племя;x
tribal_duchy_of_east_slavic;Племя;x
tribal_duchy_east_slavic;Племя;x
tribal_duchy_of_ilmenian;Племя;x
tribal_duchy_ilmenian;Племя;x
tribal_duchy_of_severian;Племя;x
tribal_duchy_severian;Племя;x
tribal_duchy_of_volhynian;Племя;x
tribal_duchy_volhynian;Племя;x
tribal_duchy_of_russian;Племя;x
tribal_duchy_russian;Племя;x
tribal_duchy_of_cuman;Племя;x
tribal_duchy_of_pecheneg;Племя;x
tribal_duchy_mordvin;Племя;x
tribal_duchy_cuman;Племя;x
tribal_duchy_pecheneg;Племя;x
tribal_king_east_slavic;Верховный вождь;x
tribal_king_female_east_slavic;Предводительница;x
tribal_kingdom_of_east_slavic;Племенной союз;x
tribal_kingdom_east_slavic;Племенной союз;x
tribal_kingdom_ilmenian;Племенной союз;x
tribal_kingdom_of_ilmenian;Племенной союз;x
tribal_kingdom_severian;Племенной союз;x
tribal_kingdom_of_severian;Племенной союз;x
tribal_kingdom_volhynian;Племенной союз;x
tribal_kingdom_of_volhynian;Племенной союз;x
tribal_kingdom_russian;Племенной союз;x
tribal_kingdom_of_russian;Племенной союз;x
tribal_duke_east_slavic;Вождь;x
tribal_duke_female_east_slavic;Предводительница;x
temple_count_female_sunni;Шейха;x
city_king_female_muslim;Вали-малика;x
city_duke_female_muslim;Вали-эмира;x
nomadic_count;Вождь;x
nomadic_count_female;Предводительница;x
nomadic_county_of;Удел;x
nomadic_county;Удел;x
tribal_kingdom_of_north_germanic;Конунгство;x
tribal_kingdom_north_germanic;Конунгство;x
kingdom_of_north_germanic;Конунгство;x
kingdom_north_germanic;Конунгство;x
tribal_kingdom_of_norse;Конунгство;x
tribal_kingdom_norse;Конунгство;x
kingdom_of_norse;Конунгство;x
kingdom_norse;Конунгство;x
tribal_kingdom_of_swedish;Конунгство;x
tribal_kingdom_swedish;Конунгство;x
kingdom_of_swedish;Конунгство;x
kingdom_swedish;Конунгство;x
tribal_kingdom_of_norwegian;Конунгство;x
tribal_kingdom_norwegian;Конунгство;x
kingdom_of_norwegian;Конунгство;x
kingdom_norwegian;Конунгство;x
tribal_kingdom_of_danish;Конунгство;x
tribal_kingdom_danish;Конунгство;x
kingdom_of_danish;Конунгство;x
kingdom_danish;Конунгство;x
family_palace_baron_finno_ugric;Боярин;x
family_palace_baron_east_slavic;Боярин;x
family_palace_baron_ilmenian;Боярин;x
family_palace_baron_severian;Боярин;x
family_palace_baron_volhynian;Боярин;x
family_palace_baron_russian;Боярин;x
family_palace_baron_east_african;Купец;x
family_palace_baron_west_african;Купец;x
family_palace_baron_mesoamerican;Купец;x
family_palace_baron_arabic;Купец;x
family_palace_baron_iranian;Купец;x
city_baron_foa_east_slavic;Ваше Благородие;x #Ваша Честь
city_baron_foa_ilmenian;Ваше Благородие;x #Ваша Честь
city_baron_foa_severian;Ваше Благородие;x #Ваша Честь
city_baron_foa_volhynian;Ваше Благородие;x #Ваша Честь
city_baron_foa_russian;Ваше Благородие;x #Ваша Честь
family_palace_baron_foa_east_slavic;Ваше Благородие;x #Достопочтенный гражданин
family_palace_baron_female_east_slavic;Барышня;x
family_palace_count_female_east_slavic;Барышня;x
family_palace_duke_female_east_slavic;Барышня;x
