#CODE;RUSSIAN;x
MOVEMENT_SPEED;Скорость передвижения;x
EXPERIMENTALITY;Непредсказуемость;x
CU_LIGHT_INFANTRY;Легкая пехота;x
CU_HEAVY_INFANTRY;Тяжелая пехота;x
CU_CAVALRY;Конница;x
MORALE_DEFENCE;Защита боевого духа;x
DAMAGE;Урон;x
PURSUIT;Преследование;x
RETREAT;Отступление;x
MARTIAL_INFLUENCE;Влияние военных навыков;x
FLANKING;Атака с флангов;x
CENTER;Атака по центру;x
DEFENCE;Защита;x
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;Вы не можете играть за мусульман без дополнения §YSword of Islam§!;x
NOT_ALLOWED_MUSLIM;Нельзя играть за §Yмусульман§! без дополнения §YSword of Islam§!!;x
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! не может играть за §Yмусульман§! без дополнения §YSword of Islam§!;x
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Мусульмане недоступны для игры без дополнения §YSword of Islam§!;x
MUST_SELECT_PLAYER;Выберите персонажа для игры;x
