#CODE;ENGLISH;x
EVTDESC_JD_10023_death;Во время своего путешествия [From.GetTitledFirstName], [From.GetJobTitle], котор[From.GetUyuOgo] послал[offmap_china.Governor.GetEndA] [offmap_china.Governor.GetTitledFirstName], скоропостижно сконча[From.GetLasLsya]. Эта трагедия поставила меня в неловкое положение. Боюсь представить, как [offmap_china.Governor.GetTitle] воспримет вести о том, по какой причине [offmap_china.Governor.GetHersHis] дипломатическая миссия сорвалась.;x
EVTDESC_JD_10023_prison;Во время своего путешествия [From.GetTitledFirstName], [From.GetJobTitle], котор[From.GetUyuOgo] послал[offmap_china.Governor.GetEndA] [offmap_china.Governor.GetTitledFirstName], попал[From.GetEndA] в плен! Даже не знаю, как мне теперь сообщить эту новость генералу-наместнику. Как [offmap_china.Governor.GetSheHe] воспримет вести о том, по какой причине [offmap_china.Governor.GetHersHis] дипломатическая миссия сорвалась.;x
EVTDESC_JD_10023_missing;Во время своего путешествия [From.GetTitledFirstName], [From.GetJobTitle], котор[From.GetUyuOgo] послал[offmap_china.Governor.GetEndA] [offmap_china.Governor.GetTitledFirstName] , бесследно исчез[From.GetNoneE]! Даже не знаю, как мне теперь сообщить эту новость генералу-наместнику. Как [offmap_china.Governor.GetSheHe] воспримет вести о том, по какой причине [offmap_china.Governor.GetHersHis] дипломатическая миссия сорвалась.;x
EVTOPTA_JD_10023;Это задача для писцов.;x
EVTOPTB_JD_10023;Рано или поздно [offmap_china.Governor.GetTitle] сам[offmap_china.Governor.GetEndA] об этом узнает.;x
gender_is_culturally_or_religiously_eligble_tt;§Y[Root.GetTitledFirstName]§! обладает полом, права которого культурно и религиозно защищены.\n;x
special_gender_laws_active_tt;Особые гендерные §Yзаконы§! или §Yигровые правила§! активны\n;x
no_special_gender_laws_active_tt;Особые гендерные §Yзаконы§! и §Yигровые правила§! НЕ активны\n;x
tribal_or_nomadic_government_tt;Тип правления - §Yплеменной§! или §Yкочевой§! строй\n;x
has_liege_vassal_or_neighbor_of_norse_religion_tt;§YСюзерен§!, §Yвассал§! или §Yправитель соседних земель§! исповедует §Yгерманскую§! веру.\n;x
currency_name_warrior_lodge_norse;Известность;x
warrior_lodge_norse_rank_1_female;Новобранец;x
warrior_lodge_norse_rank_2_female;Воительница;x
warrior_lodge_norse_rank_3_female;Ветеран;x
warrior_lodge_norse_rank_4_female;Героиня;x
warrior_lodge_norse_rank_1_male;Новобранец;x
warrior_lodge_norse_rank_2_male;Воин;x
warrior_lodge_norse_rank_3_male;Ветеран;x
warrior_lodge_norse_rank_4_male;Герой;x
warrior_lodge_duel;Поединки;x
warrior_lodge_duel_power_desc;Можно вызывать своих врагов на дуэль.;x
warrior_lodge_shieldmaiden;Щитоносицы;x
warrior_lodge_shieldmaiden_power_desc;Можно назначать своих сестёр и дочерей щитоносицами.;x
warrior_lodge_survivor;Выживание;x
warrior_lodge_survivor_power_desc;Вы устойчивы к боевым ранениям.;x
warrior_lodge_lifetime_of_war;Жизнь воина;x
warrior_lodge_lifetime_of_war_power_desc;Командуя войсками, вы переживаете новые события на поле боя.;x
warrior_lodge_norse_go_berserk;Берсерк;x
#warrior_lodge_norse_go_berserk_desc;As you are a member of a §YWarrior Lodge§!, you can go on a rampage through your [From.GetCapitalHolding].;x
warrior_lodge_norse_go_berserk_power_desc;Позволяет, кликнув §Gправой кнопкой мыши§! на своём портрете, получить черту §Yберсерк§!.;x
warrior_lodge_reaver;Разоритель;x
warrior_lodge_reaver_power_desc;Командуя войсками и успешно захватывая поселения, вы имеете более высокий шанс на захват пленных и кражу артефактов.;x
warrior_lodge_warrior_training;Боевые тренировки;x
warrior_lodge_warrior_training_desc;Состоя в §Yвоинской ложе§!, вы можете пройти подготовку, чтобы получить новые способности на поле боя.;x
warrior_lodge_warrior_training_power_desc;Позволяет, кликнув §Gправой кнопкой мыши§! на своём портрете, получить одну из черт характера, присущую полководцу.;x
#warrior_lodge_summon_commander;Summon Commander;x
warrior_lodge_summon_commander_desc;Состоя в §Yвоинской ложе§!, вы можете призвать §Yполководца§! к своему двору.;x
warrior_lodge_summon_commander_power_desc;В меню §YИнтриги§! вы можете призвать §Yполководца§! к своему двору.;x
warrior_lodge_inspire_warriors;Вдохновить воинов;x
warrior_lodge_inspire_warriors_desc;Если гарнизон поселения не заполнен, вы можете сделать это моментально.;x
