#CODE;RUSSIAN;x
GetWeatherAdjective_Sunny;ясн;x
GetWeatherAdjective_Rainy;дождлив;x
GetWeatherAdjective_Snowy;снежн;x
GetWeatherAdjective_Stormy;ненастн;x
GetWeatherAdjective_Windy;ветренн;x
GetWeatherAdjective_Cloudy;облачн;x
GetWeatherAdjective_Foggy;туманн;x
GetTemperature_Sweltering;знойн;x
GetTemperature_Freezing;морозн;x
GetTemperature_Cold;холодн;x
GetTemperature_Warm;тепл;x
GetHolding_Castle_1;замок;x
GetHolding_Castle_2;замок;x
GetHolding_Castle_3;замок;x #дворец
GetHolding_Temple_1;храм;x
GetHolding_Nomad_1;лагерь;x
GetHolding_Nomad_2;лагерь;x #encampment
GetHolding_Nomad_3;лагерь;x #дворец
GetHolding_Tribal_1;чертог;x #village
GetHolding_Tribal_2;чертог;x #town
GetHolding_Tribal_3;чертог;x #fortress
GetHolding_City_1;город;x
GetHolding_City_2;город;x
GetHolding_City_3;город;x #metropolis
GetHolding_Fallback_1;лагерь;x #столица
GetHouseOfWorship_Christian;церковь;x
GetHouseOfWorship_Muslim;мечеть;x
GetHouseOfWorship_Pagan;храм;x
GetHouseOfWorship_Zoroastrian;храм;x
GetHouseOfWorship_Jewish;синагога;x
GetHouseOfWorship_Hindu;храм;x
GetHouseOfWorship_Buddhist;храм;x
GetHouseOfWorship_Jain;храм;x
EVTDESC_MNM_6250_A;Я обдумал[Root.GetEndA] свою миссию по подготовке учени[assassin_protege_1.GetTsyKa] в тёмном искусстве убийства и думаю, [assassin_protege_1.GetFirstName] отлично для неё подойдёт. [assassin_protege_1.GetSheHeCap] показал[assassin_protege_1.GetEndA] себя хорошо в некоторых областях, похоже, [assassin_protege_1.GetSheHe], куда умнее, чем кажется... Это опасный путь, но, возможно, под моим крылом эт[assassin_protege_1.GetEtaEtot] [assassin_protege_1.GetAgedPerson] может преуспеть.;x
EVTDESC_MNM_6250_B;Сегодня я поймал[Root.GetEndA] карманни[assassin_protege.GetTsuKa], при попытке меня обокрасть. Стражники были суровы с эт[assassin_protege.GetOyIm] [assassin_protege.GetAgedPersonINS], но [assassin_protege.GetSheHe] держа[assassin_protege.GetLasLsya] достойно, и я вспомнил[Root.GetEndA] о своей миссии для ассасинов по подготовке ученика. Кто знает, так[assassin_protege.GetAyaOy] ли [assassin_protege.GetSheHe] ловк[assassin_protege.GetAyaIy], как кажется, но, возможно, этот инцидент может оказаться весьма полезным.;x
EVTOPTA_MNM_6250;Я поговорю с н[assassin_protege_1.GetEyIm] о [assassin_protege_1.GetHersHis] потенциале.;x
EVTOPTA_MNM_6250_TT;§Y[assassin_protege_1.GetTitledFirstName]§! станет Ваш[assassin_protege_1.GetEyIm] учени[assassin_protege_1.GetTseyKom].\n;x
EVTOPTB_MNM_6250;Думаю, [assassin_protege_2.GetTitledFirstName] справится лучше...;x
EVTOPTB_MNM_6250_TT;§Y[assassin_protege_2.GetTitledFirstName]§! станет Ваш[assassin_protege_2.GetEyIm] учени[assassin_protege_2.GetTseyKom].\n;x
EVTOPTC_MNM_6250;А вообще, [assassin_protege_3.GetTitledFirstName] - лучший выбор.;x
EVTOPTC_MNM_6250_TT;§Y[assassin_protege_3.GetTitledFirstName]§! станет Ваш[assassin_protege_3.GetEyIm] учени[assassin_protege_3.GetTseyKom].\n;x
EVTOPTD_MNM_6250;Отпустите [assassin_protege.GetHersHis]! У меня к н[assassin_protege.GetHerHim] особый разговор.;x
EVTOPTD_MNM_6250_TT;§Y[assassin_protege.GetTitledFirstName]§! станет Ваш[assassin_protege.GetEyIm] учени[assassin_protege.GetTseyKom].\n;x
EVTOPTE_MNM_6250;Уведите [assassin_protege.GetHersHis]!;x
EVTOPTE_MNM_6250_TT;Проигнорировать возможность тренировать ученика для §Yассасинов§!. Ребёнок будет арестован за свои преступления.\n;x
EVTOPTF_MNM_6250;Мне сейчас не до того.;x
EVTOPTF_MNM_6250_TT;Игнорировать возможность тренировать ученика для §Yассасинов§!.\n;x
opinion_parental_praise;Родительское благословение;x
opinion_was_shown_mercy;Проявил[___] ко мне милосердие;x #[From.GetEndA]`
EVTDESC_MNM_6252;Под моим покровительством [assassin_protege.GetTitledFirstName] приобрел[assassin_protege.GetEndA] необходимую уверенность. [assassin_protege.GetSheHeCap] внимательно изучает всё, что я даю [assassin_protege.GetHerHim] почитать и, кажется, [assassin_protege.GetSheHe] хочет больше знать о наших обычаях... Пришло время выбрать следующий шаг в [assassin_protege.GetHersHis] обучении.;x
EVTOPTA_MNM_6252;Пусть [assassin_protege.GetSheHe] сосредоточится на культурной адаптации.;x
EVTOPTA_MNM_6252_TT;§Y[assassin_protege.GetTitledFirstName]§! - хорош[assassin_protege.GetAyaIy] шпион[assassin_protege.GetEndKa], поддержать [assassin_protege.GetHersHis] в этом.\n;x
EVTOPTB_MNM_6252;Владение кинжалом - куда более ценный навык для н[assassin_protege.GetHersHis].;x
EVTOPTB_MNM_6252_TT;§Y[assassin_protege.GetTitledFirstName]§! - хороший воин, сфокусироваться на этом.\n;x
EVTOPTC_MNM_6252;[assassin_protege.GetSheHeCap] долж[assassin_protege.GetNaEn] уметь всё.;x
EVTOPTC_MNM_6252_TT;Пусть §Y[assassin_protege.GetTitledFirstName]§! осваивает все навыки.\n;x
EVTDESC_MNM_6253_A;Похоже, [assassin_protege.GetTitledFirstName] делает успехи. Программа обучения, которую я выбрал[Root.GetEndA] для н[assassin_protege.GetHersHis] приносит свои плоды. [assassin_protege.GetSheHeCap] уже подружи[assassin_protege.GetLasLsya] с некоторыми иностранными дипломатами и до глубокой ночи сидит с книгами. Думаю, пришло время испытать [assassin_protege.GetHersHis].;x
EVTDESC_MNM_6253_B;Похоже, [assassin_protege.GetTitledFirstName] делает успехи. Программа обучения, которую я выбрал[Root.GetEndA] для н[assassin_protege.GetHersHis] приносит свои плоды. Большую часть времени [assassin_protege.GetSheHe] проводит на тренировочной площадке и уже с лёгкостью побеждает любого противника своего возраста. Думаю, пришло время испытать [assassin_protege.GetHersHis].;x
EVTDESC_MNM_6253_C;Похоже, [assassin_protege.GetTitledFirstName] делает успехи. Программа обучения, которую я выбрал[Root.GetEndA] для н[assassin_protege.GetHersHis] приносит свои плоды. [assassin_protege.GetSheHeCap] уже владеет несколькими иностранными языками и неплохо себя показал[assassin_protege.GetEndA] на тренировочной площадке. Думаю, пришло время испытать [assassin_protege.GetHersHis].;x
EVTOPTA_MNM_6253;Скажу коллегам, что [assassin_protege.GetSheHe] готов[assassin_protege.GetEndA] к испытанию.;x
EVTOPTA_MNM_6253_TT;Результат будет зависеть от того, какими навыками обладает §Y[assassin_protege.GetTitledFirstName]§!.\n;x
