#CODE;RUSSIAN;x
DLC_TOOLTIP;DLC_TOOLTIP;x
DLC_TOOLTIP_DELAYED;DLC_TOOLTIP_DELAYED;x
DLC_NOT_OWNED;§RНе куплено§!;x
CLICK_TO_VIEW_DLC;§GНажмите здесь, чтобы узнать больше§!;x
dlc_type_expansion;Расширения для игры;x
dlc_type_content;Картинки интерфейса;x
dlc_type_unit;Фигурки войск;x
dlc_type_portrait;Портреты персонажей;x
dlc_type_dynasty_shield;Щиты династий;x
dlc_type_music;Музыка;x
dlc_type_other;Другой контент;x
dlc_launcher_header_owned;Куплены;x
dlc_launcher_header_unowned;Не куплены;x
dlc_launcher_view_in_store;Смотреть в магазине;x
DLC_dlc001_TOOLTIP_INSTANT;§YDynasty Coat of Arms Pack 1§!;x
DLC_dlc001_TOOLTIP_DELAYED;- 50 уникальных гербов для династий средневековой Европы;x
DLC_dlc002_TOOLTIP_INSTANT;§YMongol Face Pack§!;x
DLC_dlc002_TOOLTIP_DELAYED;- Множество уникальных видов лиц для персонажей монгольских культур \n- Семь новых фигурок для войск;x
DLC_dlc003_TOOLTIP_INSTANT;§YSongs of Albion§!;x
DLC_dlc003_TOOLTIP_DELAYED;- Четыре звуковых дорожки для персонажей королевства Англия;x
DLC_dlc004_TOOLTIP_INSTANT;§YSongs of Faith§!;x
DLC_dlc004_TOOLTIP_DELAYED;- Две звуковых дорожки для религиозных персонажей;x
DLC_dlc005_TOOLTIP_INSTANT;§YRuler Designer§!;x
DLC_dlc005_TOOLTIP_DELAYED;- Смена своего портрета \n- Переименование своей династии и смена её герба \n- Добавление черт характера и характеристик \n- Добавление супругов и детей \n- Редактируйте исторического персонажа на свой вкус;x
DLC_dlc006_TOOLTIP_INSTANT;§YSongs of the Holy Land§!;x
DLC_dlc006_TOOLTIP_DELAYED;- Две звуковые дорожки для Ближнего Востока;x
DLC_dlc007_TOOLTIP_INSTANT;§YThe Sword of Islam§!;x
DLC_dlc007_TOOLTIP_DELAYED;- Делает ислам доступным для игры \n- Система упадка династии \n- Многожёнство \n- Мусульманские поводы для войны \n\nКроме того: \n- Новый интерфейс для мусульман \n- Более 100 новых событий, связанных с этой религией;x
DLC_dlc008_TOOLTIP_INSTANT;§YAfrican Unit Pack§!;x
DLC_dlc008_TOOLTIP_DELAYED;- Уникальные фигурки войск для африканских культур;x
DLC_dlc009_TOOLTIP_INSTANT;§YSongs of the Caliph§!;x
DLC_dlc009_TOOLTIP_DELAYED;- Две звуковых дорожки для ислама;x
DLC_dlc010_TOOLTIP_INSTANT;§YDynasty Coat of Arms Pack 2§!;x
DLC_dlc010_TOOLTIP_DELAYED;- 50 уникальных гербов для династий средневековой Европы;x
DLC_dlc011_TOOLTIP_INSTANT;§YLegacy of Rome§!;x
DLC_dlc011_TOOLTIP_DELAYED;- Регулярная армия \n- Возможность восстановления Римской империи \n- Преодоление Великой схизмы через игровые события \n\nКроме того: \n- Улучшения для вашего правителя \n- Фигурки православных советников \n- Новые события и решения для Византии;x
DLC_dlc012_TOOLTIP_INSTANT;§YByzantine Unit Pack§!;x
DLC_dlc012_TOOLTIP_DELAYED;- Уникальные фигурки войск для византийских культур;x
DLC_dlc013_TOOLTIP_INSTANT;§YAfrican Portraits§!;x
DLC_dlc013_TOOLTIP_DELAYED;- Уникальные виды лиц для персонажей африканских культур;x
DLC_dlc014_TOOLTIP_INSTANT;§YMediterranean Portraits§!;x
DLC_dlc014_TOOLTIP_DELAYED;- Уникальные виды лиц для персонажей средиземноморских культур;x
DLC_dlc015_TOOLTIP_INSTANT;§YRussian Unit Pack§!;x
DLC_dlc015_TOOLTIP_DELAYED;- Уникальные фигурки войск для русских культур;x
DLC_dlc016_TOOLTIP_INSTANT;§YRussian Portraits§!;x
DLC_dlc016_TOOLTIP_DELAYED;- Уникальные виды лиц для персонажей русских культур;x
DLC_dlc017_TOOLTIP_INSTANT;§YSongs of Byzantium§!;x
DLC_dlc017_TOOLTIP_DELAYED;- Три звуковых дорожки для правителей Византии, а также греческих, армянских и грузинских государств;x
DLC_dlc018_TOOLTIP_INSTANT;§YSunset Invasion§!;x
DLC_dlc018_TOOLTIP_DELAYED;- Новая угроза вторжения с запада \n- Ацтекские культура и религия \n\nКроме того: \n- Новые уникальные портреты и фигурки для мезоамериканцев \n- Новые иконки для столичных поселений \n- Новая ужасная заразная болезнь с другого континента;x
DLC_dlc019_TOOLTIP_INSTANT;§YSongs of the Rus§!;x
DLC_dlc019_TOOLTIP_DELAYED;- Три звуковых дорожки для русских, болгарских и аланских правителей;x
DLC_dlc020_TOOLTIP_INSTANT;§YNorse Portraits§!;x
DLC_dlc020_TOOLTIP_DELAYED;- Уникальные виды лиц для персонажей скандинавских культур;x
DLC_dlc021_TOOLTIP_INSTANT;§YNorse Unit Pack§!;x
DLC_dlc021_TOOLTIP_DELAYED;- Уникальные фигурки войск для скандинавских культур;x
DLC_dlc022_TOOLTIP_INSTANT;§YThe Republic§!;x
DLC_dlc022_TOOLTIP_DELAYED;- Делает торговые республики доступными для игры \n- Игра за главу городской знати \n- Строительство торговых постов \n- Участие в выборах за пост дожа \n\nКроме того: \n- Десятки новых видов построек \n- Уникальная одежда и фигурки кораблей для республик \n- Новые заговоры и события \n- Новые поводы для войны за города и фактории;x
DLC_dlc023_TOOLTIP_INSTANT;§YSongs of Prosperity§!;x
DLC_dlc023_TOOLTIP_DELAYED;- Три звуковых дорожки для республик;x
DLC_dlc024_TOOLTIP_INSTANT;§YThe Old Gods§!;x
DLC_dlc024_TOOLTIP_DELAYED;- Новая дата для старта игры: 867 год \n- Язычники и зороастрийцы станут доступны для игры \n- Восстания станут более продуманными и опасными \n- Язычники смогут грабить и разорять поселения \n\nКроме того: \n- Христиане и мусульмане смогут отправлять миссионеров для обращения язычников в свою веру \n- Новые тематические события;x
DLC_dlc025_TOOLTIP_INSTANT;§YHymns to the Old Gods§!;x
DLC_dlc025_TOOLTIP_DELAYED;- Четыре звуковых дорожки для северо-германских правителей;x
DLC_dlc027_TOOLTIP_INSTANT;§YCeltic Unit Pack§!;x
DLC_dlc027_TOOLTIP_DELAYED;- Уникальные фигурки войск для кельтских культур;x
DLC_dlc028_TOOLTIP_INSTANT;§YCeltic Portraits§!;x
DLC_dlc028_TOOLTIP_DELAYED;- Уникальные виды лиц для персонажей кельтских культур;x
DLC_dlc029_TOOLTIP_INSTANT;§YDynasty Coat of Arms Pack 3§!;x
DLC_dlc029_TOOLTIP_DELAYED;- 50 уникальных гербов для династий средневековой Европы (язычников);x
DLC_dlc030_TOOLTIP_INSTANT;§YEuropa Universalis IV Converter§!;x
DLC_dlc030_TOOLTIP_DELAYED;- Позволяет преобразовывать сохранения от игры Crusader Kings II в мод для игры Europa Universalis IV ;x
DLC_dlc031_TOOLTIP_INSTANT;§YCustomization Pack§!;x
DLC_dlc031_TOOLTIP_DELAYED;- Позволяет менять прически и бороды персонажей \n- Называть детей при рождении в честь их предков \n- Давать названия династиям бастардов \n- Переименовывать герцогства и их прилагательные;x
DLC_dlc032_TOOLTIP_INSTANT;§YSons of Abraham§!;x
DLC_dlc032_TOOLTIP_DELAYED;- Новая механика папства \n- Новые духовные ордены \n- Школы мутазилитов и ашаритов в исламе \n- Возможность играть за иудеев \n\nКроме того: \n- Паломничества в священные места \n- Ссылка в монастырь для придворных \n- Более 300 новых событий;x
DLC_dlc033_TOOLTIP_INSTANT;§YMilitary Orders Unit Pack§!;x
DLC_dlc033_TOOLTIP_DELAYED;- Уникальные фигурки войск для христианских духовных орденов;x
DLC_dlc034_TOOLTIP_INSTANT;§YWarriors of Faith Unit Pack§!;x
DLC_dlc034_TOOLTIP_DELAYED;- Уникальные фигурки войск для нехристианских духовных орденов;x
DLC_dlc035_TOOLTIP_INSTANT;§YHymns of Abraham§!;x
DLC_dlc035_TOOLTIP_DELAYED;- Две звуковые дорожки для правителей авраамических религий;x
DLC_dlc036_TOOLTIP_INSTANT;§YSongs of Yuletide§!;x
DLC_dlc036_TOOLTIP_DELAYED;- Рождественские песни для игры в декабре (реальное время, не в игре);x
DLC_dlc037_TOOLTIP_INSTANT;§YSaxon Unit Pack§!;x
DLC_dlc037_TOOLTIP_DELAYED;- Уникальные фигурки войск для саксонских культур;x
DLC_dlc038_TOOLTIP_INSTANT;§YFinno-Ugric Unit Pack§!;x
DLC_dlc038_TOOLTIP_DELAYED;- Уникальные фигурки войск для финно-угорских культур;x
DLC_dlc039_TOOLTIP_INSTANT;§YRajas of India§!;x
DLC_dlc039_TOOLTIP_DELAYED;- Три новых индийских религии для игры \n- Новые религии и культуры для Индии \n- Новые игровые механики для этой области \n\nКроме того: \n- Возможность объединить Индию как легендарный Самрат Чакравартин \n- Индийские лица и одежда \n- Боевые слоны;x
DLC_dlc040_TOOLTIP_INSTANT;§YTurkish Unit Pack§!;x
DLC_dlc040_TOOLTIP_DELAYED;- Уникальные фигурки войск для тюркских культур;x
DLC_dlc041_TOOLTIP_INSTANT;§YTurkish Portraits§!;x
DLC_dlc041_TOOLTIP_DELAYED;- Уникальные виды лиц для персонажей тюркских культур;x
DLC_dlc042_TOOLTIP_INSTANT;§YSongs of India§!;x
DLC_dlc042_TOOLTIP_DELAYED;- Три звуковых дорожки для индийских правителей;x
DLC_dlc043_TOOLTIP_INSTANT;§YPersian Unit Pack§!;x
DLC_dlc043_TOOLTIP_DELAYED;- Уникальные фигурки войск для персидских культур;x
DLC_dlc044_TOOLTIP_INSTANT;§YPersian Portraits§!;x
