#CODE;RUSSIAN;x
string_RFullName_random;[This.Religion.GetFullName]изм;x
string_RFullName_default;[This.Religion.GetFullName];x
string_TRFullName_random;[This.TrueReligion.GetFullName]изм;x
string_TRFullName_default;[This.TrueReligion.GetFullName];x
string_SRFullName_random;[This.SecretReligion.GetFullName]изм;x
string_SRFullName_default;[This.SecretReligion.GetFullName];x
START_REQ_LIST_TOOLTIP;§YУбедитесь, что:§!\n;x
EV_HER;eй;x #OBJ_PRONOUN_FEM
equine_opinion;Мнение лошадей;x
String_SETTLEMENT_LOOTED_LOG1;Войска, которые ведёт ;x
String_SETTLEMENT_LOOTED_LOG2; ограбил[From.GetEndA];x
String_SETTLEMENT_LOOTED_LOG_FALLBACK;, ограбили;x
TOTAL;Всего;x
TRIBAL_UNION;Племенной союз ;x
String_GetMerCapitalAdjective_Default;[This.MercRepCapital.County.GetAdjective];x
String_GetMerCapitalAdjective_Liege;[This.Liege.MercRepCapital.County.GetAdjective];x
String_GetMerCapitalAdjective_Liege2;[This.Liege.Liege.MercRepCapital.County.GetAdjective];x
String_GetMerCapitalAdjective_Liege3;[This.Liege.Liege.Liege.MercRepCapital.County.GetAdjective];x
DUCHY_NOVGOROD_SEVERSK;Новгород-Северский;x
DUCHY_NOVGOROD_SEVERSK_ADJ;Новгород-Север;x
can_be_nomadic_title_tt;Может оказаться так, что титул §Y[This.GetName]§! принадлежит кочевнику.;x
is_renamed_culture_tt;§Y[This.Culture.GetName]§Y[]§Yая§! культура переименована;x
is_renamed_religion_tt;Религия §Y[This.GetReligionFullName]§! переименована;x
is_renamed_true_religion_tt;Истинная религия §Y[This.GetTrueReligionFullName]§! переименована;x
is_renamed_secret_religion_tt;Тайная религия §Y[This.GetSecretReligionFullName]§! переименована;x
CULTURE_ADJ_FALLBACK;[This.Culture.GetName]ск;x #§z§x
CULTURE_GROUP_ADJ_ALT;[This.Culture.GetGroupName]ская;x
CULTURE_GROUP_ADJ_DEFAULT;[This.Culture.GetGroupName];x
CULTURE_GROUP_ADJ_ALT_SHORT;[This.Culture.GetGroupName];x
CULTURE_GROUP_PLU_ALT;[This.Culture.GetGroupName]цы;x
CULTURE_GROUP_PLU_ALT_GEN;[This.Culture.GetGroupName]цев;x
CULTURE_GROUP_ADJ_DEFAULT_MAGYAR;Мадьярская;x
CULTURE_GROUP_ADJ_DEFAULT_MESOAMERICAN;Мезоамериканская;x
CULTURE_GROUP_ADJ_DEFAULT_CHINESE_GROUP;Китайская;
CULTURE_GROUP_ADJ_DEFAULT_HORSE;Лошадиная;x
CULTURE_GROUP_ADJ_DEFAULT_CAT;Кошачья;x
CULTURE_GROUP_ADJ_DEFAULT_BEAR;Медвежья;x
CULTURE_GROUP_ADJ_DEFAULT_HEDGEHOG;Ежовая;x
CULTURE_GROUP_ADJ_DEFAULT_DUCK;Утиная;x
CULTURE_GROUP_ADJ_DEFAULT_DOG;Собачья;x
CULTURE_GROUP_ADJ_DEFAULT_ELEPHANT;Слоновая;x
CULTURE_GROUP_ADJ_DEFAULT_DRAGON;Драконья;x
CULTURE_GROUP_ADJ_DEFAULT_PANDA;Пандовая;x
cgsadj_panda_group;Панд;x
cgsadj_horse_group;Лошадин;x
cgsadj_cat_group;Кошкин;x
cgsadj_bear_group;Ошкуй;x
cgsadj_hedgehog_group;Ежов;x
cgsadj_duck_group;Утин;x
cgsadj_dog_group;Собак;x
cgsadj_elephant_group;Слонов;x
cgsadj_dragon_group;Дракон;x
cgsadj_north_germanic;Северогерман;x
cgsadj_central_germanic;Центральногерман;x
cgsadj_west_germanic;Западногерман;x
cgsadj_latin;Латин;x
cgsadj_iberian;Иберий;x
cgsadj_byzantine;Византий;x
cgsadj_celtic;Кельт;x
cgsadj_finno_ugric;Финно-угор;x
cgsadj_baltic;Балт;x
cgsadj_altaic;Алтай;x
cgsadj_arabic;Араб;x
cgsadj_east_slavic;Восточнославян;x
cgsadj_west_slavic;Западнославян;x
cgsadj_south_slavic;Южнославян;x
cgsadj_magyar;Мадьяр;x
cgsadj_iranian;Иран;x
cgsadj_east_african;Восточно-африкан;x
cgsadj_central_african;Центрально-африкан;x
cgsadj_west_african;Западно-африкан;x
cgsadj_mesoamerican;Мезоамерикан;x
cgsadj_israelite;Еврей;x
cgsadj_indo_aryan_group;Индоарий;x
cgsadj_dravidian_group;Дравидий;x
cgsadj_tibetan_group;Тибето-бирман;x
cgsadj_chinese_group;Китай;x
alt_culgroup_sadj_panda_group;[panda_group.GetGroupName];x
alt_culgroup_sadj_horse_group;[horse_group.GetGroupName];x
alt_culgroup_sadj_cat_group;[cat_group.GetGroupName];x
alt_culgroup_sadj_bear_group;[bear_group.GetGroupName];x
alt_culgroup_sadj_hedgehog_group;[hedgehog_group.GetGroupName];x
alt_culgroup_sadj_duck_group;[duck_group.GetGroupName];x
alt_culgroup_sadj_dog_group;[dog_group.GetGroupName];x
alt_culgroup_sadj_elephant_group;[elephant_group.GetGroupName];x
alt_culgroup_sadj_dragon_group;[dragon_group.GetGroupName];x
alt_culgroup_sadj_north_germanic;[north_germanic.GetGroupName];x
alt_culgroup_sadj_central_germanic;[central_germanic.GetGroupName];x
alt_culgroup_sadj_west_germanic;[west_germanic.GetGroupName];x
alt_culgroup_sadj_latin;[latin.GetGroupName];x
alt_culgroup_sadj_iberian;[iberian.GetGroupName];x
alt_culgroup_sadj_byzantine;[byzantine.GetGroupName];x
alt_culgroup_sadj_celtic;[celtic.GetGroupName];x
alt_culgroup_sadj_finno_ugric;[finno_ugric.GetGroupName];x
alt_culgroup_sadj_baltic;[baltic.GetGroupName];x
alt_culgroup_sadj_altaic;[altaic.GetGroupName];x
alt_culgroup_sadj_arabic;[arabic.GetGroupName];x
alt_culgroup_sadj_east_slavic;[east_slavic.GetGroupName];x
alt_culgroup_sadj_west_slavic;[west_slavic.GetGroupName];x
alt_culgroup_sadj_south_slavic;[south_slavic.GetGroupName];x
alt_culgroup_sadj_magyar;[magyar.GetGroupName];x
alt_culgroup_sadj_iranian;[iranian.GetGroupName];x
alt_culgroup_sadj_east_african;[east_african.GetGroupName];x
alt_culgroup_sadj_central_african;[central_african.GetGroupName];x
alt_culgroup_sadj_west_african;[west_african.GetGroupName];x
alt_culgroup_sadj_mesoamerican;[mesoamerican.GetGroupName];x
alt_culgroup_sadj_israelite;[israelite.GetGroupName];x
alt_culgroup_sadj_indo_aryan_group;[indo_aryan_group.GetGroupName];x
alt_culgroup_sadj_dravidian_group;[dravidian_group.GetGroupName];x
alt_culgroup_sadj_tibetan_group;[tibetan_group.GetGroupName];x
alt_culgroup_sadj_chinese_group;[chinese_group.GetGroupName];x
cgplu_panda_group;панды;x
cgplu_horse_group;лошади;x
