#CODE;RUSSIAN;x
HOLDINGS_DEC_LOSS;Владения:;x
TOTAL_DEC_DELTA;Общее изменение упадка:;x
HAS_A_JOB_DEC;Выполняет работу:;x
ON_JOB_DEC;Занят работой:;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! совершает паломничество.;x
EVTDESC1070;Слушая хафиза, наполняющего свою речь подходящими цитатами из различных мест Корана, я порази[Root.GetLasLsya] благочестию этого человека. Выучить наизусть весь Коран, все 114 сур - подвиг, который только самый рьяный мусульманин может выполнить.;x
EVTOPTA1070;Услышь мои слова, Аллах!;x
EVTOPTB1070;Изумительно! Но это должно быть такая рутина...;x
aspiring_hafiz;Стремление хафиза: выучить Коран наизусть;x
EVTDESC1071;Я нервничаю, стоя перед имамом, который собирается рассказать случайный отрывок из Корана и попросить меня продолжить его. Наконец он выбрал:\nКогда читается Коран...;x
EVTOPTA1071;...то слушайте внимательно и безмолвствуйте, тогда быть может, вас помилуют.;x
aspiring_faqih;Ученый Фикха, исламского права;x
EVTDESC5080;Факих - эксперт в "Фикхе", которое является богословско-правовым комплексом социальных норм и правил поведения мусульман. Меня спросили, не хотел[Root.GetEndA] бы я учиться у лучших факихов города [Root.Location.GetName], чтобы однажды стать одним из самых великих юристов Исламского мира.;x
EVTOPTA5080;Это возможность, которой я не смею сказать "нет".;x
EVTOPTB5080;Это слишком тяжкий труд... Нет, спасибо.;x
EVTDESC5081;Год изучения фикха оставил мою бедную голову утомленной. Другие факихи беспощадны в своих требованиях. Я должен изучить Коран, Сунну, Иджму (Согласие) и Кияс (Аналогия), чтобы подготовиться к последнему экзамену, тогда я смогу называться факихом.;x
EVTOPTA5081;Я не могу уйти сейчас, когда уже почти стал факихом...;x
EVTOPTB5081;Хватит. Это не та жизнь, которую я хочу...;x
EVTDESC5082;Я наконец стал экспертом в исламской юриспруденции! Мое знание Корана, Сунны, Иджмы (Согласие) и Кияса (Аналогия) - то, что делает меня факихом, и я буду использовать это знание, чтобы быть хорошим правителем для моих людей.;x
EVTOPTA5082;Я горжусь этим!;x
EVTOPTB5082;Я буду использовать знание, но не звание.;x
REALM_SIZE_MULTIPLIER_DEC;Коэффициент размера державы: ;x
DEMESNE_FRACTION_DESC;Коэффициент владений главы династии;x
DEC_GAIN;Прирост упадка:;x
DEC_GAINREDUCTION;Уменьшение упадка:;x
DEC_MEMBER_CONTR;Ежемесячный прирост упадка:;x
EVTNAME20043;Hесчастн[Root.GetAyaYy] [Root.Liege.GetLordSpiritualName] растерзан[Root.GetEndA] толпой;x
EVTNAME20048;Mилостыня и [Root.Liege.GetLordSpiritualName];x
EVTNAME902;Hесчастн[Root.GetAyaYy] [Root.Liege.GetLordSpiritualName] атакован[Root.GetEndA] неверными;x
EVTOPTA8300;Deus Vult!;x
EVTOPTA8301;Маша'Аллах!;x
EVTDESC8300;[Root.Religion.GetCrusadeName] на землю "[Root.Location.Kingdom.GetShortBaseName]" начинается, и мы готовы принять участие в битве.;x
ca_culture_west_african_1;Дом свободных воинов;x
ca_culture_west_african_2;Дом свободных воинов;x
ca_culture_west_african_3;Дом свободных воинов;x
ca_culture_west_african_4;Дом свободных воинов;x
CB_NAME_INVASION;[Title.GetShortBaseName]: вторжение;x
WAR_NAME_INVASION;$ORDER$[Actor.PrimaryTitle.GetAdjective]ское вторжение в землю $OTHER_TITLE$;x
WAR_NAME_DEC_INVASION;[Actor.PrimaryTitle.GetAdjective]ское вторжение в землю $SECOND$;x
GAIN_SETTLEMENT_UNDER_TITLE_EFFECT;Захват всех владений, которые контролирует $GIVER$ в регионе $REGION$;x
VASSALIZE_OR_TAKE_UNDER_TITLE_EFFECT;Вассализация или захват всех владений, которые контролирует $GIVER$ в регионе $REGION$;x
OFFER_PEACE_INTERACTION_DEMAND;Это условия Вашей капитуляции:;x
OFFER_PEACE_INTERACTION_WHITE;Мы предлагаем Белый Мир на следующих условиях:;x
OFFER_PEACE_INTERACTION_SURRENDER;Мы сдаемся на следующих условиях:;x
DYNA_FILTER;Фильтры;x
DYNA_F_ALL;Все;x
DYNA_F_ONLYMEN;Только мужчины;x
DYNA_F_ONLYMEN_TT;Выбрать всех бездетных женщин;x
DYNA_F_ONLYLANDED;Только землевладельцы;x
DYNA_F_ONLYLANDED_TT;Исключить из выбора безземельных бездетных;x
DYNA_F_ONLYALIVE;Только живые;x
DYNA_F_ONLYALIVE_TT;Исключить из выбора бездетных мёртвых;x
invasion_succ_tip;§Y[Root.GetTitledFirstName]§! получает все захваченные территории.\n§Y[Root.GetTitledFirstName]§! получает титул §Y[This.GetRulerTitle] области "[This.GetShortBaseName]"§!.\n;x
PART_SCALED_PRESTIGE_EFFECT;§Y$WHO$§!: $DIRECTION$ $VALUE$ престижа от участия в войне.\n;x
PART_SCALED_PIETY_EFFECT;§Y$WHO$§!: $DIRECTION$ $VALUE$ благочестия от участия в войне.\n;x
NUM_OF_REALM_COUNTIES_LESS;Меньше чем §Y$NUM$§! округов области "§Y$TITLE$§!";x
NUM_OF_REALM_COUNTIES_AT_LEAST;По крайней мере §Y$NUM$§! округов области "§Y$TITLE$§!";x
SwordOfIslamDLC;Sword of Islam;x
AfricanUnitPackDLC;African Unit Pack;x
SongsOfTheCaliphDLC;Songs Of The Caliph;x
opinion_subjugated;Покорил[___] меня;x #[From.GetEndA]`
opinion_imprisoned_child;Заключил[___] в темницу моего ребёнка;x #[From.GetEndA]`
opinion_executed_child;Казнил[___] моего ребёнка;x #[From.GetEndA]`
INTERACTION_CANNOT_GRANT_TO_PRISONERS;Убедитесь, что §Y[Recipient.GetTitledFirstName]§! НЕ заключённ[Recipient.GetAyaYy];x
IS_NOT_IN_REVOLT;НЕ бунтует;x
IS_IN_REVOLT;Бунтует;x
EVTDESC38220;[From.GetFirstName] спрашивает: "Как лучше всего поддержать [Root.GetReligionFullName]?";x
EVTOPTA38220;Быть храбрым в бою с врагом.;x
EVTOPTB38220;Быть справедливым ко всем.;x
INHERIT_EFFECT_UNKNOWN;§Y$ABDICATOR$§! отрекается от титула.\n;x
YEARLY_DEC_CHANGE;§YИзменения из-за других причин:§!\n;x
EVENTS;Событие;x
TITLEGRANTS;Титулы;x
INTERACTION_CANNOT_JOIN_OUSIDER_VS_LIEGE;Нельзя присоединиться к внешним агрессорам против нашего сюзерена;x
INTERACTION_REQUIRES_YOUNG_FEMALE;§Y$FEMALE$§! слишком стара;x
EXECUTE_IMPRISONED_INTERACTION_6;Я - мусульманин, а §Y[Recipient.GetTitledFirstName]§! - представитель моей династии, поэтому только [Recipient.GetAbsPossPronoun] родители могут такое решать.;x
IMPRISON_INTERACTION_6;Я - мусульманин, а §Y[Recipient.GetTitledFirstName]§! - представитель моей династии, поэтому только [Recipient.GetAbsPossPronoun] родители могут такое решать.;x
DECADENT_RELATIVES;Родственники, вызывающие упадок;x
DECADENCE_CHANGE;Прирост упадка за месяц;x
EVTDESC89030;Вы долго трудились на благо Вашего мужа ([Root.Spouse.GetTitledFirstName]), и даже подарили ему сына. Но он имеет других сыновей не Вашей крови, которые смогут претендовать на трон, а Ваш сын может быть убит как претендент. Возможно, было бы лучше всего ударить первой...;x
EVTDESC89032;Одна из Ваших жен, [From.GetFirstName], была поймана при попытке поднести чашу отравленного чая одному из Ваших сыновей, рожденных другой женой. Только острое чутьё Вашего сына позволили ему почуять мерзкий яд прежде, чем он испил его. Кажется, цель Вашей жены состоит в том, чтобы улучшить положение собственного потомства...;x
EVTDESC89034;Один из Ваших сыновей таинственным образом погиб после того, как ему внезапно стало плохо. Хотя Вы и Ваши советники подозреваете умышленное преступление, Вы понятия не имеете, где искать виновного...;x
EVTDESC89035;Один из Ваших сыновей погиб, выпив чашку отравленного чая, которую ему поднесла Ваша вероломная жена [From.GetFirstName]! Кажется, она убила его, чтобы улучшить положение собственного потомства.;x
EVTTOOLTIP86166;Хлеб роздан;x
EVTTOOLTIP86167;Сообщить, что Вы не присоединитесь к нему;x
HEAD_OF_DYNASTY;Глава династии;x
EVTDESC86810;Ваше судно стало жертвой сильного шторма. Вас смыло за борт вместе с несколькими Вашими людьми и вынесло на маленький пустынный остров. Как старш[Root.GetAyaIy] по званию, Вы должны распределить ту скудную пищу, которую имеете в запасе.;x
EVTOPTA86810;Мы разделим всё по-братски.;x
EVTOPTB86810;Как [Root.GetTitle], я долж[Root.GetNaEn] получить львиную долю.;x
EVTTOOLTIP86811;Поровну разделить пищу с другими оставшимися в живых.;x
EVTDESC86811;После нескольких дней другое судно, несущее паломников, проходило поблизости, и к всеобщей радости, заметило вас. Ослабленный нехваткой пищи и воды, каждый выживает благодаря Вашему решению разделить провизию.;x
EVTOPTA86811;Теперь мы можем продолжить свой путь в Мекку!;x
EVTTOOLTIP86812;Большая часть провизии досталась Вам.;x
EVTDESC86812;Через несколько дней другое судно, несущее паломников проходило поблизости, и к всеобщей радости, заметило вас. Для некоторых из оставшихся в живых слишком поздно, но по крайней мере Вы находитесь в хорошем состоянии, поскольку в соответствии с Вашим высоким положением, львиная доля воды и пищи досталась Вам.;x
EVTOPTA86812;Мы не принимаем во внимание эту небольшую задержку. Вперед!;x
EVTDESC86815;Вы отправляетесь в путь на корабле, но команда скоро проявила себя как менее чем благородная. Вы подслушали, что капитан и его команда собираются продать в рабство всех пассажиров, включая Вас, в ближайшем порту!;x
EVTOPTA86815;Это у них не пройдёт! К оружию!;x
EVTOPTB86815;Мы бежим с судна непосредственно перед тем, как оно причалит...;x
EVTTOOLTIP86816;Бунт!;x
EVTDESC86816;Вместе с другими паломниками Вы напали на команду и вступили в жестокий бой. Сражение закончилось, когда Вы лично выпустили кишки капитану своим мечом, а остальные сдались. Теперь судно в Ваших руках!;x
EVTOPTA86816;В Мекку на всех парусах!;x
EVTTOOLTIP86817;Вы бежите с корабля;x
EVTDESC86817;Когда судно приблизилось к порту, Вы и Ваши товарищи прыгнули за борт и выплыли на берег на некотором расстоянии от порта промокшие, но свободные. Другие паломники оказались не столь удачливыми...;x
EVTOPTA86817;По крайней мере, теперь мы можем продолжить нашу поездку.;x
EVTDESC86820;Вам повезло встретить большой хорошо охраняемый караван, следующий в то же место, что и Вы. После присоединения к нему Вы столкнулись с группой бандитов, но они рассеялись при виде каравана, предпочитая охотиться на меньшие скопления паломников.;x
EVTOPTA86820;Трусливые псы!;x
EVTDESC86825;Теперь Вы недалеко от Вашей цели, но Вам и Вашим спутникам не хватает воды. Поход к соседнему оазису, чтобы пополнить запасы обернулся неудачей, когда стало понятно, что местный источник иссяк много лет назад...;x
EVTOPTA86825;Мы должны положиться на веру.;x
EVTOPTB86825;Ха-ха... конечно, он совершенно сух...;x
EVTTOOLTIP86826;Помолиться Аллаху о помощи;x
EVTDESC86826;Во время молитвы Вы увидели вдалеке другой караван. Хотя Вы заподозрили, что это мог быть мираж, Вы решили следовать за ним, и в конечном счете пришли в реальный оазис, немного к юго-востоку от того, где Вы думали найти воду.;x
EVTOPTA86826;Слава Аллаху!;x
EVTTOOLTIP86827;Сдаться и впасть в отчаяние;x
EVTDESC86827;Одержимый гневом и отчаянием, Вы взобрались на большую скалу и бросили взгляд за гребень соседней дюны. Громкий крик послышался с другой стороны, и когда Вы пересекли гребень, Вы нашли реальный оазис, со свежей, кристально чистой водой... и ничего не подозревающими бедуинами.;x
EVTOPTA86827;Вот это да... кто бы мог подумать?;x
EVTDESC86830;Поездка через пустыню под палящим солнцем длинна и трудна. Внезапно большой чайный дом материализовался в раскалённом воздухе перед Вашими глазами, и пением джиннов, которые, кажется, хозяева этого заведения, зазывает Вас внутрь. Странно, Ваши путешествующие компаньоны не замечают в этом ничего странного.;x
EVTOPTA86830;Мираж... мои чувства обманывают меня.;x
EVTOPTB86830;Пошлю кого-нибудь внутрь купить чаю!;x
EVTDESC86835;Верблюд одного из Ваших компаньонов подвернул ногу на песке и больше не может встать. Вы можете предложить товарищу поехать на Вашем верблюде, но это замедлит Вас, и неумолимое солнце будет палить Вас ещё дольше...;x
EVTOPTA86835;Воспользуйся пока моим верблюдом.;x
EVTOPTB86835;Не повезло, друг мой... Увидимся в Мекке!;x
EVTDESC86840;Приблизившись к Мекке, Вы увидели нескончаемый обоз с припасами, принадлежащий другому правителю, который, кажется, решил везти всю роскошь своего двора с собой в паломничество. Бесконечные повозки с барахлом надолго перекрыли дорогу к ближайшей станции и Вам пришлось отклониться от пути.;x
EVTOPTA86840;Мы все равны перед Аллахом, друзья...;x
EVTDESC86845;Ваша маленькая группа натолкнулась в пустыне на одинокую фигуру в халате, окруженную группой бандитов. Если Вы не вмешаетесь, может произойти непоправимое...;x
EVTOPTA86845;Прочь отсюда, негодяи!;x
EVTOPTB86845;Это не наше дело.;x
EVTTOOLTIP86846;Спасти путника;x
EVTDESC86846;В жестокой схватке некоторые бандиты были убиты одиноким путником, который показал себя прекрасным бойцом. После того, как с остальными разделался Ваш отряд, путник поклонился Вам. Он вручил Вам кольцо со странным символом, но прежде, чем Вам удалось спросить его о нём, он скрылся в пустыне.;x
EVTOPTA86846;Местная специфика.;x
EVTDESC86850;Проезжая через пустыню домой, Вы увидели мрачные останки другого каравана паломников. Их кости обглоданы шакалами и стервятниками, и это служит напоминанием об опасностях, связанных с хаджем. Вы решили, что Вам повезло так быстро и легко совершить паломничество.;x
EVTOPTA86850;Мы скоро будем дома, инша Аллах!;x
EVTDESC86855;Путешествуя домой, Вы были застигнуты в пустыне ужасной песчаной бурей. Вы вынуждены искать убежище позади маленького выступа скалы, чтобы оградить себя от ветра. Черпая силы в вере после посещения Мекки, Вы молились всю ночь. С рассветом Вы почувствовали себя воодушевлённ[Root.GetOyYm].;x
EVTOPTA86855;Я буду помнить эту ночь.;x
EVTDESC86860;Вы догнали других паломников, которые также возвращались домой из хаджа. Их ограбили бандиты, которые забрали все, кроме одежды и оставили без средств продолжить поездку.;x
EVTOPTA86860;Вот. Этого хватит, чтобы благополучно вернуться домой.;x
EVTOPTB86860;Жаль, но я не могу отвлекаться по пустякам. Всего хорошего!;x
EVTDESC86865;Вы попали в засаду бандитов по пути через пустыню домой. Защищаясь, Ваши спутники убили некоторых из них, но их слишком много. Они окружили Вас. Положение критическое...;x
EVTOPTA86865;За мной! Они дорого заплатят за наши жизни...;x
EVTTOOLTIP86866;Вы готовы стоять насмерть;x
EVTDESC86866;Раздался странный свист, и воздух внезапно наполнился летящими кинжалами и стрелами. Фигуры в халатах появились из песка и пыли. Когда пыль осела, все бандиты были уже мертвы. Один из мужчин в халатах берет странное кольцо, которое Вам дали ранее, говоря с улыбкой: "Хашашины всегда возвращают долги, друг".;x
EVTOPTA86866;Тогда считайте долг возмещенным полностью.;x
