#CODE;RUSSIAN;x
FACTION_LEADER;Лидер фракции;x
FACTION_MEMBER;Член фракции;x
opinion_defeated_major_revolt;Сокрушил[___] восстание;x #[From.GetEndA]`
opinion_spared_after_revolt;Простил[___] меня после восстания;x #[From.GetEndA]`
opinion_divine_blood_marriage;Священный брак;x
opinion_non_divine_marriage;Несвященный брак;x
action_uncover_plots;Раскрывать заговоры;x
miaphysite;Миафизитство;x #Миафизит;x #RADJ
monothelite;Монофелитство;x #Монофелит;x #RADJ
d_miaphysite;Миафизитсткое папство;x
d_miaphysite_adj;Миафизит;x
COPTIC_POPE;Коптский Папа;x
INTERACTION_CANNOT_REVOKE_LAST_TEMPLE_OFF_REL_HEAD;Нельзя отнять последнее храмовое владение у главы Вашей религии;x
d_monophysite;Монофизитсткое папство;x
d_monophysite_adj;Монофизит;x
MONOPHYSITE_POPE;Монофизитский Папа;x
d_nestorian;Восточный патриархат;x
d_nestorian_adj;Несториан;x
PATRIARCH_IN_THE_EAST;Патриарх Восточный;x
d_monothelite;Монофелитсткий патриархат;x
d_monothelite_adj;Монофелит;x
MONOTHELITE_PATRIARCH;Монофелитсткий патриарх;x
INTERACTION_TITLE_NOT_CONTESTED;Титул не может быть целью или оправданием любой из текущих войн;x
AND_TRIGGER_STARTS;Все следующие условия должны выполняться;x
WAR_INVALID_LOG;$WAR$ больше не может продолжаться$REASON$;x
WAR_INVALID_CHARACTER_UNLANDED;\n$CHARACTER$ стал безземельным;x
WAR_INVALID_LIEGE_HIERARCHY;\n$CHARACTER$ сменил сюзерена;x
REL_PENTARCHS_NON_ORTHODOX_DESC;Пентархи были пятью первоначальными патриархами христианской церкви. Их авторитет в качестве автокефальных патриархов по-прежнему признаётся представителями религии $RELIGION$[__].;x #R_ISM
PENTARCH_DESC;§Y$TITLE$§! не имеет епископа религии $RELIGION$[__];x #R_ISM
HEAD_NOT_PENTARCH_DESC;$REL_HEAD$ в настоящее время не владеет областью §Y$TITLE$§!;x
LEAVE_FACTION_DIPLO_IMMUNE;Нельзя покинуть, когда ультиматум был только выдвинут!;x
IS_DIPLO_IMMUNE;Обладает иммунитетом против враждебных действий;x
IS_NOT_DIPLO_IMMUNE;Не обладает иммунитетом против враждебных действий;x
INTERACTION_NO_HOSTILE_ACTIONS_VS_DIPLO_IMMUNE;§Y[Recipient.GetTitledFirstName]§! обладает иммунитетом к враждебным действиям;x
NO_FACTIONS_POSSIBLE_NOW;Нет возможности организовать новую фракцию;x
INTERACTION_CANNOT_JOIN_ENEMIES;Нельзя присоединяться к войнам наших врагов;x
AIREASON_IS_MY_REGENT;§Y[GetTitledFirstName]§! - мой регент;x
EVTDESC45000;Наше правое дело привлекло много сторонников со всей области! [From.GetTitledFirstName] остерегайтесь...;x
EVTDESC45001;Большие группы повстанцев и наших противников стекаются под знамена предателя ([From.GetTitledFirstName]) в городе [From.Capital.GetName]!;x
EVTOPTA45001;Падаль для стервятников!;x
EVTDESC45002;В городе [Root.Capital.GetName] стягиваются лояльные ветераны и авантюристы, которых привлекает продолжающаяся гражданская война.;x
EVTDESC45003;Наши противники всех мастей стекаются под знамена правителя, известного как [From.GetTitledName] в город [From.Capital.GetName], чтобы воевать против нас!;x
EVTOPTA45003;Что дальше? Женщины и дети?;x
EVTDESC8037;[Root.GetTitledFirstName]! Я и мощная группа сторонников выдвинули ультиматум узурпатору ([From.Liege.GetTitledName]), в котором требуем Вашего господства над областью [From.SupportedClaimantTitle.GetName]. Пожелайте нам удачи!\nПодпись:\n [From.GetTitledName];x
EVTOPTA8037;Это было некрасиво...;x
EVTDESC20369;[Root.PrimaryTitle.GetFOA], [FromFrom.GetTitledName] не будет рисковать отношениями со своими вассалами и признает обвинения в коррупции. Восстановление [FromFrom.GetHersHis] престижа займет некоторое время. Собранные штрафы находятся у меня.\n [From.GetTitledName];x
EVTTOOLTIP2484;Ребенок обучается.;x
EVTOPTD4140;Воистину, мы принадлежим Аллаху и к нему вернемся.;x
blinded_death;от осложнений, будучи ослепленным;x
successful_sally;Боевой дух войск защищающейся стороны изменяется на §G10.0%§!.\nВойска защищающейся стороны несут потери в размере §R2.5%§!.\n§GВраг:§! Войска атакующей стороны несут потери в размере §R5.0%§!.;x
successful_sally_attacker;Войска атакующей стороны несут потери в размере §R5.0%§!.\n§GВраг:§! Боевой дух войск защищающейся стороны изменяется на §G10.0%§!\nВойска защищающейся стороны несут потери в размере §R2.5%§!.;x
failed_sally;Боевой дух войск защищающейся стороны изменяется на §R-10.0%§!.\nВойска защищающейся стороны несут потери в размере §R5.0%§!.\n§GВраг:§! Войска атакующей стороны несут потери в размере §R2.5%§!.;x
siege_treachery;Боевой дух войск защищающейся стороны изменяется на  §R-10.0%§!.;x
siege_disease;§GВраг:§! Войска атакующей стороны несут потери в размере §R5.0%§!.;x
siege_raiders;§GВраг:§! Войска атакующей стороны несут потери в размере §R1.0%§!.;x
siege_execute;§GВраг:§! Боевой дух войск защищающейся стороны изменяется на §G10.0%§!.;x
siege_hunger;§GВраг:§! Войска защищающейся стороны несут потери в размере §R5.0%§!.;x
siege_trader;§GВраг:§! Боевой дух войск защищающейся стороны изменяется на §G10.0%§!.;x
siege_miracle;Войска атакующей стороны несут потери в размере §R90.0%§!.\nБоевой дух войск атакующей стороны изменяется на §R-90.0%§!.\n§GВраг:§! Боевой дух войск защищающейся стороны изменяется на §G100.0%§!.;x
siege_personal_charge;Боевой дух войск защищающейся стороны изменяется на §R-10.0%§!.;x
siege_assault;Боевой дух войск защищающейся стороны изменяется на §R-20.0%§!.\nВойска защищающейся стороны несут потери в размере §R20.0%§!.\n§GВраг:§! Войска атакующей стороны несут потери в размере §R10.0%§!.;x
siege_hide;Боевой дух войск защищающейся стороны изменяется на §R-5.0%§!.\nВойска защищающейся стороны несут потери в размере §R5.0%§!.\n§GВраг:§! Войска атакующей стороны несут потери в размере §R15.0%§!.;x
INTERACTION_REQUIRES_BOTH_OF_AGE;§Y$ACTOR_PERSON$§W и §Y$RECIPIENT_PERSON$§W должны быть как минимум §Y$YEARS$§! лет от роду;x
EVTOPTA62039;Молодцы, разбойники!;x
EVTNAME62011;Hевероятное чудо!;x
EVTNAME62041;Hесчастье!;x
EVTOPTA62034;Они заплатят за это!;x
EVTOPTA62041;Как это могло случиться?;x
EVTNAME62044;Hападение врага;x
EVTDESC62044;Христианский командир, возглавляющий осаждающие нашу крепость войска, лично возглавил нападение на наши стены! Его безумный поступок застал врасплох наших доблестных защитников!;x
EVTOPTA62044;Сумасшедший!;x
EVTDESC62045;Враг начал внезапную атаку против нашей осажденной крепости! Наши войска были застигнуты врасплох!;x
EVTOPTA62045;Защитник!;x
CB_NAME_IMPERIAL;[Title.GetShortBaseName]: имперское завоевание;x
WAR_NAME_IMPERIAL;$ORDER$[Actor.PrimaryTitle.GetAdjective]ское имперское завоевание земли $OTHER_TITLE$;x
imperial_reconquest_desc;Потерянная территория Римской империи должна быть освобождена! §Y$CLAIMANT$§! можно использовать этот повод, чтобы захватить все титулы, де-юре принадлежащие государству "§Y$TITLE$§!", которыми обладает §Y$TARGET$§!.;x
COUNTS_AS_PURPLE_BORN;Считается багрянородным;x
AIREASON_IS_MY_PARENT;Это мой родитель;x
FLANK_DOES_NOT_HAVE_LEADER;Фланг не имеет лидера;x
FLANK_HAS_LEADER;Фланг имеет лидера;x
CANNOT_BUY_RET_OCCUPIED;\nВы не можете создать гвардию в неподконтрольных вам владениях.;x
duke_russian;Князь;x #Великий князь;x
duke_female_russian;Княгиня;x #Великая княгиня;x
duchy_of_russian;Княжество;x #Великое княжество;x
king_iranian;Шах;x
kingdom_of_iranian;Шахство;x
emperor_female_greek;Базилиса;x
EVTTOOLTIP94066;Вы работаете над улучшением Вашего сада.;x
MediterraneanPortraitsDLC;Mediterranean Portraits;x
SongsOfByzantiumDLC;Songs Of Byzantium;x
ByzantineUnitsDLC;Byzantine Units;x
CK2CoA2DLC;Coat of Arms 2;x
ALL_DIRECT_DE_JURE_VASSAL_TITLES;Все прямые де-юре вассальные титулы;x
WAR_INVALID_CB_TRIGGER;\n повод для войны более недействителен;x
AfricanPortraitsDLC;African Portraits;x
