#CODE;RUSSIAN;x
EVTOPTA_HL_121;Золото - признак благородства, друг мой!;x
abandon_province;Покинуть эти земли;x
abandon_province_desc;Пришло время покинуть это место и искать новые пастбища.;x
nomads_exploited_land;Пастбища кочевников;x
nomad_population_boom;Демографический взрыв;x
nomad_population_boom_spillover;Перенаселённость;x
PROVINCE_ABANDONED_TOOLTIP;Покинуть этот округ и позволить кому-то из соседей занять его;x
ANY_SETTLEMENT;Любое поселение;x
CB_NAME_INSTALLKHAN;Свержение кагана;x
cb_install_khan_desc;Кланы могут свергнуть кагана и посадить на его место более могущественного кандидата.;x
elephant_trample_tactic;Слоногон;x
INTERACTION_NOT_ALREADY_ENEMIES;Не является врагом;x
CLAN_SAME_FAITH;Та же вера;x
DOES_NOT_RISK_MINOR_CLAN_RISING;НЕТ риска кланового мятежа;x
RISKS_MINOR_CLAN_RISING;Риск кланового мятежа;x
nomad_expansion_desc;Имея достаточно очков престижа, мы можем подчинить себе крупные чужеземные регионы, победив в одной войне.;x
CB_NAME_NOMAD_EXPANSION;Подчинение: [Title.GetShortBaseName];x
WAR_NAME_NOMAD_EXPANSION;$ORDER$[Actor.PrimaryTitle.GetAdjective]ская война за подчинение земли, известной как $OTHER_TITLE$;x
CLAN_SIZE;§YПредельное число кланов§!;x
CLAN_SIZE_DESC;Максимальное количество кланов определяется размерами страны. Слишком большое их число негативно отразится на §Yнастроении кланов§! (вассальных по отношению к сюзерену). Также есть и абсолютный максимум - §Y$MAX$§!, после которого Вы больше не сможете §YРазделить клан§! и любой покорённый Вами правитель-§Yкочевник§! будет становиться §Yплеменным§! правителем.;x
succ_nomad_succession;Кочевое наследование;x
recent_county_uprising;Недавнее восстание;x
prisoner_to_oubilette;Бросить в подземелье;x
prisoner_to_oubilette_desc;§Y[Root.GetTitledFirstName]§! отправится в самую глубокую яму подземелья, откуда невозможно сбежать! (Продолжительность [Root.GetHersHis] жизни серьёзно сократится).;x
prisoner_to_dungeon;Поместить в темницу;x
prisoner_to_dungeon_desc;§Y[Root.GetTitledFirstName]§! отправится в темницу, откуда будет трудно сбежать, но это не сильно сократит [Root.GetHersHis] жизнь.;x
prisoner_to_suite;Под домашний арест;x
prisoner_to_suite_desc;§Y[Root.GetTitledFirstName]§! отправится в охраняемую комнату. Риск побега велик, но [Root.GetSubjectPronoun] ни в чём не будет нуждаться и может расчитывать на долгую жизнь.;x
MODIFIER_ADDED_NO_END;$WHERE$ получит модификатор "§Y$WHAT$§!", имеющий следующие эффекты:\n$EFFECT$\n\n;x
NOMAD_LAND_OVERRUN;§YПотребность клана в землях§!;x
NOMAD_LAND_OVERRUN_DESC;Хан владеет намного большими землями по сравнению с другими кланами. Ему придётся отдать §Y$NUM$§! наделов либо столкнутся с последствиями - риск клановых восстаний дополняется ещё и возможностью того, что новый клан заявит о своём праве на место среди ведущих кланов.;x
SENTIMENT_VS_CLAN;Настроение в отношении клана §Y$CLAN$§!:;x
EMPTY_PROVINCES_IN_REALM;Свободные земли кочевников;x
