#CODE;RUSSIAN;x
horse_regret;Спасен[GetEndA] вместо любимого коня;x
EVTDESC_HL_6000;Вы идете к табуну, чтобы выбрать сильного и выносливого коня. Намётанным глазом Вы замечаете, что один конь отличается от остальных. У него мощная спина и крепкие ляжки.\n\nОседлав его, Вы понимаете, что сделали правильный выбор. Теперь нужно дать ему имя.;x
EVTOPTA_HL_6000;Я назову тебя Драконом!;x
EVTOPTB_HL_6000;Я назову тебя Небесный!;x
EVTOPTC_HL_6000;Я назову тебя Стрелой!;x
EVTOPTD_HL_6000;Я назову тебя Молнией!;x
EVTDESC_HL_6010;[ward_cant_ride.GetFirstName] растёт под Вашей опекой, [ward_cant_ride.GetHerHim] уже почти восемь лет, но эта маленькая дрянь так и не научилась держаться в седле! Какой позор...;x
EVTOPTA_HL_6010;Так не пойдет! Я лично обучу [ward_cant_ride.GetHersHis]!;x
EVTOPTB_HL_6010;Ну и пусть мучается, бесполезный ребёнок!;x
EVTTITLE_HL_6020;Pека на пути;x
EVTDESC_HL_6020;Объезжая свои стойбища, я вижу, что река преградила мне путь. Напоённая дождями, она разлилась широко, и воды бушуют на её стремнине. Объезжать реку слишком долго, её нужно форсировать. С волнением я вижу, как мои люди осторожно вступают в реку. М[spouse_danger_nomad_river_crossing.GetOyaOy] [spouse_danger_nomad_river_crossing.GetHusbandWife] [spouse_danger_nomad_river_crossing.GetFirstName] пересекает реку верхом на боевом коне.\n\nЯ наблюдаю с берега и вдруг... [spouse_danger_nomad_river_crossing.GetFirstName] не может преодолеть опасную стремнину, теряет контроль над конем, и бушующая река готова погубить их обоих. Пора действовать. Двоим не выжить.;x
EVTOPTA_HL_6020;[spouse_danger_nomad_river_crossing.GetFirstName]! Держись крепче!;x
EVTOPTB_HL_6020;Дракон, я спасу тебя!;x
EVTOPTC_HL_6020;Небесный, я спасу тебя!;x
EVTOPTD_HL_6020;Стрела, я спасу тебя!;x
EVTOPTE_HL_6020;Молния, я спасу тебя!;x
EVTDESC_HL_6021;Любимый конь погиб, но м[spouse_danger_nomad_river_crossing.GetOyaOy] [spouse_danger_nomad_river_crossing.GetHusbandWife] в безопасности. Хотя мои люди изрядно натерпелись, теперь все позади. Все хвалят меня за решимость и отвагу.;x
EVTOPTA_HL_6021;Беда позади!;x
EVTOPTB_HL_6021;Увы, Дракон погиб.;x
EVTOPTC_HL_6021;Увы, погиб Небесный.;x
EVTOPTD_HL_6021;Но Стрела, его не вернуть.;x
EVTOPTE_HL_6021;Но, Молния, его не вернуть;x
EVTDESC_HL_6022;[spouse_danger_nomad_river_crossing.GetFirstName] в безопасности, Вам удалось вытащить [spouse_danger_nomad_river_crossing.GetHersHis] из реки. Но вместо благодарности за спасение, [spouse_danger_nomad_river_crossing.GetSheHe], дрожа от холода и злобы, начинает проклинать Вас: "Идиотина, со мной ничего бы не случилось! Из-за тебя утонул прекрасный конь, ты это понимаешь?!";x
EVTOPTA_HL_6022;Надо было спасать коня!;x
EVTDESC_HL_6030;Один из Ваших дружинников просит о помощи. Его семейство потеряло несколько кобыл из-за мора, и теперь он не знает, как прокормить своих детей.;x
EVTOPTA_HL_6030;Возьми шестерых кобыл из моего табуна.;x
EVTOPTB_HL_6030;Прискорбно. Ничем не могу тебе помочь.;x
opinion_nomad_wargames_participant;Участвовал[___] в боевых игрищах;x #[From.GetEndA]
hold_nomad_wargames;Провести боевые игрища;x
hold_nomad_wargames_desc;Я могу пригласить воинов из здешних земель для состязаний в военных навыках - в борьбе, верховой езде, стрельбе из лука. Лучший будет награждён не только золотом, но и престижем.;x
holding_nomad_wargames;Проведение боевых игрищ;x
holding_nomad_wargames_desc;Этот правитель проводит традиционный для кочевых народов праздник, на котором отрабатываются боевые навыки.;x
held_nomad_wargames;Боевые игрища;x
held_nomad_wargames_desc;Эт[GetEtaEtot] [GetAgedPerson] недавно проводил[GetEndA] традиционный для кочевых народов праздник, посвященный древним боевым традициям своего народа.;x
EVTDESC_HL_7000;Вы решили организовать великое военное состязание. Воины всей этой земли соберутся на него, чтобы продемонстрировать свою удаль в борьбе, стрельбе и верховой езде.;x
EVTOPTA_HL_7000;Это будет великое состязание!;x
EVTDESC_HL_7001;[Root.GetDynName], мой верный воин,\n\nНадеюсь, Вы почтите Наш народ своим участием на предстоящем боевом игрище? Жду Вас в [From.Capital.County.GetAdjective]ских землях.\n\n[From.GetFullName].;x
EVTOPTA_HL_7001;Седлаю коня и еду!;x
EVTDESC_HL_7002;О, радость Неба, [Root.GetTitledFirstName],\n\nК сожалению, я не смогу присутствовать на боевом игрище. Тысячи извинений!\n\n[From.GetTitledName];x
EVTDESC_HL_7020;Издалека к Вам прибывают воины, собираясь на великие боевые игрища. На праздничном поле топот коней смешивается с возбужденными криками зрителей. Участники игрищ приветствуют хозяина празднества, и Вы даёте сигнал к началу!;x
EVTOPTA_HL_7020;Удача благоволит храбрым!;x
EVTDESC_HL_7025;[From.PrimaryTitle.GetRulerTitle] проводят боевые игрища, и Вы спешите к его двору. А на праздничном поле топот коней уже смешивается с возбужденными криками зрителей. Участники игрищ приветствуют хозяина празднества. [From.GetTitledFirstName] стоит в окружении своей свиты и даёт сигнал к началу!;x
EVTOPTA_HL_7025;Покажем народу свою удаль!;x
EVTDESC_HL_7055;Ваше мастерство потрясло всех! В борьбе, стрельбе и скачках Вы победили всех противников! [From.GetTitledFirstName] дарит Вам заслуженную награду.;x
EVTOPTA_HL_7055;Победа - моя!;x
EVTDESC_HL_7060;[From.GetFullName] - чемпион боевых игрищ! [From.GetHersHis] боевые навыки непревзойденны!;x
EVTOPTA_HL_7060;Воистину так!;x
FORT_CONTROL_OVER_PROVINCE;Контролирует или осаждает округ §Y$PROVINCE$§!;x
TRIGGER_SUZERAIN;Гегемон (взиматель дани);x
FORT_CONSTRUCTION_ABANDONED_SETUP;Потеря форта;x
