#CODE;RUSSIAN;x
b_sanvicente;Сан-Висенте;x
WOE;Беда!;x #Горе
UNIT_MORALE_EFFECT;$PERC$ к боевому духу войск.\n;x
UNIT_REINFORCE_EFFECT;войска пополнятся на $PERC$.\n;x
UNIT_INVERTREINFORCE_EFFECT;войска потеряют $PERC$ личного состава.\n;x
TRIGGER_LEADER;Лидер;x
opinion_father_child;Мой отец;x
opinion_mother_of_child;М[_ой__] [_ребёнок__];x #[From.GetOyaOy] [From.GetSonDaughter]`
COUNCIL;Совет;x
BM_CHARLEMAGNE_ERA;Раннее Средневековье;x
BM_CHARLEMAGNE_ERA_INFO;Раннее Средневековье началось с падения Западной Римской империи в начале V века. Ранняя часть этой эпохи узрела великое переселение народов. Такие как готы и лангобарды осели в Южной Европе, франки поселились в Галлии, саксы поселились в Великобритании и Германии. Восточная Римская империя была жестоко ослаблена под натиском готов и аваров, и с трудом воевала со старым врагом - Персией. Подъем ислама показал силу арабов: они покорили огромные территории на Ближнем Востоке и в Северной Африке. В Индии несколько великих династий боролись за власть с Раштракутами в конце VIII века. В степях обрели свою мощь хазары. В Скандинавии дела могли измениться таким образом, что это повлияло бы на весь континент...;x
BM_THE_OLD_GODS_ERA;Эпоха Викингов;x
BM_THE_OLD_GODS_ERA_INFO;К середине IX века, скандинавские разбойники и авантюристы, известные как викинги, уже начали оставлять свой след на карте Европы, борясь за власть на Руси и Британских островах, путешествия и совершая набеги на Средиземноморье. Династия Каролингов, потомков Карла Великого, создала могучие государства во Франции, Италии и Германии, а ислам прочно утвердился в Испании под контролем династии Омейядов и быстро распространился в Персии через правителей династии Саффаридов, проникнув в долину Инда. Византия держится, но страдает под растущим давлением со стороны Халифата и болгар, в то время как мадьяры, добравшись до западных степей уже готовы предъявить свои претензии на Карпатский бассейн, а на востоке могущественная индуистская династии Пратихар расширяет свои владения.;x
BM_FATE_OF_ENGLAND_ERA;Высокое Средневековье;x
BM_FATE_OF_ENGLAND_ERA_INFO;К концу X - началу XI веков мусульманский мир изменился, его возглавили тюркские династии, такие как Сельджуки и Газневиды, доминируя в Персии. Византия всё ещё самостоятельна, но уже в ожидании худших времён и вторжение. Центральная и Западная континентальная Европа разделена между Францией и Священной Римской империей, в то время как христианские короли идут против сломленной и ослабленной мусульманской Испании. Скандинавия стала христианской, а переселенцы из неё на русских и британских землях теперь ассимилируются с местным населением. Тем не менее, потомки викингов в Нормандии и Италии готовят новые завоевания, приближается время Первого крестового похода...;x
BM_THE_MONGOLS_ERA;Эра Монголов;x
BM_THE_MONGOLS_ERA_INFO;Когда Европа вступила в XIII век, Константинополь был ослаблен турками и разграблен Четвёртым крестовым походом - Византия серьёзно пострадала. Турки ещё правят в Персии и на Ближнем Востоке, а в Индии множество новых царств соперничает за власть после падения старых династий. Нормандские завоевания привели к новым политическим и династическим столкновениям Англии и Франции, а христианские королевства в Испании неумолимо укрепляются. Скандинавия оставила язычество позади и становится более централизованной, а русские княжества борятся за власть в тени болгар и половцев. В Германии и Италии Священная Римская империя стоит твёрдо, но на востоке вступает в игру новая сила - вторжение монголов в Восточную Европу и Персию изменило баланс сил во всей Западной Евразии...;x
BM_100_YEARS_WAR_ERA;Позднее Средневековье;x
