#CODE;RUSSIAN;
character_owe_favor;Этот человек будет должен Вам §Yуслугу§!.;x
EVTDESC_ZE_22300;Пользуясь привилегией правителя, Вы, как это обычно бывает, судите подозреваемых в преступлениях. Перед Вами предстал молодой аристократ и вскоре Вы поняли - этот человек несомненно виновен. Но возможно, в подобной ситуации правосудие - не самое мудрое решение. Ведь если помиловать благородного человека, он будет перед Вами в долгу.;x
EVTOPTA_ZE_22300;Отспустите его! Не забывайте о моём милосердии...;x
EVTOPTB_ZE_22300;Закон един для всех. Бросьте его в темницу!;x
EVTDESC_ZE_22400;В совете жаркие споры, и вот [target_saved_voter.GetTitledFirstName] взял[target_saved_voter.GetEndA] слово как раз в тот момент, когда Вы чуть было не выставили себя в дурном свете, едва не успев ляпнув какую-то глупость. Уверенными и убедительными аргументами, [target_saved_voter.GetFirstName] не только спас[target_saved_voter.GetNoneE] Вашу репутацию, но и победил[target_saved_voter.GetEndA] в споре! Очевидно, что [target_saved_voter.GetHersHis] красноречие - единственная причина Вашего успеха.;x
EVTOPTA_ZE_22400;Благодарю! Я перед Вами в долгу.;x
EVTOPTB_ZE_22400;Спасибо, но я могу за себя постоять!;x
EVTDESC_ZE_22410;В совете жаркие споры, и Вы встряли как раз в тот момент, когда [From.GetBestName] собира[From.GetLasLsya] выставить себя в дурном свете, ляпнув какую-то глупость. Вы победили в споре и спасли [From.GetHersHis] репутацию. Оказалось, это был мудрый шаг с Вашей стороны, ведь [From.GetSheHe] теперь в долгу перед Вами!;x
EVTOPTA_ZE_22410;Кто знает, чем [From.GetSheHe] сможет мне помочь в будущем...;x
EVTDESC_ZE_22420;В совете жаркие споры, и Вы встряли как раз в тот момент, когда [From.GetBestName] собира[From.GetLasLsya] выставить себя в дурном свете, ляпнув какую-то глупость. Вы победили в споре и спасли [From.GetHersHis] репутацию. Но в итоге это ещё больше разозлило [From.GetHersHis], и нелепый балаган, последовавший за всем этим стал [From.GetHersHis] личным позором.;x
EVTOPTA_ZE_22420;Всегда пожалуйста!;x
EVTDESC_ZE_22500;Заседение совета подошло к концу, и [target_pious_voter.GetTitledFirstName] позвал[target_pious_voter.GetEndA] Вас на пару слов: "Так нельзя! [Root.Religion.GetScriptureName] - великий источник мудрости! Вам нужно чаще прислушиваться к святому слову в принятии важных решений." Совет так же считает, что Вы перегнули палку, но [target_pious_voter.GetFirstName] хочет Вам помочь.;x
EVTOPTA_ZE_22500;Вы сделаете это для меня? Я перед Вами в долгу!;x
EVTOPTB_ZE_22500;Пыльным манускриптам не место в политике!;x
EVTDESC_ZE_22510;Совет считает, что [From.GetBestName] ведёт себя крайне неблагочестиво, [Root.Religion.GetScriptureName] для н[From.GetHersHis] - лишь собрание глупых сказок. Вы - человек набожный и хотите помочь [From.GetHerHim] не повторять прежних ошибок. [From.GetFirstName] выразил[From.GetEndA] Вам свою признательность и уверил[From.GetEndA], что Вы можете расчитывать на ответную услугу с [From.GetHersHis] стороны.;x
EVTOPTA_ZE_22510;Ловлю [From.GetHersHis] на слове.;x
EVTDESC_ZE_22520;Совет считает, что [From.GetBestName] ведёт себя крайне неблагочестиво, [Root.Religion.GetScriptureName] для н[From.GetHersHis] - лишь собрание глупых сказок. Вы - человек набожный и хотите помочь [From.GetHerHim] не повторять прежних ошибок. Но [From.GetFirstName] ясно дал[From.GetEndA] Вам понять, что не изменит своё мнение о роли религии в государстве.;x
EVTOPTA_ZE_22520;Такой человек ничем не лучше еретика...;x
