#CODE;RUSSIAN;x
IMMORTAL_AGE_TRIGGER;Immortal Age is $COMPARISON$ $VALUE|Y$;L'вge immortel est $COMPARISON$ $VALUE|Y$;Unsterbliches Alter ist $COMPARISON$ $VALUE|Y$;;Edad inmortal es $COMPARISON$ $VALUE|Y$;;;;;;;;;x
PRACTICAL_AGE_TRIGGER;Practical Age is $COMPARISON$ $VALUE|Y$;L'вge concret est $COMPARISON$ $VALUE|Y$;Tatsдchliches Alter ist $COMPARISON$ $VALUE|Y$;;Edad prбctica $COMPARISON$ $VALUE|Y$;;;;;;;;;x
INCREASE_CAMPAIGN_FUND_DESC;Кликните, чтобы повысить финансирование предвыборной кампании на 10. SHIFT+клик - на 100. CTRL+клик - на сумму, необходимую, чтобы сделать Вашего кандидата фаворитом гонки, либо на 100, если он - уже фаворит.;x
DECREASE_CAMPAIGN_FUND_DESC;Кликните, чтобы понизить финансирование предвыборной кампании на 10. SHIFT+клик - на 100. CTRL+клик - забрать все деньги из фонда.;x
HAVE_READ_PP;Я понимаю и принимаю политику конфиденциальности;x
NOT_READ_TOS_ERROR;§RВы должны прочесть и принять условия соглашения, чтобы создать учётную запись§!;x
NOT_READ_PP_ERROR;§RВы должны ознакомиться с политикой конфиденциальности, чтобы создать учётную запись§!;x
REJECT;Отклонить;x
CONFIRM;Принять;x
TRIBUTARY_BREAKS_ON_REALM_CHANGE;* Договор может потерять силу, если любая из его сторон получит подданство другого государства;x
OL_COURT_INTERFACE_LABEL;§YСовет§!;x
INTERACTION_REQUIRES_COUNCIL_APPROVAL;Требуется одобрение Вашего регента;x
EVTDESC20130;До моего сведения дошло, что [From.Host.PrimaryTitle.GetAdjective]ский [From.GetJobTitle] [From.GetTitledFirstName] подкупал[From.GetEndA] и угрожал[From.GetEndA] в моих землях, пытаясь заполучить поддержку людей, чтобы те признали претензии на мой титул, сфабрикованные на имя "[From.Liege.GetTitledFirstName]" - [From.GetHersHis] [From.Liege.GetLordLadyGEN].;x
DEATH_DATE_MISSING;[This.GetSheHe] исчез[This.GetNoneE] без следа $DATE|Y$ в возрасте $AGE|Y$ лет;x
EVTOPTA61212_TT; станет новым §YРегентом§! государства [Root.PrimaryTitle.GetName].;x
EVTOPTA61212_B_TT; отправится в темницу.;x
tr_enclave_1_desc;Небольшой анклав купцов со всего региона утвердился здесь, чтобы вести торговлю.;x
tooltip_west_francia_to_france;[k_france.GetName] будет называться Францией.;x
tooltip_east_francia_to_germany;[k_germany.GetName] будет называться Германией.;x
EVTOPTB_RIP_4101_TT;Близкие родственники последуют Вашему примеру.;x
opinion_hermetic_apprentice;Мой учитель;x
EVTDESC_MNM_9890;[relic_hunter.GetJobTitle] [relic_hunter.GetFirstName] наконец верну[relic_hunter.GetLasLsya] домой из своего путешествия по поиску артефакта. [relic_hunter.GetHersHisCap] cлуги внесли древний изысканно украшенный сундук, и [relic_hunter.GetSheHe] торжественно поклони[relic_hunter.GetLasLsya] Вам.\n"[Root.PrimaryTitle.GetFOA], — начал[relic_hunter.GetEndA] [relic_hunter.GetSheHe] многозначительным тоном. — разрешите представить Вам... Ковчег Завета!"\nДревние письмена и две фигурки ангелов из чистого золота блестели в лучах полуденного солнца.\nСогласно легенде, внутри находятся скрижали с десятью заповедями, которые Моисей получил на горе Синай.\n[relic_hunter.GetTitledFirstName] замолчал[relic_hunter.GetEndA] и, довольн[relic_hunter.GetAyaYy] собой, приня[relic_hunter.GetLasLsya] терпеливо ждать Вашего ответа.;x
EVTTITLE_MNM_9890;Kовчег Завета;x
MODIFIER_TRIBAL_LEVY_SIZE;Размер племенного ополчения;x
EVTDESC_JD_20005_B;По окончании приветственного пира [From.GetJobTitle] [From.GetDynName] и я удалились для приватной беседы на свежем воздухе. Внезапно, яркий свет озарил ночное небо, и лицо [From.GetHersHis] побледнело от страха. "Дурное знамение", — прошептал переводчик, и они оба спешно покинули мероприятие.;x
EVTDESC_JD_20012_B;Прогуливаясь по саду со сво[From.GetEyIm] высокопоставленн[From.GetOyYm] гост[From.GetSoftEyEm], я посмотрел[Root.GetEndA] на ясное небо и выразил[Root.GetEndA] своё восхищение по поводу хорошей погоды. Переводчик передал мои слова и [From.GetJobTitle] [From.GetDynName] ответил[From.GetEndA] весьма воодушевлённо. Оказалось, [From.GetSheHe] воспринял[From.GetEndA] мои слова как метафору для просветлённого правления Небесн[From.Offmap.Ruler.GetOyOgo] [From.Offmap.Ruler.GetEmpressEmperorCapGEN]!;x
EVTOPTC_MNM_9103_TT_KING;Заказать самый дешёвый вариант драгоценностей.\n;x
EVTOPTC_MNM_9103_KING;Главное, чтобы без явной халтуры.;x
EVTOPTC_MNM_9103_TT_GENERIC;Заказать драгоценности, соответствующие моему статусу.;x
EVTOPTC_MNM_9103_GENERIC;Прекрасные украшение - то, что мне нужно.;x
EVTOPTB_MNM_9103_KING;Нужно что-нибудь впечатляющее.;x
EVTOPTB_MNM_9103_TT_KING;Тонкая кропотливая работа и дорогие материалы - вот ключ ко всему прекрасному.;x
EVTOPTC_MNM_9120_KING;Хочу что-нибудь эффективное, но недорогое.;x
EVTOPTC_MNM_9120_GENERIC;Мне нужно что-нибудь качественное, что можно применить в бою.;x
EVTOPTC_MNM_9120_TT_ARMOR_EMPEROR;Заказать самый дешёвый [From.GetWeaponsmithWeapon]. Эти доспехи дадут минимальную прибавку к §Yмесячному приросту престижа§!, §Yвоенному§! навыку и §Yличным боевым навыкам§!.\n;x
EVTOPTC_MNM_9120_TT_ARMOR_KING;Заказать [From.GetWeaponsmithWeapon] подешевле. Эти доспехи дадут небольшую прибавку к §Yмесячному приросту престижа§!, §Yвоенному§! навыку и §Yличным боевым навыкам§!.\n;x
EVTOPTC_MNM_9120_TT_ARMOR_GENERIC;Заказать [From.GetWeaponsmithWeaponACC] достойного качества. Эти доспехи дадут прибавку к §Yмесячному приросту престижа§!, §Yвоенному§! навыку и §Yличным боевым навыкам§!.\n;x
EVTOPTB_MNM_9120_TT_ARMOR_EMPEROR;Заказать [From.GetWeaponsmithWeaponACC] достойного качества. Эти доспехи дадут прибавку к §Yурону боевому духу противника§!, §Yмесячному приросту престижа§!, §Yвоенному§! навыку и §Yличным боевым навыкам§!.\n;x
EVTOPTB_MNM_9120_TT_ARMOR_KING;Заказать [From.GetWeaponsmithWeaponACC] высокого качества. Эти доспехи дадут существенную прибавку к §Yурону боевому духу противника§!, §Yмесячному приросту престижа§!, §Yвоенному§! навыку и §Yличным боевым навыкам§!.\n;x
EVTOPTB_MNM_9120_KING;Я хочу [From.GetWeaponsmithWeaponACC] наивысшего качества.;x
EVTOPTA_MNM_9120_TT_ARMOR_EMPEROR;Заказать [From.GetWeaponsmithWeaponACC] высшего качества. Эти доспехи дадут весьма существенную прибавку к §Yурону боевому духу противника§!, §Yмесячному приросту престижа§!, §Yвоенному§! навыку и §Yличным боевым навыкам§!.\n;x
EVTDESC_MNM_9107_KING;[From.GetFirstName] закончил[From.GetEndA] свою работу и преподнес[From.GetNoneE] мне изысканно украшенную и довольно тяжёлую шкатулку с драгоценностями. Я ещё не видел[Root.GetEndA], что внутри, но по внешнему оформлению сразу видно тонкую ручную работу мастера.;x
EVTDESC_MNM_9107_GENERIC;[From.GetFirstName] закончил[From.GetEndA] свою работу и преподнес[From.GetNoneE] мне изысканно украшенную и довольно тяжёлую шкатулку с драгоценностями. Надеюсь, там будет что-нибудь подходящее моему статусу...;x
EVTDESC_MNM_9120_NEW; "Так.. [From.GetWeaponsmithWeapon] значит... Отличный выбор, [Root.PrimaryTitle.GetFOA]", — сказал[From.GetEndA] [From.GetSmithMalePrefix][From.GetFirstName][From.GetSmithFemalePostfix] и подал[From.GetEndA] знак помощнику, который уже через несколько минут принёс три новых [From.GetWeaponsmithWeaponGEN], и [From.GetSheHe] продолжил[From.GetEndA]: "[Root.PrimaryTitle.GetFOA], обратите внимание. Перед Вами три разных примера качества. Выбор зависит от Ваших потребности и готовности заплатить нужную сумму".;x
EVTDESC_MNM_9124_KING;Сегодня [From.GetSmithMalePrefix][From.GetFirstName][From.GetSmithFemalePostfix] через своего ассистента передал[From.GetEndA] мне [From.GetWeaponsmithWeaponACC]. Элегантный и простой дизайн пришёлся мне по душе. Сразу видно, это качественное оружие, которое можно использовать на поле боя.;x
EVTDESC_MNM_9124_GENERIC;Сегодня [From.GetSmithMalePrefix][From.GetFirstName][From.GetSmithFemalePostfix] через своего ассистента передал[From.GetEndA] мне [From.GetWeaponsmithWeaponACC]. Как ни странно, результат превзошёл мои ожидания. Это довольно элегантное и удобное оружие.;x
EVTDESC_MNM_9129_NEW; "Хорошие новости, [Root.PrimaryTitle.GetFOA], — с нескрываемым воодушевлением сказал[From.GetEndA] [From.GetFirstName]. — [Root.GetWeaponArmorSmith] сообщил[smith.GetEndA] мне, что ценные металлы и специальные инструменты можно найти в ближайших от нас землях. Если мы отправим экспедицию, это может повысить качество [smith.GetWeaponsmithWeaponGEN], который Вы заказали.;x
EVTDESC_MNM_40000;Когда [From.GetSmithMalePrefix][From.GetFirstName][From.GetSmithFemalePostfix] сказал[From.GetEndA], что почти закончил[From.GetEndA] [From.GetWeaponsmithWeaponACC], я так обрадова[Root.GetLasLsya], что не мог[Root.GetNoneE] заснуть всю ночь, а утром я принял[Root.GetEndA] [From.GetHersHis] в [Root.GetRulersRoomPREP]. Затаив дыхание, я ждал[Root.GetEndA], когда [From.GetSheHe] откроет свой ящик. "Не хотите ли дать своему новому оружию особое имя, [Root.PrimaryTitle.GetFOA]?" — спросил[From.GetEndA] [From.GetSheHe], распахнув крышку.;x
EVTDESC_MNM_40000_B;Когда [From.GetSmithMalePrefix][From.GetFirstName][From.GetSmithFemalePostfix] сказал[From.GetEndA], что почти закончил[From.GetEndA] [From.GetWeaponsmithWeaponACC], я так обрадова[Root.GetLasLsya], что не мог[Root.GetNoneE] заснуть всю ночь, а утром я принял[Root.GetEndA] [From.GetHersHis] в [Root.GetRulersRoomPREP]. Когда [From.GetHersHis] помощники занесли манекен с доспехами, я чуть не потерял[Root.GetEndA] дар речи. "Не желает ли [Root.PrimaryTitle.GetFOA] дать им особое название?" — едва скрыв улыбку, спросил[From.GetEndA] [From.GetSheHe].;x
sword_tier_4_heartseeker;Убийца Драконов;x
sword_tier_4_vengeance;Гнев Небес;x
sword_tier_4_fury;Ярость [From.OriginalOwner.GetReligionHighGodNameGEN];x
scimitar_tier_4_golden;Неотвратимость;x
scimitar_tier_4_fortune;Симитар Ночи;x
scimitar_tier_4_conquest;Симитар Смерти;x
lance_tier_4_impaler;Аскалон;x
lance_tier_4_trident;Кровавый трезубец;x
lance_tier_4_piercer;Удар Смерти;x
axe_tier_4_cleaver;Рык Дракона;x
axe_tier_4_ravager;Пожиратель;x
axe_tier_4_marauder;Мрачный Жнец;x
mace_tier_4_foe_hammer;Черепокол;x
mace_tier_4_bone_breaker;Сумеречный молот;x
mace_tier_4_shatterer;Убийца Гигантов;x
bow_tier_4_silent_wind;Дыхание Смерти;x
bow_tier_4_lightning;Зов Бури;x
bow_tier_4_eagle;Крик Орла;x
armor_tier_4_guardian;Доспехи Ангела-Хранителя;x
armor_tier_4_champion;Доспехи Зелёного Рыцаря;x
armor_tier_4_warden;Доспехи Бессмертного;x
sword_tier_4_heartseeker_desc;Легендарный меч, который, как утверждают, способен пробиться сквозь прочную кожу дракона.;x
sword_tier_4_vengeance_desc;Легендарный меч, который, согласно преданию, был выкован в Небесной кузнице.;x
sword_tier_4_fury_desc;Говорят, этот легендарный меч был выкован в честь [From.OriginalOwner.GetReligionHighGodNameGEN].;x
scimitar_tier_4_golden_desc;Легендарная золотая сабля, напоминающая противнику о неизбежности смерти.;x
scimitar_tier_4_fortune_desc;Легендарный симитар. По слухам его клинок пропитан душами поверженных врагов и, если прислушаться, по ночам можно услышать отзвук их стонов, доносящийся от его лезвия.;x
scimitar_tier_4_conquest_desc;Легендарный симитар, по слухам содержащий в себе воплощенную силу самой смерти.;x
lance_tier_4_impaler_desc;Говорят, это воссозданный экземпляр легендарного копья Святого Георга.;x
lance_tier_4_trident_desc;Кто-то говорит, что это оружие самого Дьявола, другие вспоминают своих богов, но все сходятся в одном: этот легендарный трезубец поистине смертоносен.;x
lance_tier_4_piercer_desc;Смерть наносит свой удар подобно этому легендарному копью. Ни одна броня его не остановит, и никому не увернуться от него.;x
axe_tier_4_cleaver_desc;Легендарная секира, вселяющая ужас в сердца врагов.;x
axe_tier_4_ravager_desc;Этот легендарный топор - воплощённая сила разрушения Вселенной.;x
axe_tier_4_marauder_desc;Название говорит само за себя. Этот легендарный топор воплощение самой смерти.;x
mace_tier_4_foe_hammer_desc;Эта легендарная двуручная булава быстро и эффектно уничтожит любого противника, независимо от его доспехов.;x
mace_tier_4_bone_breaker_desc;Этот легендарный боевой молот по слухам обладает мистической силой.;x
mace_tier_4_shatterer_desc;Эта легендарная двуручная булава поистине внушает ужас. По слухам, она способна одним ударом переломить кости великану.;x
bow_tier_4_silent_wind_desc;Этот легендарный лук столь же бесшумен и ужасен, как сама Смерть.;x
bow_tier_4_lightning_desc;Говорят, этот легендарный лук был создан в эпицентре великой бури и впитал её силу.;x
bow_tier_4_eagle_desc;Говорят, этот легендарный лук был изготовлен из костей орла, обладавшего мистической силой.;x
armor_tier_4_guardian_desc;Этот легендарный набор брони воистину надёжно защищает того, кто его носит, за что и получил своё имя.;x
armor_tier_4_champion_desc;Говорят, этот легендарный набор брони носил Зелёный Рыцарь из легенд о короле Артуре.;x
armor_tier_4_warden_desc;Согласно слухам ни один смертный не способен пробить эту легендарную броню.;x
EVTOPTA_MNM_40000_SWORD;Я назову этот меч "Убийца Драконов"!;x
EVTOPTA_MNM_40000_SCIMITAR;Неотвратимость!;x
EVTOPTA_MNM_40000_LANCE;Я назову его "Аскалон"!;x
EVTOPTA_MNM_40000_AXE;Рык Дракона! Достойное имя для топора.;x
EVTOPTA_MNM_40000_MACE;Черепокол!;x
EVTOPTA_MNM_40000_BOW;Этот лук будет известен как Дыхание Смерти.;x
EVTOPTA_MNM_40000_ARMOR;Я назову их Ангел-Хранитель.;x
EVTOPTB_MNM_40000_SWORD;Гнев Небес - прекрасное имя для меча.;x
EVTOPTB_MNM_40000_SCIMITAR;Симитар Ночи - неплохо звучит.;x
EVTOPTB_MNM_40000_LANCE;Кровавый трезубец!;x
EVTOPTB_MNM_40000_AXE;Я назову его "Пожиратель"!;x
EVTOPTB_MNM_40000_MACE;Я назову его "Сумеречный Молот";x
EVTOPTB_MNM_40000_BOW;Зов Бури - вот, как я его назову.;x
EVTOPTB_MNM_40000_ARMOR;"Доспехи Зелёного Рыцаря" - звучит неплохо.;x
EVTOPTC_MNM_40000_SWORD;Ярость [Root.GetReligionHighGodNameGEN]!;x
EVTOPTC_MNM_40000_SCIMITAR;Симитар Смерти.;x
EVTOPTC_MNM_40000_LANCE;Удар Смерти - отличное имя, не правда ли?;x
EVTOPTC_MNM_40000_AXE;Мрачный Жнец. Идеально подходит.;x
EVTOPTC_MNM_40000_MACE;Убийца Гигантов - прекрасное имя.;x
EVTOPTC_MNM_40000_BOW;Крик Орла - прекрасное имя для лука.;x
EVTOPTC_MNM_40000_ARMOR;"Доспехи Бессмертного".;x
crown_of_majesty_2;Корона Величия;x
emerald_scepter_2;Изумрудный скипетр;x
sword_of_heroes_2;Меч Героев;x
dagger_of_glory_2;Кинжал Славы;x
ruby_bracelets_2;Рубиновые браслеты;x
celestial_necklace_2;Небесное ожерелье;x
circlet_of_the_heavens_2;Небесный венец;x
staff_of_majesty_2;Посох Величия;x
crown_of_crows_2;Вороний венец;x
heros_crown_2;Корона Героя;x
axe_of_the_ancestors_2;Секира Предков;x
EVTDESC_MNM_40001;Сгорая от нетерпения узнать, что же мне покажет [From.GetFirstName], когда [From.GetSheHe] сообщил[From.GetEndA], что укращения готовы, я с трудом сдерживал[Root.GetEndA] эмоции! И вот наконец я принял[Root.GetEndA] [From.GetHersHis] в [Root.GetRulersRoomPREP], слуги внесли поистине роскошный сундук, и я чуть было не выскочил[Root.GetEndA] им навстречу. Дрожащими руками, я приподнял[Root.GetEndA] крышку...;x
