#CODE;ENGLISH;x
RESTART;Перезапустить;x
TIME_REMAINING;Осталось времени;x
TIME_LEFT_DAYS;$NUM_DAYS$ дней;x
#PLAYABLE_IN;Играем в;x
REQUIRES;Требует;x
#UPCOMING_EVENT_TITLE;Впереди важное событие;x
HIGHLIGHTED_RULER_SAVE_TOOLTIP;Это сохранение было создано с участием функции §YИнтересный правитель§!;x
HIGHLIGHTED_RULER_TITLE;Интересный правитель;x
HIGHLIGHTED_RULER_TITLE_TOOLTIP;Интересный правитель - это ограниченный по времени специально выбранный персонаж для игры;x
HIGHLIGHTED_RULER_EVENT_EXPIRED;Время истекло!;x
crown_unicorn_helmet;Сущность Единорога;x
crown_unicorn_helmet_desc;Этот волшебный головной убор наделяет того, кто его носит, древней таинственной силой единорогов.;x
EVTOPTDHF23200;Один из Близнецов или Посланник могут поселиться в этом храме.;x
EVTOPTCHF23200_TT;Посвятить храм §Y[scoped_temple_barony.GetBaseName]§! одной из богинь процветания: §Y[GetHestiaVestaNameDAT]§!, §Y[GetDemetraCeresNameDAT]§! или §Y[GetAphroditeVenusNameDAT]§!.;x
EVTOPTDHF23200_TT;Посвятить храм §Y[scoped_temple_barony.GetBaseName]§! одному из детей богини Лето: §YАполлону§! или §Y[GetArtemisDianaNameDAT]§!, или Божественному Посланнику - §Y[GetHermesMercuryNameDAT]§!.;x
EVTDESCHF23203;Некоторые боги эллинов ассоциируются с процветанием. [GetDemetraCeresName] присматривает за урожаем, богиня [GetAphroditeVenusName] одаряет плодородием, а [GetHestiaVestaName], одна из самых почитаемых римских богинь, даёт благополучие семье и земле.;x
EVTDESCHF23204;Аполлон занимает весьма почётное место в эллинской мифологии, связанное с разумом, искусством и медициной. Последователи [GetArtemisDianaNameGEN], его сестры-близнеца, предпочитают скромность и скрытность, их обряды связаны с ночью и природой. [GetHermesMercuryName], посланник богов, ассоциируется с дорогами, торговлей, а иногда - с трюками и воровством.;x
succ_hre_elective_desc;Император и семь князей-выборщиков могут номинировать наследника из своего числа, любых законных детей, братьев и сестёр императора, а также де-юре вассала империи, в том случае, если он исповедует ту же религию, что и нынешний император. В случае, когда §Yисторический титул выборщика§! принадлежит иноверцу или не существует, другой де-юре вассал занимает его место. Если в империи §Yпапская инвеститура§! или §Yдогматическая§! религиозная доктрина, князи-епископы имеют куда больше влияния на выборы.[GetPrincelyElectorsList];x
string_princely_elective_elector_list_desc;\n§Y[e_hre.GetName]§! имеет следующие §Yисторические титулы выборщиков§!:\nГрафства: §Y[hre_title_1_per.GetName]§!, §Y[hre_title_2_per.GetName]§! и §Y[hre_title_3_per.GetName]§!\nГерцогства: §Y[hre_title_4_per.GetName]§!, §Y[hre_title_5_per.GetName]§!, §Y[hre_title_6_per.GetName]§! и §Y[hre_title_7_per.GetName]§!;x
GOD_TYPHON;Тифон;x
GOD_DELFINE;Дельфина;x
tooltip_feudal_elector_vote_commander_martial;[From.GetFirstName] - блестящий §Yполководец§!;x
tooltip_feudal_elector_vote_councilor_diplomacy;[From.GetFirstName] - хороший оратор;x
tooltip_feudal_elector_vote_councilor_intrigue;[From.GetFirstName] - хитрый политик с высоким навыком §Yинтриги§!;x
count_hellenic_pagan;Комес;x
count_hellenic_pagan_reformed;Комес;x
count_female_hellenic_pagan;Комисса;x
count_female_hellenic_pagan_reformed;Комисса;x
baron_hellenic_pagan;Легат;x
baron_hellenic_pagan_reformed;Легат;x
baron_female_hellenic_pagan;Легата;x
baron_female_hellenic_pagan_reformed;Легата;x
barony_of_roman;Форпост;x
italian_opinion;Отношение [_итальянцев];x
BLOODLINE_EASIER_VOWS_TOOLTIP;[From.GetFirstName] и [Root.GetFirstName] являются родственниками и принадлежат к §Yродословной§!, поддерживаемой §Yпапством§!;x
EVTTITLEHF24251;Bелик[Root.GetAyaIy] защитни[Root.GetTsaK] Церкви;x
EVTDESCAHF24251;Святой Престол доверил императору римлян меч мирской власти, но может и забрать его.\nРастоптав достоинство своего священного долга, [defeated_emperor.GetTitledFirstName] навлек[defeated_emperor.GetNoneE] на себя справедливое возмездие Господа нашего. Как скромное орудие Его божественного гнева, я смог[Root.GetNoneE] привести свои войска к победе и покарать эт[defeated_emperor.GetUOgo] ерети[defeated_emperor.GetChkuKa], [defeated_emperor.GetHersHis] поражение вынудило признать меня как имперского викария Италии и отказаться от всех притязаний на полуостров, кроме его названия.\nВ качестве награды за мою преданность Святой Церкви, [scoped_pope.GetTitledFirstName] предложил[scoped_pope.GetEndA] объявить мою династию защитницей Святого Престола.;x
EVTDESCBHF24251;Святой Престол доверил императору римлян меч мирской власти, но может и забрать его.\nРастоптав достоинство своего священного долга, [defeated_emperor.GetTitledFirstName] навлек[defeated_emperor.GetNoneE] на себя справедливое возмездие Господа нашего. Как скромное орудие Его божественного гнева, я смог[Root.GetNoneE] привести свои войска к победе и покарать эт[defeated_emperor.GetUOgo] ерети[defeated_emperor.GetChkuKa], положив конец [defeated_emperor.GetHersHis] предательству.\nВ качестве награды за мою преданность Святой Церкви, [scoped_pope.GetTitledFirstName] предложил[scoped_pope.GetEndA] объявить мою династию защитницей Святого Престола.;x
EVTOPTAHF24251;Famuli vestrae pietatis.;x
EVTOPTBHF24251;На то была воля Господа, я не заслужил[Root.GetEndA] таких почестей.;x
EVTTITLEHF24252;Bane of the Empire;x
